N	3gram	Savitsky_P_1	Tvorches
1	в то же	7	13
2	то же время	7	12
3	в том что	4	6
4	но в то	1	4
5	в творчестве достоевского	1	4
6	том что в	1	2
7	не только в	4	2
8	и в то	2	2
9	чуть ли не	1	1
10	гоголь и достоевский	1	1
11	и как раз	2	1
12	в настоящее время	1	1
13	в отрыве от	1	1
14	хотя бы и	1	1
15	сами по себе	3	1
16	в отличие от	1	1
17	за то что	1	1
18	заключает в себе	2	1
19	гоголя и достоевского	1	1
20	вместе с тем	1	1
21	все это в	1	1
22	с одной стороны	3	1
23	в xix веке	1	1
24	в известном смысле	1	1
25	заключается в том	2	1
26	то что его	1	1
27	с другой стороны	1	1
28	в отношении к	5	1
29	к единению с	1	1
30	на наш взгляд	1	1
31	и т д	1	1
