N	2gram	Berdyaev_N_1	Literetu
1	и не	11	22
2	в мире	3	16
3	и в	16	16
4	в этом	7	14
5	не только	5	14
6	но и	3	14
7	в том	8	12
8	может быть	7	12
9	а не	17	12
10	то что	4	12
11	своего рода	1	10
12	не в	6	10
13	такого рода	2	10
14	так и	2	9
15	в то	2	9
16	в этой	1	8
17	в жизни	5	8
18	том что	2	8
19	не может	16	8
20	к себе	1	8
21	в своей	3	7
22	только в	1	7
23	себя в	2	7
24	еще не	3	6
25	с его	6	6
26	в себе	2	6
27	о том	4	6
28	и его	1	6
29	в его	1	6
30	и т.п	2	6
31	с другой	3	6
32	к тому	3	6
33	в отличие	1	5
34	отличие от	1	5
35	как в	3	5
36	лишь в	6	5
37	это не	4	5
38	как и	7	5
39	в основе	3	5
40	в ее	3	5
41	что он	1	5
42	вместе с	2	5
43	особого рода	1	5
44	а в	2	5
45	перед лицом	1	4
46	но не	2	4
47	хотя и	2	4
48	должно быть	4	4
49	место в	2	4
50	никогда не	6	4
51	а также	1	4
52	с одной	2	4
53	из них	1	4
54	как будто	2	4
55	в природе	2	4
56	одной стороны	2	4
57	по существу	2	4
58	и для	4	4
59	жизни в	3	4
60	с ее	5	3
61	личности с	1	3
62	и к	5	3
63	но в	2	3
64	только для	1	3
65	по своей	1	3
66	потому что	4	3
67	в области	1	3
68	все еще	1	3
69	еще в	1	3
70	не случайно	1	3
71	прежде всего	4	3
72	все время	2	3
73	ни к	2	3
74	уже не	2	3
75	человеческого духа	1	3
76	в самом	1	3
77	и жизни	1	3
78	и а	1	3
79	как это	2	3
80	тому как	3	3
81	жизнью в	2	3
82	на смену	1	3
83	жизни и	8	3
84	как на	1	3
85	том числе	1	3
86	того же	1	2
87	жизни к	4	2
88	вопрос о	3	2
89	на себя	1	2
90	я не	2	2
91	жизни как	2	2
92	то это	1	2
93	и на	2	2
94	не могу	1	2
95	во всех	3	2
96	к идее	1	2
97	не знает	6	2
98	он в	1	2
99	особое место	1	2
100	все они	2	2
101	в нем	5	2
102	том чтобы	2	2
103	подобно тому	3	2
104	человека в	1	2
105	и с	2	2
106	в глубине	1	2
107	а по	1	2
108	знает что	1	2
109	было бы	1	2
110	к власти	3	2
111	и даже	2	2
112	лишь на	1	2
113	не всегда	1	2
114	он и	1	2
115	в советской	1	2
116	быть может	4	2
117	в конце	1	2
118	по себе	1	2
119	нас к	1	2
120	не менее	4	2
121	от жизни	1	2
122	свободы и	2	2
123	того чтобы	2	2
124	о природе	1	2
125	жизни не	3	2
126	другой стороны	2	2
127	у нас	1	2
128	числе и	1	2
129	для себя	1	2
130	не с	1	2
131	мира и	2	2
132	мира а	2	2
133	можно сказать	1	2
134	искусство не	1	2
135	и только	1	2
136	как например	1	2
137	мировой войны	4	2
138	к своим	1	2
139	тем что	1	2
140	и вместе	1	2
141	и героя	1	2
142	для того	1	2
143	бытия в	2	2
144	себя и	1	2
145	что не	1	2
146	а на	1	2
147	не означает	3	2
148	все более	1	2
149	так же	2	2
150	и потому	4	2
151	xix века	5	2
152	к жизни	3	2
153	быть только	1	2
154	быть не	1	2
155	за его	1	2
156	что в	9	2
157	в свою	1	2
158	жизни а	1	2
159	оно не	1	2
160	эти слова	1	2
161	от этой	1	1
162	обращена к	1	1
163	зависимость от	1	1
164	это и	2	1
165	сама себя	1	1
166	и есть	10	1
167	по преимуществу	1	1
168	и до	1	1
169	мы уже	1	1
170	который в	2	1
171	возврат к	6	1
172	во внешнюю	1	1
173	и совсем	1	1
174	говорить о	1	1
175	как я	1	1
176	власть над	1	1
177	в ней	5	1
178	в xix	1	1
179	к теургии	1	1
180	мысли и	2	1
181	себя а	1	1
182	быть в	2	1
183	в чем	1	1
184	во имя	15	1
185	черты и	1	1
186	к богу	2	1
187	нужно быть	1	1
188	нет и	2	1
189	за пределы	3	1
190	и духовной	1	1
191	в истории	3	1
192	в центре	2	1
193	с этим	2	1
194	в своем	1	1
195	мира тогда	1	1
196	в этот	1	1
197	духа в	2	1
198	от бога	6	1
199	бога в	1	1
200	ни одна	2	1
201	уже в	1	1
202	духовной культуры	1	1
203	вообще не	1	1
204	она становится	1	1
205	он не	8	1
206	и еще	1	1
207	в силу	1	1
208	жизнью и	1	1
209	оно должно	1	1
210	людей и	1	1
211	значение в	1	1
212	обращения к	1	1
213	с другими	1	1
214	который и	1	1
215	которые видят	1	1
216	весь мир	1	1
217	своей основе	1	1
218	в них	4	1
219	нет в	1	1
220	жизни от	1	1
221	этого не	1	1
222	и того	1	1
223	во время	1	1
224	и немощен	1	1
225	жизнь не	1	1
226	она сама	1	1
227	что такое	3	1
228	внешнюю жизнь	1	1
229	во времена	1	1
230	не столько	1	1
231	не к	2	1
232	жизни с	1	1
233	значение для	1	1
234	права на	2	1
235	но это	6	1
236	но он	1	1
237	в россии	3	1
238	возвращается к	2	1
239	личность в	2	1
240	с миром	1	1
241	она не	3	1
242	мысли в	2	1
243	революции и	3	1
244	на ее	1	1
