N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	25
2	вместе с	1	22
3	что он	6	22
4	и т	1	20
5	может быть	7	17
6	представление о	1	17
7	т е	1	16
8	не только	8	13
9	но и	4	13
10	в его	3	12
11	уже не	2	11
12	и не	7	11
13	в этом	9	10
14	тем что	2	10
15	все же	5	10
16	и его	6	9
17	его в	2	9
18	в виде	2	9
19	таким образом	1	9
20	еще не	4	8
21	и на	7	8
22	все эти	3	8
23	этого мотива	1	8
24	что в	4	8
25	связи с	1	8
26	и что	4	8
27	мы видим	1	8
28	с тем	2	8
29	том что	4	8
30	представляет собой	1	7
31	в нем	4	7
32	а затем	1	7
33	как и	5	7
34	потому что	2	7
35	о том	2	7
36	и здесь	2	7
37	то что	4	7
38	только в	1	7
39	с одной	1	7
40	этом случае	1	7
41	но это	4	7
42	тот кто	1	7
43	в иной	1	7
44	в частности	2	7
45	как в	3	6
46	это не	5	6
47	не может	5	6
48	не в	2	6
49	и он	3	6
50	что и	2	6
51	прежде всего	4	6
52	могут быть	1	6
53	в том	2	6
54	например в	1	5
55	в ней	1	5
56	но не	1	5
57	что это	5	5
58	но все	2	5
59	здесь мы	1	5
60	миф о	1	5
61	как мы	1	5
62	в образе	6	5
63	так же	4	5
64	для нас	1	5
65	и это	2	4
66	то же	5	4
67	в ее	2	4
68	в истории	1	4
69	и хотя	1	4
70	в которой	1	4
71	он не	2	4
72	не как	1	4
73	что все	2	4
74	тем не	1	4
75	не менее	1	4
76	того как	1	4
77	в дальнейшем	5	4
78	наряду с	1	4
79	с ним	3	4
80	чтобы убить	1	4
81	в основном	3	4
82	все это	4	4
83	в связи	1	4
84	из себя	1	4
85	также что	1	3
86	на себя	1	3
87	ему в	1	3
88	это же	1	3
89	и как	3	3
90	в целом	4	3
91	в этой	4	3
92	только один	1	3
93	на этом	1	3
94	видит что	1	3
95	но уже	1	3
96	и начинает	1	3
97	в то	5	3
98	друг друга	2	3
99	встречается в	1	3
100	что при	1	3
101	того чтобы	1	3
102	никогда не	2	3
103	и с	7	3
104	после того	1	3
105	о нем	1	3
106	но мы	1	3
107	к нему	3	3
108	в форме	1	3
109	и др	1	3
110	никто не	3	3
111	в особенности	1	3
112	и все	4	3
113	и она	1	3
114	всех людей	1	3
115	над ним	1	3
116	мы опять	1	3
117	в данном	2	3
118	в книге	1	3
119	героя и	1	3
120	состоит из	2	3
121	ту же	1	2
122	самом деле	1	2
123	во сне	2	2
124	одним из	1	2
125	а как	2	2
126	вопрос о	2	2
127	человека и	1	2
128	на них	1	2
129	во всех	1	2
130	в голове	1	2
131	эта связь	1	2
132	перед нами	2	2
133	уже в	3	2
134	и по	1	2
135	о чем	3	2
136	это было	1	2
137	в это	2	2
138	он же	1	2
139	которой он	1	2
140	несмотря на	5	2
141	в своей	1	2
142	но он	1	2
143	что этот	2	2
144	по себе	1	2
145	а на	1	2
146	она не	1	2
147	одна из	2	2
148	или как	1	2
149	мы узнаем	1	2
150	это происходит	1	2
151	данном случае	2	2
152	роль в	1	2
153	и сам	3	2
154	на нее	1	2
155	об этом	4	2
156	еще в	2	2
157	ничего не	2	2
158	он возвращается	1	2
159	того что	1	2
160	бросается в	2	2
161	во всем	1	2
162	то в	1	2
163	именно на	1	2
164	так что	2	2
165	чтобы он	1	2
166	они сами	1	2
167	у него	6	2
168	и вместе	1	2
169	и стал	1	2
170	попал в	1	2
171	как у	2	2
172	до этого	1	2
173	ее за	2	2
174	социальной жизни	1	2
175	говорит о	2	2
176	а не	1	2
177	с которым	1	2
178	один из	3	2
179	со своими	1	2
180	под влиянием	2	2
181	чтобы она	1	2
182	и потому	1	2
183	не знал	1	2
184	что за	3	2
185	как бы	7	2
186	понял что	1	2
187	с этой	1	2
188	это уже	2	2
189	и при	1	2
190	совершенно не	1	2
191	строится на	1	2
192	вряд ли	2	1
193	перед ним	1	1
194	что образ	3	1
195	сам по	1	1
196	силы и	1	1
197	и есть	1	1
198	что когда	1	1
199	а чтобы	1	1
200	проникает в	1	1
201	она все	2	1
202	должна быть	1	1
203	и могут	1	1
204	той же	1	1
205	x эта	2	1
206	что уже	1	1
207	не вполне	1	1
208	я не	4	1
209	очень скоро	1	1
210	затем он	1	1
211	черты его	1	1
212	давно известно	1	1
213	другим в	2	1
