N	3gram	Medvedev_U_1	Istorich
1	до сих пор	2	5
2	и то что	2	5
3	с другой стороны	3	4
4	не может быть	4	4
5	в этом случае	1	3
6	в данном случае	1	3
7	на то что	1	3
8	мы имеем в	1	2
9	то же самое	2	2
10	не только в	1	2
11	тем что он	1	2
12	но он уже	1	1
13	в своей работе	1	1
14	и не только	1	1
15	а не только	1	1
16	не могут быть	2	1
17	не в том	1	1
18	не случайно и	1	1
19	этого не было	1	1
20	в широком смысле	1	1
21	же самое что	1	1
22	можно сказать что	1	1
23	он может быть	1	1
24	и не случайно	1	1
25	часто встречается у	1	1
