N	3gram	Ircho_Kome_3	Myslijsy
1	в том что	9	16
2	по отношению к	3	5
3	по крайней мере	1	5
4	то же время	4	5
5	в то же	4	5
6	вместе с тем	3	4
7	с другой стороны	2	4
8	в то время	2	4
9	потому что он	1	3
10	более или менее	1	3
11	тем же словом	1	3
12	до сих пор	9	3
13	что он не	2	3
14	может быть только	1	3
15	с одной стороны	3	3
16	в свою очередь	6	3
17	и т д	1	3
18	тем не менее	3	3
19	для того чтобы	6	3
20	что и в	2	3
21	подобно тому как	1	2
22	в том же	1	2
23	из этих слов	1	2
24	в этом отношении	2	2
25	и т п	3	2
26	что мы не	1	2
27	в том чтобы	1	2
28	в первом случае	1	2
29	но вместе с	1	2
30	так и в	1	2
31	и в самом	3	2
32	можно сказать что	1	2
33	к тому что	1	2
34	том что она	1	1
35	таким образом что	1	1
36	одной стороны и	1	1
37	в свое время	1	1
38	не без основания	1	1
39	что ни одно	1	1
40	равно как и	1	1
41	не говоря уже	1	1
42	в себе самом	1	1
43	в самом деле	6	1
44	то же самое	3	1
45	во-вторых потому что	1	1
46	сих пор еще	1	1
47	однако она не	1	1
48	говоря уже о	1	1
49	к этому что	1	1
50	по самой своей	1	1
51	потому что по	1	1
52	и если бы	1	1
53	вместе с ним	2	1
54	за то что	1	1
55	до тех пор	3	1
56	так как все	1	1
57	еще не знает	1	1
58	же что и	1	1
59	потому что с	1	1
60	то время как	2	1
61	и не дает	1	1
62	он был бы	1	1
63	но столь же	1	1
64	только один из	1	1
65	самой своей природе	1	1
66	его отношение к	1	1
67	так или иначе	2	1
68	мысли что на	1	1
69	то по крайней	1	1
70	любовь к ней	3	1
71	по тому что	1	1
72	другой стороны нет	1	1
73	в других случаях	1	1
74	здесь не только	1	1
75	и о том	1	1
76	далеко не всегда	1	1
77	о том что	4	1
78	ничего общего с	1	1
79	свою очередь получает	1	1
80	из себя и	1	1
81	на то что	1	1
82	друг от друга	1	1
83	тому как мы	1	1
84	принадлежат к одному	1	1
85	после того как	1	1
86	таким образом и	1	1
87	по этому поводу	1	1
88	из них не	1	1
89	друг с другом	1	1
90	или вовсе не	1	1
91	именно потому что	2	1
92	к тому же	4	1
