N	2gram	Propp_Russ_2	Problema
1	в его	1	43
2	и не	1	42
3	и в	29	38
4	не может	5	27
5	может быть	13	26
6	как бы	18	22
7	отнюдь не	1	19
8	и с	10	17
9	и его	1	16
10	в этом	11	15
11	в нем	1	15
12	и т	5	14
13	только в	1	13
14	прежде всего	2	13
15	независимо от	1	13
16	но не	5	12
17	во всех	3	11
18	и для	2	11
19	не входит	1	10
20	отношение к	1	10
21	таким образом	6	10
22	в их	2	10
23	к нему	4	10
24	не только	10	9
25	не имеет	3	9
26	его в	8	9
27	но и	8	9
28	и как	2	8
29	входит в	1	8
30	было бы	3	8
31	место в	1	8
32	в том	22	8
33	и др	1	8
34	то что	5	8
35	еще не	6	7
36	в самом	1	7
37	вообще не	1	7
38	как и	11	7
39	и становится	1	7
40	не в	4	7
41	как мы	3	7
42	с другой	2	7
43	между тем	3	7
44	совершенно не	2	7
45	в своей	2	7
46	что в	22	7
47	на основе	1	6
48	там где	2	6
49	и наконец	1	6
50	в пределах	1	6
51	не к	2	6
52	не всегда	3	6
53	и этим	1	6
54	можно только	1	6
55	ничего не	1	6
56	все же	2	6
57	а в	9	6
58	только как	2	6
59	тем как	1	5
60	отличие от	3	5
61	в своем	1	5
62	все эти	3	5
63	при этом	6	5
64	то же	4	5
65	это не	5	5
66	в них	4	5
67	рядом с	1	5
68	далеко не	4	5
69	в отличие	3	5
70	так и	1	5
71	в основе	1	5
72	и о	3	5
73	никогда не	2	5
74	с ним	1	5
75	может иметь	1	5
76	в большинстве	1	5
77	не на	1	5
78	а не	4	5
79	могут быть	2	5
80	быть только	2	5
81	должно быть	2	5
82	имеет место	1	5
83	мы здесь	2	4
84	на самом	2	4
85	в виду	2	4
86	в ней	1	4
87	относится к	1	4
88	как в	7	4
89	но в	5	4
90	в данном	6	4
91	не менее	2	4
92	но они	1	4
93	в то	2	4
94	представлять себе	1	4
95	здесь не	1	4
96	в ее	3	4
97	данном случае	7	4
98	можно было	2	4
99	не с	2	4
100	о том	9	4
101	с ними	1	4
102	в других	15	4
103	в форме	2	4
104	и потому	1	4
105	сказать что	1	4
106	другой стороны	1	4
107	ли мы	1	3
108	например в	1	3
109	говорить о	1	3
110	на них	4	3
111	иногда и	2	3
112	нет и	1	3
113	кроме того	2	3
114	не будем	3	3
115	а как	1	3
116	с другими	3	3
117	несмотря на	1	3
118	том что	22	3
119	тем не	2	3
120	на него	1	3
121	как его	1	3
122	в противном	1	3
123	все то	2	3
124	как только	1	3
125	в применении	1	3
126	и это	1	3
127	хотя и	1	3
128	и от	3	3
129	приводит к	1	3
130	если бы	1	3
131	природы и	2	3
132	но с	1	3
133	мы увидим	1	3
134	с одной	2	3
135	вопроса о	1	3
136	и должна	1	3
137	и даже	1	3
138	оно не	1	3
139	одной стороны	2	3
140	связь с	3	3
141	в иных	1	3
142	в область	1	3
143	применении к	1	3
144	и на	6	3
145	в тех	1	3
146	но это	1	3
147	все это	10	3
148	не является	1	3
149	она может	1	3
150	и другими	1	3
151	от него	1	3
152	и все	4	3
153	в таком	4	3
154	все что	1	3
155	можно говорить	1	2
156	относится и	1	2
157	он может	1	2
158	и есть	1	2
159	в котором	3	2
160	мы имеем	6	2
161	не во	1	2
162	совпадает с	1	2
163	но она	2	2
164	не все	4	2
165	показать что	1	2
166	что это	3	2
167	ни одна	1	2
168	лица и	1	2
169	на то	1	2
170	а к	2	2
171	не следует	1	2
172	он должен	1	2
173	на этом	3	2
174	здесь мы	2	2
175	и других	3	2
176	только там	1	2
