N	2gram	Nazirov_Tr_1	Marksizm
1	может быть	7	26
2	и не	7	26
3	не может	5	24
4	и в	18	19
5	и его	6	19
6	таким образом	1	17
7	в этом	9	16
8	как бы	7	15
9	как мы	1	13
10	прежде всего	4	13
11	как и	5	12
12	так и	5	11
13	связи с	1	11
14	самом деле	1	10
15	в нем	4	10
16	– в	1	10
17	в самом	2	10
18	лишь в	1	9
19	только в	1	9
20	для него	3	9
21	в результате	1	9
22	как система	1	8
23	все же	5	8
24	не только	8	8
25	при этом	3	8
26	друг друга	2	8
27	но и	4	8
28	то что	4	8
29	во всех	1	7
30	в ее	2	7
31	но в	6	7
32	все эти	3	7
33	то же	5	7
34	а не	1	7
35	в связи	1	7
36	так же	4	7
37	отнюдь не	3	6
38	так сказать	1	6
39	ничего не	2	6
40	и здесь	2	6
41	в его	3	6
42	в том	2	6
43	с помощью	1	6
44	в основном	3	6
45	отличие от	2	5
46	рядом с	1	5
47	в отличие	2	5
48	не в	2	5
49	того чтобы	1	5
50	и все	4	5
51	в конце	3	5
52	за пределы	1	5
53	именно в	1	5
54	до конца	2	5
55	и потому	1	5
56	хотя бы	1	5
57	во всяком	1	5
58	вопрос о	2	4
59	и на	7	4
60	чем же	1	4
61	как в	3	4
62	к одному	1	4
63	здесь мы	1	4
64	не столько	1	4
65	не менее	1	4
66	по себе	1	4
67	самого начала	1	4
68	не является	1	4
69	в ней	1	4
70	с самого	1	4
71	еще не	4	4
72	только на	1	4
73	как же	2	4
74	в данном	2	4
75	в условиях	1	4
76	жизни в	1	4
77	и эта	1	4
78	что в	4	4
79	и есть	1	3
80	высшей степени	1	3
81	а как	2	3
82	в истории	1	3
83	и как	3	3
84	в первом	2	3
85	в которой	1	3
86	но все	2	3
87	его в	2	3
88	он не	2	3
89	в высшей	1	3
90	том что	4	3
91	в своей	1	3
92	и ее	2	3
93	в котором	1	3
94	речи в	1	3
95	в то	5	3
96	не имеет	2	3
97	же время	6	3
98	в области	1	3
99	не могут	2	3
100	не есть	1	3
101	и это	2	3
102	в дальнейшем	5	3
103	понятно что	1	3
104	конце концов	1	3
105	того что	1	3
106	нуждается в	1	3
107	между тем	1	3
108	социальной жизни	1	3
109	не было	1	3
110	на этот	1	3
111	все это	4	3
112	xix века	1	3
113	смысле этого	1	3
114	этом случае	1	3
115	и от	1	3
116	и при	1	3
117	совершенно не	1	3
118	это и	1	3
119	ту же	1	2
120	одним из	1	2
121	значение выходящее	1	2
122	в какой-то	1	2
123	той же	1	2
124	и он	3	2
125	но при	2	2
126	быть в	1	2
127	в чем	1	2
128	не просто	2	2
129	в своем	3	2
130	то в	1	2
131	бы и	2	2
132	в себе	4	2
133	как он	1	2
134	если он	1	2
135	тем не	1	2
136	должна быть	1	2
137	не как	1	2
138	можно было	1	2
139	от нее	1	2
140	что все	2	2
141	в другом	1	2
142	конечно в	1	2
143	и с	7	2
144	бы в	1	2
145	ни в	2	2
146	от него	1	2
147	должно быть	3	2
148	или вообще	1	2
149	тому что	1	2
150	этими двумя	2	2
151	одна из	2	2
152	иными словами	1	2
153	связь и	1	2
154	могут быть	1	2
155	к тому	2	2
156	она не	1	2
157	с ее	3	2
158	в виду	1	2
159	и которую	1	2
160	никогда не	2	2
161	мог бы	3	2
162	между собой	1	2
163	и даже	4	2
164	ними как	1	2
165	ситуации и	1	2
166	и т.д	1	2
167	о том	2	2
168	все в	1	2
169	что и	2	2
170	говорит он	1	2
171	в литературе	1	2
172	в двух	1	2
173	что он	6	2
174	между этими	2	2
175	именно на	1	2
176	и др	1	2
177	и их	1	2
178	всяком случае	1	2
179	тем что	2	2
180	что не	1	2
181	одну из	1	2
182	и вне	1	2
183	в частности	2	2
184	этого слова	1	2
185	с этой	1	2
186	но если	1	2
187	в романе	10	2
188	к этой	1	2
189	в таком	2	2
190	а между	1	1
191	например в	1	1
192	имеет целью	1	1
193	и то	2	1
194	отметим что	1	1
195	и до	2	1
196	она все	2	1
197	исходит из	1	1
198	века в	1	1
199	хлеб и	1	1
200	то для	1	1
201	связаны между	1	1
202	вместо того	1	1
203	принципиальный отказ	1	1
204	в целом	4	1
205	он очень	1	1
206	на них	1	1
207	он сам	7	1
208	и личность	2	1
209	но этого	2	1
210	столь же	2	1
211	с его	2	1
212	ее к	2	1
213	отказ от	1	1
214	но как	1	1
215	в голове	1	1
216	в общем	1	1
217	должны были	1	1
218	отношение к	2	1
219	большое значение	1	1
220	как говорит	2	1
221	материалом для	1	1
222	в маленьких	1	1
223	– но	1	1
224	это был	2	1
225	и наконец	1	1
226	общую для	1	1
227	этой идеи	1	1
228	психика не	1	1
229	добро и	1	1
230	за свои	1	1
231	со своей	1	1
232	именно эта	1	1
233	что это	5	1
234	даже самый	1	1
235	средство для	1	1
236	в этой	4	1
237	всего необходимо	1	1
238	не могла	1	1
239	и если	1	1
240	чтобы он	1	1
241	рассмотрению и	1	1
242	перестает быть	1	1
243	не значит	1	1
244	и вот	1	1
245	в россии	1	1
246	проблема индивидуального	1	1
247	по всем	1	1
248	вообще не	1	1
249	способен на	1	1
250	и по	1	1
251	в образе	6	1
252	же не	1	1
253	и глубоким	1	1
254	а по	1	1
255	на все	1	1
256	потому как	1	1
257	это не	5	1
258	за бортом	1	1
259	совершенно иная	1	1
260	лишь на	1	1
261	эти же	1	1
262	но уже	1	1
263	нет в	2	1
264	с тем	2	1
265	со своими	1	1
266	синтеза и	1	1
267	очень важный	1	1
268	еще в	2	1
269	к истории	1	1
270	наших дней	1	1
271	почти не	1	1
272	знает и	1	1
273	что я	4	1
274	мы отметим	1	1
275	начнем с	1	1
276	тем самым	3	1
277	xviii века	1	1
278	того как	1	1
279	хочет и	1	1
280	он с	1	1
281	и всегда	1	1
282	в самой	1	1
283	или как	1	1
284	в русском	2	1
285	к ней	1	1
286	по своей	1	1
287	камень и	1	1
288	потому что	2	1
289	же по	1	1
290	перед ним	1	1
291	никакого значения	1	1
292	в духе	1	1
293	же во	1	1
294	к речи	1	1
295	людей в	1	1
296	этом даже	1	1
297	в применении	1	1
298	едина и	1	1
299	и служит	1	1
300	в особенности	1	1
301	только не	1	1
302	и совершенно	1	1
303	природе своей	1	1
304	на нее	1	1
305	по природе	1	1
306	выходящее за	1	1
307	о нем	1	1
308	является по	1	1
309	и должно	1	1
310	и что	4	1
311	встреча не	1	1
312	на страницах	3	1
313	творческий процесс	1	1
314	нет это	1	1
315	к нему	3	1
316	отметить что	1	1
317	в форме	1	1
318	есть элементы	1	1
319	ее содержание	1	1
320	который до	1	1
321	для самого	1	1
322	в каких	1	1
323	мы видим	1	1
324	с ними	1	1
325	с одной	1	1
326	уже чисто	1	1
327	так что	2	1
328	первостепенное значение	1	1
329	но теперь	1	1
330	уже не	2	1
331	уже в	3	1
332	значение и	1	1
333	характерно что	1	1
334	слова в	1	1
335	в одном	2	1
336	и один	1	1
337	моральных норм	1	1
338	ту сторону	1	1
339	быть по	1	1
340	характерны для	1	1
341	романа в	1	1
342	думается нам	1	1
343	о чем	3	1
344	под влиянием	2	1
345	его как	1	1
346	мог быть	1	1
347	отметим лишь	1	1
348	ко всем	1	1
349	как это	3	1
350	но не	1	1
351	в моей	1	1
352	к жизни	5	1
353	в той	1	1
354	применении к	1	1
355	для понимания	1	1
356	быть не	1	1
357	есть и	1	1
358	его за	2	1
359	как так	1	1
360	в недрах	1	1
361	известной степени	1	1
362	при таком	1	1
363	жив и	1	1
364	в силах	2	1
365	и темы	1	1
366	страницах романа	1	1
367	обстоит дело	1	1
368	что лишний	1	1
369	он же	1	1
370	состоит из	2	1
371	но этот	1	1
372	и особенно	1	1
