N	3gram	Voloshinov_1	Tvorches
1	то же время	1	7
2	в то же	1	7
3	по отношению к	3	3
4	не может быть	4	3
5	в самом деле	2	2
6	и не может	1	2
7	в отличие от	1	2
8	так же как	1	2
9	с другой стороны	2	2
10	в том что	2	2
11	в другом месте	1	1
12	том что в	1	1
13	нет и не	1	1
14	в г в	2	1
15	нужно сказать что	1	1
16	можно было бы	1	1
17	в черновых набросках	1	1
18	то или иное	1	1
19	только потому что	1	1
20	художественного произведения как	2	1
21	только то что	1	1
22	но в то	1	1
23	в чем же	1	1
24	в связи с	1	1
25	может быть понята	1	1
26	в виду что	1	1
27	потому что они	1	1
28	того или иного	2	1
29	мы не можем	1	1
30	ничего общего с	2	1
31	и никогда не	1	1
32	с самого начала	2	1
33	и превращается в	1	1
34	в конечном счете	1	1
35	этот момент как	1	1
36	на всем протяжении	1	1
37	в предисловии к	1	1
38	как и в	1	1
