N	4gram	Trubetskoy_1	Myslijsy
1	в то же время	2	3
2	одной и той же	1	3
3	не в том что	1	2
4	дело в том что	1	2
5	одного и того же	3	2
6	но с другой стороны	1	2
7	а в том что	1	2
8	в том и другом	1	2
9	уже о том что	1	1
10	лишь в том что	3	1
11	говоря уже о том	1	1
12	разница лишь в том	1	1
13	с психологической точки зрения	1	1
14	бы то ни было	2	1
15	с этой точки зрения	1	1
16	а между тем в	1	1
17	от того будет ли	1	1
18	том что все они	1	1
19	в том что все	1	1
20	выше мы видели что	1	1
21	тем не менее в	1	1
22	народа выше мы видели	1	1
23	выйти из этого круга	1	1
24	и в том и	1	1
25	в том что при	1	1
26	в том виде в	1	1
27	заключается в том что	2	1
28	не говоря уже о	1	1
29	это не более как	1	1
