N	2gram	Medvedev_F_3	Russkaja
1	не может	24	22
2	и не	30	19
3	в том	7	17
4	в этом	18	17
5	и в	27	14
6	с другом	1	14
7	друг с	1	14
8	то что	8	13
9	то же	15	11
10	точки зрения	16	11
11	таким образом	18	11
12	в то	7	10
13	же время	7	10
14	но и	10	10
15	в себе	3	9
16	не только	9	9
17	том что	4	9
18	с точки	14	9
19	может быть	25	9
20	во всяком	6	9
21	того чтобы	5	8
22	прежде всего	4	8
23	самом деле	16	7
24	отнюдь не	8	7
25	и если	1	7
26	и с	3	7
27	в данном	6	7
28	к тому	4	7
29	не будет	1	7
30	о том	4	7
31	мы должны	2	7
32	ни к	1	7
33	в своем	2	6
34	в россии	2	6
35	с тем	7	6
36	в своих	6	6
37	и при	1	6
38	если бы	12	6
39	все это	7	6
40	и для	6	6
41	для того	4	6
42	что он	6	6
43	всяком случае	6	6
44	для всех	1	6
45	для него	1	6
46	на самом	14	6
47	и на	3	5
48	между собой	4	5
49	во всех	3	5
50	на то	1	5
51	в нем	15	5
52	при этом	8	5
53	он не	1	5
54	было бы	6	5
55	в своей	6	5
56	никогда не	5	5
57	данного народа	1	5
58	потому что	7	5
59	между тем	7	5
60	а потому	1	5
61	и только	2	5
62	только в	8	5
63	хотя бы	6	5
64	конечно не	4	5
65	или иной	2	5
66	до сих	1	5
67	по существу	1	5
68	сих пор	1	5
69	а в	1	5
70	жизни в	3	5
71	и то	1	4
72	бы то	4	4
73	но не	5	4
74	себе и	1	4
75	себя в	1	4
76	все же	6	4
77	не в	12	4
78	в этой	2	4
79	в корне	4	4
80	на земле	2	4
81	тому чтобы	1	4
82	то ни	4	4
83	что такой	1	4
84	его в	7	4
85	как и	14	4
86	в их	1	4
87	тогда когда	4	4
88	от того	2	4
89	не могут	10	4
90	когда они	1	4
91	идет речь	1	4
92	в мире	1	4
93	можно было	1	4
94	путь к	1	4
95	в его	7	4
96	так как	9	4
97	лишь к	2	4
98	со стороны	4	4
99	вместе с	6	4
100	он будет	1	4
101	что же	5	4
102	как бы	8	4
103	в другое	1	4
104	возможно лишь	2	4
105	жизни и	4	4
106	что в	8	4
107	и т	11	3
108	то в	2	3
109	и этот	1	3
110	так чтобы	2	3
111	говорить о	2	3
112	еще не	6	3
113	из этих	2	3
114	россии и	2	3
115	что они	5	3
116	в самом	11	3
117	что это	3	3
118	ни одна	1	3
119	главным образом	2	3
120	и по	1	3
121	лишь в	9	3
122	для них	7	3
123	о которых	1	3
124	должно быть	1	3
125	всех этих	2	3
126	но если	2	3
127	таким же	2	3
128	мы говорили	1	3
129	знаем что	2	3
130	одна из	2	3
131	связи с	5	3
132	в сознании	1	3
133	то это	1	3
134	той или	1	3
135	данном случае	4	3
136	для этого	2	3
137	сводится к	5	3
138	но мы	1	3
139	в значительной	1	3
140	и во	2	3
141	что и	2	3
142	а следовательно	1	3
143	что бы	1	3
144	в лучшем	1	3
145	того что	3	3
146	одной из	2	3
147	в качестве	1	3
148	в большинстве	4	3
149	из них	2	3
150	условии если	1	3
151	в конце	3	3
152	друг друга	5	3
153	тем что	5	3
154	именно в	1	3
155	только к	1	3
156	что для	1	3
157	не было	1	3
158	и потому	5	3
159	в положении	1	3
160	да и	4	3
161	этом случае	1	3
162	при условии	1	3
163	лучшем случае	1	3
164	она может	1	3
165	о котором	1	3
166	конце концов	2	3
167	и как	4	3
168	все они	1	3
169	не есть	4	3
170	из этого	4	3
171	собой это	1	3
172	от этой	1	2
173	к данному	1	2
174	от своей	1	2
175	должна быть	3	2
176	видеть в	1	2
177	и полнотой	1	2
178	но даже	1	2
179	в ней	5	2
180	в таком	2	2
181	или от	1	2
182	время в	3	2
183	они будут	2	2
184	именно на	2	2
185	по отношению	3	2
186	не просто	1	2
187	сама по	1	2
188	с этим	1	2
189	последнее время	1	2
190	но в	6	2
191	однако отнюдь	1	2
192	не можем	2	2
193	все эти	6	2
194	это учение	2	2
195	и тот	1	2
196	и те	4	2
197	сами эти	2	2
198	говорили в	1	2
199	не к	1	2
200	касается до	1	2
201	факт что	1	2
202	мы уже	3	2
203	того или	1	2
204	на почве	2	2
205	по себе	4	2
206	и тем	3	2
207	в единое	1	2
208	и тогда	2	2
209	нисколько не	2	2
210	в этих	3	2
211	в котором	2	2
212	место в	10	2
213	друг другу	2	2
214	и более	3	2
215	их в	3	2
216	том же	1	2
217	бы нас	1	2
218	тому что	3	2
219	она не	4	2
220	только для	1	2
221	каждого отдельного	1	2
222	ясностью и	1	2
223	принадлежат к	2	2
224	для нас	3	2
225	следовательно и	4	2
226	больше чем	1	2
227	и является	4	2
228	в области	2	2
229	отличается от	2	2
230	если же	5	2
231	и о	1	2
232	если они	2	2
233	ясно что	3	2
234	это только	2	2
235	даже не	1	2
236	и должно	1	2
237	настоящее время	1	2
238	и что	3	2
239	от него	2	2
240	это в	1	2
241	быть и	1	2
242	что только	1	2
243	совершенно не	7	2
244	проявляется в	2	2
245	бы ни	4	2
246	так что	1	2
247	уже не	3	2
248	на такой	1	2
249	только на	4	2
250	в начале	1	2
251	является не	2	2
252	его и	3	2
253	не так	1	2
254	ни в	8	2
255	чтобы она	1	2
256	не о	3	2
257	мы можем	4	2
258	и вместе	1	2
259	в других	1	2
260	даже и	1	2
261	и даже	2	2
262	зависит от	1	2
263	а не	17	2
264	большинстве случаев	5	2
265	совершенно очевидно	1	2
266	в частности	1	2
267	так же	9	2
268	тот факт	1	2
269	в течение	1	2
270	или иного	1	2
271	отношения к	2	2
272	но это	2	2
273	но для	2	2
274	и от	11	2
275	в результате	5	2
276	в настоящее	1	2
277	не должен	1	2
278	с ним	1	2
279	отношении к	1	2
280	бы его	1	2
281	значило бы	1	2
282	ее в	3	2
283	тем самым	1	2
284	не должны	1	1
285	и действительно	2	1
286	должен быть	2	1
287	того же	3	1
288	он может	2	1
289	тех же	1	1
290	другие из	1	1
291	это и	2	1
292	определенные условия	1	1
293	ту же	2	1
294	противном случае	1	1
295	с таким	2	1
296	со своей	1	1
297	к созданию	1	1
298	в зависимости	5	1
299	и искать	1	1
300	лишь тогда	2	1
301	есть не	1	1
302	может признать	1	1
303	мы не	4	1
304	же как	3	1
305	он считает	2	1
306	нас важно	1	1
307	на место	1	1
308	к новой	1	1
309	не была	1	1
310	в каждый	1	1
311	в сущности	2	1
312	потому-то в	1	1
313	оно есть	1	1
314	в полной	2	1
315	образом оказывается	1	1
316	формы в	3	1
317	чем больше	1	1
318	он был	4	1
319	не был	1	1
320	столь же	3	1
321	что его	1	1
322	к этому	2	1
323	а только	1	1
324	значение и	1	1
325	только тогда	1	1
326	данного человека	1	1
327	в общем	2	1
328	должны были	1	1
329	очевидно что	2	1
330	оно является	1	1
331	из таких	1	1
332	в истории	5	1
333	в одной	5	1
334	данный момент	2	1
335	в противном	1	1
336	является тем	1	1
337	мы подойдем	1	1
338	не являются	2	1
339	от этого	2	1
340	которых идет	1	1
341	и конечно	1	1
