N	3gram	Vinokur_Vv_1	Analitik
1	в том что	12	7
2	по отношению к	4	7
3	с другой стороны	5	5
4	о том что	12	5
5	мы имеем дело	1	4
6	по крайней мере	4	4
7	в свою очередь	1	4
8	и того же	2	3
9	о полку игореве	1	3
10	в данном случае	4	3
11	то же время	5	3
12	той или иной	1	3
13	в то же	5	3
14	одного и того	2	3
15	в этом отношении	3	3
16	судя по его	1	2
17	дело в том	2	2
18	подобно тому как	1	2
19	с точки зрения	2	2
20	одной и той	2	2
21	в отличие от	3	2
22	в значительной степени	1	2
23	с одной стороны	4	2
24	сама по себе	3	2
25	тем не менее	8	2
26	тем или иным	1	2
27	во всяком случае	3	2
28	в свое время	2	2
29	что несмотря на	2	2
30	а в том	1	2
31	и прежде всего	1	2
32	можно сказать что	3	2
33	и той же	2	2
34	в сравнении с	1	2
35	а между тем	1	1
36	что иное как	4	1
37	не только по	1	1
38	нами не как	1	1
39	не говоря уже	2	1
40	на самом деле	1	1
41	одной из этих	1	1
42	в самом деле	5	1
43	и в особенности	4	1
44	в этом смысле	10	1
45	по тем или	1	1
46	в этом случае	6	1
47	обратим внимание на	1	1
48	что в общем	1	1
49	как если бы	1	1
50	до сих пор	5	1
51	говоря уже о	1	1
52	в зависимости от	1	1
53	хотя бы и	2	1
54	же время в	1	1
55	на этот вопрос	3	1
56	в самой себе	1	1
57	но и как	1	1
58	именно в этом	3	1
59	ту или иную	1	1
60	мысли и чувства	1	1
61	как раз в	1	1
62	сам по себе	1	1
63	одна из наиболее	1	1
64	в том чтобы	5	1
65	дело не с	1	1
66	не только в	4	1
67	тот факт что	1	1
68	в применении к	6	1
69	в известном смысле	3	1
70	не могут быть	2	1
71	который мог бы	1	1
72	имеем дело с	1	1
73	так или иначе	4	1
74	не в том	2	1
75	в связи с	2	1
76	нередко встречается в	1	1
77	лишь в том	1	1
78	лицом к лицу	1	1
79	для того чтобы	21	1
80	не только как	3	1
81	прежде всего к	1	1
82	действительность в ее	3	1
83	характера как это	1	1
84	того или иного	1	1
85	есть не что	2	1
86	такого же рода	1	1
87	не может быть	8	1
88	но с другой	1	1
89	крайней мере не	1	1
90	в первом случае	2	1
91	само по себе	3	1
92	этого слова как	1	1
93	вопрос о том	5	1
94	и т.д в	1	1
95	с этой стороны	1	1
96	до тех пор	1	1
97	заключается в том	3	1
98	того же автора	1	1
99	было бы сказать	1	1
100	в каждом из	1	1
101	не что иное	4	1
102	дело не в	1	1
103	обратить внимание на	2	1
