N	2gram	Vinokur_St_2	Retstnzi
1	не может	2	4
2	и в	29	3
3	один из	1	2
4	нуждаются в	1	1
5	на нее	3	1
6	то же	2	1
7	с другими	1	1
8	произведения но	1	1
9	можно назвать	1	1
10	в ней	7	1
11	формальных приемов	1	1
12	его от	1	1
13	может быть	2	1
14	литературного языка	2	1
15	в выборе	1	1
16	из этих	1	1
17	и не	9	1
18	в его	13	1
19	во второй	1	1
20	связи с	4	1
21	конечно и	2	1
22	первая часть	1	1
23	не только	19	1
24	с точки	2	1
25	сравнении с	2	1
26	становится особенно	1	1
27	в каждом	1	1
28	не менее	3	1
29	при сравнении	2	1
30	для него	4	1
31	и тому	1	1
32	если бы	2	1
33	с теми	1	1
34	языка стр	1	1
35	тому что	7	1
36	нет и	2	1
37	к тому	10	1
38	в особенности	2	1
39	несмотря на	2	1
40	и все	1	1
41	в то	2	1
42	в конкретном	1	1
43	бы в	1	1
44	языка как	1	1
45	но и	19	1
46	точки зрения	5	1
47	и на	6	1
48	истории русского	1	1
49	в языке	5	1
50	же время	1	1
51	событий и	1	1
52	русского литературного	1	1
53	по своим	1	1
54	а не	5	1
