N	2gram	Medvedev_S_1	Vladivir
1	и в	3	30
2	в этом	5	20
3	то что	2	20
4	у него	1	19
5	и не	1	18
6	в том	5	18
7	что он	1	13
8	в конце	2	13
9	не только	3	12
10	том что	2	12
11	что в	2	12
12	в его	3	11
13	а в	1	11
14	не было	1	10
15	все же	1	9
16	было бы	2	9
17	не в	3	9
18	в то	1	9
19	не может	1	9
20	связи с	1	8
21	но и	2	8
22	в связи	1	8
23	никогда не	1	7
24	может быть	2	7
25	для нас	3	7
26	и его	1	6
27	только в	2	6
28	всяком случае	1	6
29	еще и	1	6
30	прежде всего	1	6
31	во всяком	1	6
32	все эти	1	5
33	как и	1	5
34	в своей	1	5
35	в котором	1	5
36	по себе	1	5
37	так и	1	5
38	с ним	1	5
39	и что	2	5
40	как бы	2	5
41	все это	7	5
42	в результате	2	5
43	то же	2	4
44	время в	1	4
45	что это	1	4
46	в целом	1	4
47	в этой	1	4
48	его в	1	4
49	и мы	2	4
50	в этих	1	4
51	по крайней	1	4
52	мы должны	1	4
53	и о	1	4
54	о том	1	4
55	конечно не	1	4
56	вовсе не	1	4
57	крайней мере	1	4
58	именно в	1	4
59	в те	1	4
60	и наконец	1	4
61	на этот	1	4
62	но не	1	3
63	и как	1	3
64	таким образом	2	3
65	те же	1	3
66	в них	1	3
67	же время	1	3
68	в области	1	3
69	когда мы	1	3
70	никак не	1	3
71	в виде	1	3
72	наконец в	1	3
73	конце концов	2	3
74	в данном	1	3
75	по существу	2	3
76	тем более	2	3
77	хотя бы	1	3
78	я и	1	2
79	и есть	1	2
80	что эти	1	2
81	только тогда	1	2
82	же это	1	2
83	и по	1	2
84	это значит	1	2
85	на все	1	2
86	это не	1	2
87	мы не	1	2
88	на первый	1	2
89	даже в	1	2
90	а вот	1	2
91	тогда и	1	2
92	не желая	1	2
93	ровно ничего	1	2
94	как будто	2	2
95	больше того	1	2
96	всему этому	1	2
97	в настоящее	1	2
98	ничего не	1	2
99	первый план	1	2
100	настоящее время	1	2
101	в чем	1	2
102	в сущности	1	2
103	него и	1	2
104	в частности	2	2
105	и потому	1	2
106	даже больше	1	2
107	и цельного	1	1
108	этом не	1	1
109	но она	1	1
110	литературы и	2	1
111	протестовал против	1	1
112	чуть ли	1	1
113	не без	1	1
114	слишком много	1	1
115	наше дело	1	1
116	но как	1	1
117	и никак	1	1
118	более чем	3	1
119	вопросом о	1	1
120	в серьезных	1	1
121	право на	1	1
122	что она	1	1
123	главным образом	2	1
124	он ни	1	1
125	не вызвать	1	1
126	базируются на	1	1
127	что все	1	1
128	будто в	1	1
129	далеко не	2	1
130	на основании	1	1
131	со своими	1	1
132	между собою	1	1
133	к вопросам	1	1
134	место в	1	1
135	дело не	2	1
136	но только	1	1
137	существу это	1	1
138	ли не	1	1
139	исторической жизни	2	1
140	только то	1	1
141	еще не	2	1
142	том как	1	1
143	пишет следующее	1	1
144	для этого	1	1
145	против этого	1	1
146	и должно	1	1
147	тех кто	1	1
148	может не	1	1
149	жизни он	1	1
150	тотчас же	1	1
151	в него	1	1
152	и самые	1	1
153	не мешает	1	1
154	существу своему	1	1
155	или даже	2	1
156	тем что	1	1
157	нужно было	2	1
158	даже не	1	1
159	и русская	1	1
160	вот в	1	1
161	русская идея	1	1
162	все то	1	1
163	ни на	1	1
164	он говорит	1	1
165	но сам	1	1
166	перед нами	1	1
167	в смысле	2	1
168	развития и	1	1
169	из себя	1	1
170	пришлось бы	1	1
171	которые базируются	1	1
172	между ними	1	1
173	только как	2	1
174	по необходимости	1	1
175	они не	1	1
