N	2gram	Tiupa_Anal_2	EvropaiE
1	и в	16	37
2	в отношении	1	32
3	в пределах	9	25
4	точки зрения	4	23
5	что в	2	21
6	не только	16	18
7	с точки	2	17
8	в то	2	16
9	то же	4	15
10	хотя бы	1	15
11	отношении к	1	15
12	в своем	4	14
13	но в	6	14
14	же время	2	14
15	в качестве	11	14
16	но и	12	14
17	и не	12	14
18	в этом	18	12
19	в их	3	11
20	в том	12	11
21	так и	15	10
22	отнюдь не	8	9
23	в себе	7	9
24	только в	4	9
25	прежде всего	3	9
26	не может	4	9
27	так же	2	9
28	т е	2	9
29	в ее	1	8
30	было бы	3	8
31	в своей	2	8
32	к тому	7	8
33	между тем	2	8
34	с одной	5	8
35	одной стороны	4	8
36	также и	1	7
37	а также	7	7
38	того что	2	7
39	так как	1	7
40	с другой	6	7
41	как и	14	7
42	между прочим	1	7
43	может быть	6	6
44	и на	6	6
45	во всех	4	6
46	стороны и	1	6
47	на то	2	6
48	то есть	9	6
49	том что	12	6
50	вслед за	2	6
51	вовсе не	2	6
52	и даже	9	6
53	как бы	10	6
54	с этой	1	6
55	то что	7	6
56	столь же	4	5
57	но не	4	5
58	не в	4	5
59	и по	1	5
60	к которым	1	5
61	к мировому	1	5
62	но если	1	5
63	тем самым	4	5
64	как мы	3	5
65	одной из	3	5
66	со стороны	3	5
67	в частности	16	5
68	и потому	1	5
69	этой точки	1	5
70	в полной	1	4
71	но даже	1	4
72	независимо от	1	4
73	в самом	6	4
74	того или	3	4
75	несмотря на	3	4
76	даже в	2	4
77	не имеет	2	4
78	той или	3	4
79	по себе	2	4
80	можно сказать	4	4
81	тем более	1	4
82	именно в	3	4
83	на всем	1	4
84	или иной	3	4
85	мира в	1	4
86	как это	6	4
87	для нас	1	4
88	сказать что	2	4
89	или иного	3	4
90	в применении	1	3
91	идет о	1	3
92	с более	1	3
93	бы и	1	3
94	на себя	5	3
95	того же	4	3
96	в общем	2	3
97	как в	4	3
98	когда он	1	3
99	и к	5	3
100	себе не	2	3
101	всего лишь	8	3
102	представляет собой	8	3
103	в известном	1	3
104	но на	1	3
105	вообще не	2	3
106	этом смысле	2	3
107	и тем	4	3
108	в них	1	3
109	во второй	4	3
110	никогда не	3	3
111	потому что	1	3
112	уже и	2	3
113	с другом	1	3
114	во все	1	3
115	можно было	3	3
116	общем строе	1	3
117	о том	7	3
118	от них	1	3
119	место в	3	3
120	что и	3	3
121	известном смысле	1	3
122	различия в	1	3
123	из них	3	3
124	очевидно что	1	3
125	к ним	1	3
126	тем что	3	3
127	этом отношении	3	3
128	в свою	1	3
129	говорит о	5	3
130	в данном	8	3
131	применении к	1	3
132	друг с	1	3
133	не является	1	3
134	известной степени	1	3
135	и для	2	3
136	в результате	3	3
137	ее в	1	3
138	как на	1	3
139	в таком	2	3
140	и наиболее	1	2
141	и то	3	2
142	мира не	1	2
143	по преимуществу	4	2
144	ведь и	2	2
145	есть не	1	2
146	именно к	1	2
147	из того	1	2
148	а тем	1	2
149	в сторону	5	2
150	хотя и	4	2
151	тому или	1	2
152	и как	1	2
153	в этой	9	2
154	в случае	2	2
155	и если	3	2
156	бы от	1	2
157	он не	2	2
158	или иному	1	2
159	прочим и	1	2
160	в силу	1	2
161	таким образом	2	2
162	в мире	6	2
163	заключается в	1	2
164	например с	1	2
165	далеко не	1	2
166	нас к	2	2
167	видим как	1	2
168	иначе говоря	11	2
169	такой же	1	2
170	в эту	3	2
171	в этих	2	2
172	или точнее	2	2
173	в котором	2	2
174	не к	1	2
175	и более	1	2
176	при условии	1	2
177	она не	2	2
178	тогда когда	1	2
179	и имеет	1	2
180	констатировать что	1	2
181	по своей	1	2
182	как будто	3	2
183	что на	3	2
184	могут быть	10	2
185	случаях когда	1	2
186	всего в	2	2
187	только одно	1	2
188	имеет место	4	2
189	свою очередь	1	2
190	данном случае	5	2
191	на основе	2	2
192	наше внимание	1	2
193	если бы	3	2
194	второй половине	1	2
195	и что	1	2
196	в значительной	2	2
197	и во	2	2
198	к нему	1	2
199	в его	2	2
200	мы должны	1	2
201	этот вопрос	1	2
202	в какой	1	2
203	силы в	1	2
204	есть в	3	2
205	в одном	2	2
206	другой и	1	2
207	на уровне	9	2
208	только к	1	2
209	на этот	2	2
210	а не	10	2
211	не означает	1	2
212	долгое время	1	2
213	с а	1	2
214	что все	2	2
215	начиная с	1	2
216	вместе с	2	2
217	относятся к	1	2
218	что же	1	2
219	ко всему	1	2
220	в рассуждении	2	2
221	или в	3	2
222	и все	3	2
223	бы в	3	2
224	еще более	2	2
225	всех прочих	1	2
226	и наконец	1	2
227	же в	1	2
228	мы видим	1	2
229	а в	3	2
230	не есть	2	2
231	имеет в	1	2
232	другой стороны	2	2
233	частности в	2	2
234	случится а	1	1
235	как известно	1	1
236	ко всем	1	1
237	и т	1	1
238	в тех	1	1
239	получает в	1	1
240	тех же	1	1
241	перед лицом	2	1
242	и до	2	1
243	указанных выше	1	1
244	речь идет	2	1
245	исходит из	1	1
246	противном случае	1	1
247	той же	2	1
248	почти все	1	1
249	говорить о	6	1
250	которые при	1	1
251	социальной группы	1	1
252	в сочетании	7	1
253	быть в	1	1
254	но скорее	1	1
255	нам представляется	1	1
256	что его	1	1
257	с его	1	1
258	тем как	1	1
259	и всего	1	1
260	по отношению	4	1
261	тогда как	19	1
262	от остального	1	1
263	отличие от	2	1
264	и будет	1	1
265	за пределы	4	1
266	и небольшой	1	1
267	в центре	3	1
268	в рамках	3	1
269	все остальные	1	1
270	однако не	1	1
271	в противном	1	1
272	тех случаях	1	1
273	в полном	1	1
274	его к	1	1
275	этого мира	1	1
276	более или	1	1
277	придет к	2	1
278	бы с	1	1
279	он в	4	1
280	в нашем	3	1
281	которые в	1	1
282	поскольку в	1	1
283	что автор	1	1
284	для возникновения	1	1
285	с их	2	1
286	один и	1	1
287	и тот	1	1
288	тому же	4	1
289	и те	1	1
290	жизнью и	2	1
291	на его	3	1
292	при этом	10	1
293	имело бы	1	1
294	другой в	1	1
295	в принципе	1	1
296	состоит в	8	1
297	не как	1	1
298	ли не	2	1
299	несколько ниже	1	1
300	на этом	4	1
301	его можно	1	1
302	как более	1	1
303	или иных	2	1
304	и наоборот	2	1
305	значительной степени	2	1
306	может остаться	1	1
307	бы дать	1	1
308	а затем	2	1
309	в нем	1	1
310	в совершенно	1	1
311	значение в	1	1
