N	2gram	Vinokur_St_3	SlovoVZh
1	не может	7	16
2	может быть	19	14
3	точки зрения	7	14
4	как бы	6	13
5	и его	3	13
6	таким образом	10	12
7	и в	25	12
8	и не	10	10
9	если бы	4	9
10	так как	3	9
11	прежде всего	10	8
12	сказать что	4	7
13	для нас	1	7
14	в ней	4	6
15	в том	20	6
16	только в	6	6
17	с помощью	1	6
18	в нем	1	6
19	все время	2	6
20	должна быть	1	5
21	то же	5	5
22	в виду	2	5
23	можно сказать	4	5
24	как в	6	5
25	но в	5	5
26	и др	4	5
27	в жизни	4	5
28	а не	5	5
29	как и	4	5
30	что мы	3	5
31	том что	15	5
32	никогда не	2	5
33	хотя бы	1	5
34	то что	12	5
35	к материалу	2	4
36	на самом	1	4
37	к нему	4	4
38	за пределы	1	4
39	в литературе	1	4
40	в этом	24	4
41	все же	4	4
42	в самом	2	4
43	уже не	3	4
44	не только	12	4
45	отношение к	4	4
46	свое выражение	1	4
47	от того	2	4
48	так и	5	4
49	с другой	5	4
50	что не	2	4
51	не в	6	4
52	его в	1	4
53	дело в	1	4
54	и к	4	4
55	жизни и	1	4
56	и на	6	4
57	здесь не	1	3
58	самом деле	2	3
59	формы и	1	3
60	в котором	5	3
61	в пределах	1	3
62	ясно что	1	3
63	еще не	2	3
64	мы не	2	3
65	и вообще	1	3
66	о том	8	3
67	но и	9	3
68	между тем	6	3
69	точка зрения	4	3
70	того что	5	3
71	когда он	1	3
72	и наконец	3	3
73	и ее	2	3
74	все эти	3	3
75	конечно не	1	3
76	в поэзии	2	3
77	слово в	2	3
78	в творчестве	3	3
79	для него	3	3
80	он должен	1	3
81	не к	1	3
82	и по	2	3
83	и с	4	3
84	до сих	2	3
85	ни в	5	3
86	в некоторых	3	3
87	и пр	13	3
88	в них	5	3
89	в своей	4	3
90	художественного творчества	1	3
91	так же	1	3
92	в такой	2	3
93	тем не	2	3
94	этой точки	1	3
95	и более	3	3
96	из этого	4	3
97	по себе	1	3
98	произведения и	2	3
99	сих пор	2	3
100	не менее	2	3
101	все это	8	3
102	но для	1	3
103	и для	4	3
104	это как	1	3
105	находит свое	3	3
106	с ним	1	3
107	отношении к	1	3
108	в каком	4	3
109	и то	1	2
110	те же	1	2
111	на материале	1	2
112	мы имеем	5	2
113	мы в	1	2
114	совпадает с	1	2
115	и здесь	3	2
116	с его	3	2
117	и что	3	2
118	между собой	1	2
119	в чем	4	2
120	тем как	2	2
121	в данном	1	2
122	к слову	2	2
123	в его	12	2
124	что и	1	2
125	подчеркнуть что	3	2
126	в форме	2	2
127	относится к	4	2
128	независимо от	5	2
129	формой и	2	2
130	в своем	1	2
131	в формах	1	2
132	кроме того	3	2
133	его к	2	2
134	в какой	3	2
135	и так	1	2
136	бы не	1	2
137	с одной	2	2
138	какой степени	1	2
139	уже в	3	2
140	имеем в	2	2
141	он не	5	2
142	не так	3	2
143	содержания и	1	2
144	но что	1	2
145	форма в	1	2
146	но все	2	2
147	в особенности	4	2
148	конечно в	1	2
149	на примере	1	2
150	влияние на	1	2
151	это не	7	2
152	делает его	1	2
153	себя и	2	2
154	одной стороны	3	2
155	до конца	3	2
156	другой стороны	5	2
157	его как	3	2
158	была бы	4	2
159	там где	1	2
160	связь с	4	2
161	нет ничего	1	2
162	основной тон	1	2
163	ни на	2	2
164	вместе с	2	2
165	можно найти	2	2
166	в отношении	2	2
167	но не	2	2
168	место в	6	2
169	точку зрения	2	2
170	вместе со	1	2
171	с этой	3	2
172	с точки	4	2
173	такой же	2	2
174	тогда когда	2	2
175	в то	7	2
176	на него	1	2
177	известной степени	1	2
178	героев и	1	2
179	ничего не	4	2
180	а к	1	2
181	этих двух	2	2
182	и все	1	2
183	но зато	1	2
184	все они	3	2
185	в этих	11	2
186	но это	4	2
187	но этот	1	2
188	могут быть	2	2
189	же самое	1	2
190	на это	2	2
191	что в	19	2
192	как на	6	2
193	и другие	1	2
194	к этому	3	2
195	и это	5	1
196	его общественного	1	1
197	ту же	1	1
198	например в	4	1
199	как мы	2	1
200	вещами и	1	1
201	и о	1	1
202	совпадают с	1	1
203	с ее	2	1
204	мы здесь	1	1
205	сам по	1	1
206	свою очередь	1	1
207	а из	1	1
208	на основе	2	1
209	совершенно ясно	1	1
210	нужно подчеркнуть	1	1
211	показать что	1	1
212	тем же	1	1
213	из трех	1	1
214	с первого	1	1
215	в произведении	1	1
216	не хочет	1	1
217	с самого	2	1
218	то время	4	1
219	по преимуществу	1	1
220	не те	1	1
221	из его	7	1
222	в рамки	1	1
223	являются лишь	1	1
224	и больше	1	1
225	по аналогии	1	1
226	из двух	1	1
227	можно было	1	1
228	этом направлении	1	1
229	к постановке	1	1
230	на которую	1	1
231	часто в	1	1
232	смысле я	1	1
233	является в	1	1
234	а эта	1	1
235	стиля в	1	1
236	на что	2	1
237	для этого	2	1
238	из одного	1	1
239	к другу	1	1
240	в содержании	1	1
241	на себя	1	1
242	то она	2	1
243	но то	1	1
244	силами с	1	1
245	в порядке	1	1
246	и он	1	1
247	с большим	1	1
248	установку на	1	1
249	и который	1	1
250	со словами	1	1
251	в значительной	1	1
252	является таким	1	1
253	произведение является	1	1
254	во всех	2	1
255	вопросу о	1	1
256	и во	2	1
257	то мы	1	1
258	жизни он	1	1
259	не требует	1	1
260	то в	4	1
261	у которой	1	1
262	два основных	1	1
263	русской литературе	1	1
264	формы как	1	1
265	в общем	4	1
266	отметить что	5	1
267	крайней мере	4	1
268	того в	1	1
269	что они	2	1
270	оды и	1	1
271	именно в	1	1
272	стал бы	2	1
273	этой группы	1	1
274	в лучшем	1	1
275	и она	1	1
276	в одной	2	1
277	самим автором	1	1
278	опирается на	1	1
279	что именно	2	1
280	и следа	1	1
281	что здесь	4	1
282	как например	8	1
283	которое было	1	1
284	поле зрения	1	1
285	выбор того	1	1
286	нас за	1	1
287	в двух	1	1
288	стиль в	1	1
289	в поэтическом	1	1
290	и художественного	1	1
291	ли он	1	1
292	более или	1	1
293	как нечто	1	1
294	по мнению	3	1
295	в обществе	1	1
296	тому как	1	1
297	отношения между	5	1
298	что это	16	1
299	в целом	4	1
300	формы в	2	1
301	это же	1	1
302	близости к	1	1
303	где они	1	1
304	думать что	1	1
305	еще один	1	1
306	есть в	2	1
307	им в	2	1
308	эпохи но	1	1
309	литературы в	1	1
310	не можем	1	1
311	во многих	2	1
312	в виде	3	1
313	что она	1	1
314	не из	1	1
315	при помощи	2	1
316	самостоятельной роли	1	1
317	одно из	2	1
318	и их	1	1
319	всяком случае	4	1
320	не как	2	1
321	пор мы	1	1
322	в одном	1	1
323	вовсе не	2	1
324	друг друга	1	1
325	как его	1	1
326	у него	9	1
327	какой бы	1	1
328	на этом	3	1
329	это один	1	1
330	характерны для	1	1
331	что является	1	1
332	чем говорят	1	1
333	даже и	1	1
334	том же	1	1
335	и только	2	1
336	что все	3	1
337	в другом	3	1
338	которого и	1	1
339	этих форм	1	1
340	этого основного	1	1
341	зрения на	1	1
342	и из	1	1
343	состоящая из	1	1
344	творчества он	1	1
345	должно быть	1	1
346	на протяжении	4	1
347	отношения которые	1	1
348	и которые	2	1
349	ко второму	1	1
350	и тех	1	1
351	было бы	7	1
352	и создает	1	1
353	речи а	1	1
354	к которому	3	1
355	этом смысле	4	1
356	она стала	1	1
357	имеет и	1	1
358	и тем	4	1
359	окружающей его	1	1
360	отражение в	1	1
361	тем о	2	1
362	к политическим	1	1
363	но есть	2	1
364	что для	3	1
365	говорит о	1	1
366	от нее	3	1
367	но уже	1	1
368	и политического	1	1
369	не было	4	1
370	рядом с	1	1
371	а с	2	1
372	не знает	1	1
373	не на	2	1
374	в ее	1	1
375	читателя и	1	1
376	несмотря на	3	1
377	о чем	1	1
378	и некоторые	1	1
379	в истории	1	1
380	и тогда	2	1
381	и того	1	1
382	iv прежде	1	1
383	выступает здесь	1	1
384	но можно	1	1
385	для этой	1	1
386	мы видели	1	1
387	или менее	1	1
388	места в	1	1
389	все более	2	1
390	вступает в	1	1
391	в частности	1	1
392	когда имеется	1	1
393	то он	2	1
394	нас не	2	1
395	то есть	2	1
396	подхода к	1	1
397	положения в	1	1
398	так мы	1	1
399	что я	3	1
400	наряду с	1	1
401	но эта	1	1
402	и тот	2	1
403	которые в	2	1
404	здесь слово	2	1
405	по крайней	4	1
406	в особых	1	1
