N	3gram	Tiupa_Anal_2	Otkroven
1	и в этом	4	2
2	не может быть	1	2
3	но и в	1	2
4	по природе своей	2	1
5	прежде всего в	1	1
6	в самом деле	1	1
7	уже отмечали что	1	1
8	он не только	1	1
9	так и не	4	1
10	человек и в	1	1
11	о том что	6	1
12	в этом отношении	3	1
13	ко всему этому	1	1
14	и в самом	2	1
15	и там и	1	1
16	каждом из них	1	1
17	в том что	6	1
18	вообще но и	1	1
19	на то что	2	1
20	и то что	2	1
21	в том-то и	1	1
22	друг с другом	1	1
23	в самом начале	3	1
24	а не только	2	1
25	там и здесь	1	1
26	как и в	3	1
