N	3gram	Losev_Vlad_3	FransuaR
1	то же время	2	10
2	в то же	3	10
3	до сих пор	1	8
4	в том что	10	6
5	и в то	2	5
6	в настоящее время	3	3
7	в том числе	1	3
8	в связи с	2	3
9	в те времена	5	2
10	более или менее	5	2
11	с точки зрения	6	2
12	бы то ни	3	2
13	далеко за пределы	2	2
14	как мы видели	3	2
15	в данном случае	2	2
16	с одной стороны	3	2
17	дело в том	5	2
18	в то время	4	2
19	в некоторых отношениях	1	2
20	о том что	8	2
21	не только не	1	2
22	с другой стороны	2	2
23	мы видим что	1	2
24	для того чтобы	1	2
25	не может быть	6	2
26	вышли в свет	1	1
27	а следовательно и	1	1
28	сказать что в	1	1
29	не было других	1	1
30	потому что в	1	1
31	какой бы то	1	1
32	но не просто	1	1
33	а также и	6	1
34	здесь перед нами	1	1
35	и в данном	1	1
36	в самом деле	1	1
37	все вещи и	1	1
38	он не только	1	1
39	одной стороны и	2	1
40	он мог бы	1	1
41	том что это	1	1
42	а не к	1	1
43	и во многом	1	1
44	вместе с тем	6	1
45	в отличие от	3	1
46	на самом же	2	1
47	в этом отношении	2	1
48	он не был	1	1
49	в те годы	2	1
50	что даже в	1	1
51	может быть и	1	1
52	и то что	4	1
53	то есть на	1	1
54	о том как	1	1
55	на эту тему	1	1
56	если бы мы	1	1
57	в свете этой	1	1
58	имел в виду	1	1
59	то ни было	1	1
60	и еще раз	2	1
61	в его время	1	1
62	и в отношении	3	1
63	в известном смысле	1	1
64	и в этом	5	1
65	и вместе с	2	1
66	а с другой	2	1
67	все же не	1	1
68	кроме того в	1	1
69	как впрочем и	1	1
70	самом же деле	2	1
71	и в своих	1	1
72	потому что они	1	1
73	только то что	1	1
74	не мог не	1	1
75	у него и	1	1
76	у него в	4	1
77	мы не можем	1	1
78	речь шла о	1	1
79	не был бы	1	1
80	и притом в	1	1
81	той или другой	1	1
82	к которому принадлежал	1	1
83	сказать и о	1	1
84	характерен для всей	1	1
85	мы не будем	1	1
86	с самого начала	1	1
87	включает в себя	1	1
88	вопрос о том	1	1
89	и так сказать	1	1
90	выходит за пределы	1	1
91	заключается в том	1	1
92	не было ни	1	1
93	может и не	1	1
94	в этом смысле	3	1
95	мы уже не	1	1
96	можно было бы	1	1
97	уже не просто	1	1
98	известном смысле и	1	1
99	в новое время	1	1
100	к тому же	5	1
101	то он не	1	1
102	как мы знаем	2	1
103	то же самое	1	1
104	с тем чтобы	1	1
105	той или иной	1	1
