N	3gram	Vinokur_Ku_1	StatiiOP
1	в том что	15	16
2	о том что	5	11
3	в этом отношении	5	9
4	и т д	14	6
5	том что он	4	5
6	до сих пор	4	5
7	в письме к	1	5
8	вместе с тем	3	5
9	для того чтобы	15	5
10	к тому что	2	5
11	то обстоятельство что	8	4
12	обратить внимание на	2	4
13	после того как	1	4
14	иметь в виду	1	3
15	и т п	18	3
16	так же как	1	3
17	с другой стороны	6	3
18	во всяком случае	5	3
19	речь идет о	2	3
20	в сочетании с	1	2
21	только потому что	6	2
22	свое выражение в	1	2
23	с точки зрения	9	2
24	сами по себе	1	2
25	в отличие от	1	2
26	в это время	1	2
27	не в том	4	2
28	мере в какой	5	2
29	более или менее	3	2
30	но и с	1	2
31	так и в	2	2
32	в самом деле	7	2
33	но все же	2	2
34	с тем что	1	2
35	на то что	2	2
36	в том смысле	1	2
37	свидетельствуют о том	1	2
38	той мере в	5	2
39	тем не менее	4	2
40	в той мере	5	2
41	том что она	1	1
42	но кроме того	1	1
43	в пределах данной	1	1
44	что в этом	1	1
45	чтобы можно было	1	1
46	себя прежде всего	1	1
47	но уже без	1	1
48	того чтобы можно	1	1
49	не говоря уже	1	1
50	сделать свою мысль	1	1
51	на самом деле	2	1
52	совсем не в	1	1
53	в настоящее время	1	1
54	в этом смысле	3	1
55	однако сомнению что	1	1
56	так что в	1	1
57	т е не	1	1
58	прежде всего внимание	1	1
59	внимание на то	2	1
60	что же касается	4	1
61	начале xix века	1	1
62	уже без кавычек	1	1
63	эту сторону дела	1	1
64	чтобы сделать свою	1	1
65	не сказал бы	1	1
66	языка в его	2	1
67	в первую очередь	2	1
68	вследствие того что	1	1
69	в своем последнем	1	1
70	подлежит однако сомнению	1	1
71	того же порядка	1	1
72	точно так же	1	1
73	на этот вопрос	1	1
74	не укладывается в	1	1
75	большую роль в	1	1
76	этом отношении между	1	1
77	в зависимости от	5	1
78	одно и то	1	1
79	обстоятельство что в	2	1
80	для своего времени	1	1
81	т е в	2	1
82	а другое дело	1	1
83	xix века это	1	1
84	том смысле что	1	1
85	потому что оно	1	1
86	и то же	1	1
87	в начале xix	1	1
88	по большей части	2	1
89	и вместе с	1	1
90	одним из таких	1	1
91	столько же сколько	1	1
92	так или иначе	2	1
93	в связи с	3	1
94	сказал бы что	1	1
95	стремление освободиться от	1	1
96	в сторону от	2	1
97	не подлежит однако	1	1
98	том-то и дело	1	1
99	вместо того чтобы	1	1
100	потому что они	1	1
101	в свое время	2	1
102	они свидетельствуют о	1	1
103	с легкой руки	1	1
104	по отношению к	8	1
105	и на все	1	1
106	ни в каком	1	1
107	то же время	2	1
108	в х годах	1	1
109	пушкин и его	1	1
110	не то что	1	1
111	заключается в том	2	1
112	против того что	1	1
113	в том чтобы	8	1
114	если б только	2	1
115	в свою очередь	3	1
116	в этом случае	2	1
117	ничего общего с	1	1
118	все же только	1	1
119	следует обратить внимание	1	1
120	только в его	1	1
121	и в особенности	1	1
122	совсем другое дело	1	1
123	прямой связи с	1	1
124	именно в той	1	1
125	в данном отношении	2	1
126	в сущности говоря	1	1
127	в то же	2	1
128	в том-то и	1	1
129	в истории русской	1	1
130	это еще не	1	1
131	который в своем	1	1
132	таким образом в	1	1
133	дело не в	1	1
134	и сейчас еще	1	1
135	что в ней	1	1
136	которое принадлежит в	1	1
137	и сам пушкин	1	1
138	поскольку речь идет	1	1
139	внимание только на	1	1
