N	3gram	Losev_Vlad_2	Analitik
1	в том что	9	7
2	так и не	2	5
3	о том что	3	5
4	по крайней мере	4	4
5	в свою очередь	2	4
6	до известной степени	1	3
7	в данном случае	2	3
8	то же время	3	3
9	в то же	3	3
10	к тому же	1	3
11	в этом отношении	1	3
12	крайней мере в	1	2
13	дело в том	3	2
14	том что он	2	2
15	с точки зрения	3	2
16	в отличие от	3	2
17	тем не менее	6	2
18	как нам представляется	1	2
19	во всяком случае	6	2
20	в свое время	1	2
21	что несмотря на	1	2
22	а в том	2	2
23	и прежде всего	1	2
24	можно сказать что	1	2
25	в сравнении с	1	2
26	что иное как	1	1
27	хотя и не	2	1
28	а не с	1	1
29	не исключая и	1	1
30	требует от нас	1	1
31	не говоря уже	2	1
32	в самом деле	1	1
33	в этом смысле	1	1
34	в этом случае	1	1
35	той же самой	1	1
36	и будем рассматривать	1	1
37	в дальнейшем мы	2	1
38	до сих пор	1	1
39	говоря уже о	2	1
40	то есть непосредственно	1	1
41	был молод и	1	1
42	на этот вопрос	1	1
43	этом отношении он	1	1
44	в году но	1	1
45	сам по себе	2	1
46	в самом начале	1	1
47	в том чтобы	2	1
48	не только в	2	1
49	этом же году	1	1
50	мы имеем не	1	1
51	из этого письма	1	1
52	и как бы	1	1
53	так или иначе	3	1
54	не в том	3	1
55	для него самого	1	1
56	в связи с	8	1
57	я со своей	1	1
58	но как бы	1	1
59	а не путем	1	1
60	и не могла	1	1
61	с теми же	1	1
62	для того чтобы	1	1
63	не только как	1	1
64	и все же	2	1
65	не может быть	1	1
66	в этом же	1	1
67	само по себе	2	1
68	с этой стороны	1	1
69	он как можно	1	1
70	до тех пор	1	1
71	заключается в том	2	1
72	в конце его	1	1
73	что между прочим	1	1
74	можно судить по	4	1
75	но дело в	2	1
76	не что иное	1	1
77	здесь как и	1	1
78	мы и будем	1	1
