N	3gram	Bakhtin_sl_1	EvropaiE
1	с точки зрения	8	16
2	в то же	12	15
3	то же время	12	14
4	в отношении к	6	12
5	и в то	5	8
6	с одной стороны	4	8
7	в том что	1	6
8	с этой точки	1	5
9	этой точки зрения	1	5
10	для того чтобы	1	5
11	бы то ни	1	4
12	не только в	2	4
13	то ни было	1	4
14	и в этом	2	4
15	того или иного	2	4
16	той или иной	9	4
17	в той или	9	3
18	хотя бы и	3	3
19	в этом отношении	1	3
20	можно было бы	2	3
21	в известном смысле	2	3
22	друг с другом	2	3
23	во всяком случае	5	3
24	как бы ни	2	3
25	и прежде всего	1	3
26	можно сказать что	1	3
27	в известной степени	2	3
28	и на своем	1	2
29	прежде всего в	1	2
30	рано или поздно	1	2
31	и в частности	1	2
32	в данном случае	3	2
33	но в то	4	2
34	так и в	3	2
35	с другой стороны	4	2
36	в свои пределы	1	2
37	не может быть	1	2
38	в свою очередь	2	2
39	в одном из	1	2
40	между ними и	1	2
41	в большинстве случаев	6	2
42	как мы видели	1	2
43	и связанное с	1	1
44	не может не	5	1
45	а не к	1	1
46	еще далеко не	1	1
47	дело в том	1	1
48	более или менее	3	1
49	большей или меньшей	4	1
50	то есть к	1	1
51	в нем и	1	1
52	на своем пути	1	1
53	и не было	1	1
54	и не в	1	1
55	именно к тому	1	1
56	в лучшем случае	2	1
57	рассматривать с точки	1	1
58	же время в	1	1
59	в отличие от	1	1
60	но и в	1	1
61	к тому или	1	1
62	или иной степени	9	1
63	в противном случае	1	1
64	то или иное	1	1
65	сводится именно к	1	1
66	может быть и	1	1
67	и по своей	1	1
68	и с точки	1	1
69	в значительной степени	1	1
70	а также и	1	1
71	и в отношении	1	1
72	не могут быть	2	1
73	во всех этих	1	1
74	то время как	2	1
75	с отказом от	1	1
76	в большей или	3	1
77	или меньшей степени	3	1
78	отношении к действительному	1	1
79	но и того	1	1
80	о которых мы	1	1
81	в других случаях	2	1
82	в стороне от	1	1
83	в начале xx	1	1
84	в то время	2	1
85	начале xx века	1	1
86	то есть в	1	1
87	на то или	1	1
88	слова и в	1	1
89	оно не может	1	1
90	выходит за пределы	3	1
91	как его понимает	1	1
92	ли он в	1	1
93	именно потому что	1	1
94	для нас в	1	1
95	к тому что	2	1
96	тех или иных	1	1
97	и в эту	1	1
98	и т д	5	1
99	в пределах одного	1	1
