N	2gram	Tiupa_Narr_1	Problemy
1	и в	19	46
2	то есть	19	40
3	и не	20	27
4	может быть	25	23
5	не может	10	19
6	как бы	4	19
7	в нем	4	17
8	в этом	17	16
9	третьего типа	1	15
10	и т.п	8	14
11	не только	32	14
12	слова в	1	13
13	как мы	3	12
14	как и	7	12
15	но и	23	12
16	перед нами	4	12
17	точки зрения	10	11
18	и на	3	11
19	а не	12	11
20	не в	14	10
21	в пределах	2	10
22	между ними	2	10
23	прежде всего	4	9
24	вовсе не	1	9
25	и все	2	9
26	в том	18	9
27	с точки	2	9
28	и к	1	9
29	в его	9	9
30	в самом	1	9
31	чужому слову	1	9
32	или в	2	8
33	сих пор	1	8
34	до сих	1	8
35	в себе	8	7
36	и с	4	7
37	еще не	7	7
38	как раз	2	7
39	к чужому	1	7
40	по себе	5	7
41	в сущности	3	7
42	в него	1	6
43	есть в	2	6
44	и он	3	6
45	то же	4	6
46	и его	5	6
47	мы увидим	1	6
48	ни в	3	6
49	никогда не	3	6
50	хотя и	3	6
51	только в	4	6
52	но в	6	6
53	на свой	2	6
54	что он	6	6
55	к себе	5	6
56	на фоне	1	6
57	о нем	4	6
58	к одному	1	6
59	но это	1	6
60	же время	4	5
61	жизни и	3	5
62	отношению к	6	5
63	к нему	5	5
64	друг с	1	5
65	во всех	1	5
66	себе самом	2	5
67	с другом	1	5
68	особенно в	3	5
69	это не	2	5
70	по отношению	7	5
71	и сам	1	5
72	в то	3	5
73	при этом	9	5
74	речи и	1	5
75	в котором	1	5
76	у него	4	5
77	к другому	2	5
78	так сказать	1	5
79	в структуре	2	5
80	с его	6	5
81	о себе	1	5
82	если же	1	5
83	о том	6	5
84	в самой	1	5
85	все эти	2	4
86	героя и	4	4
87	и здесь	1	4
88	все же	7	4
89	и наконец	1	4
90	точек зрения	2	4
91	очень часто	1	4
92	можно сказать	5	4
93	так и	9	4
94	такое слово	1	4
95	таким образом	1	4
96	приводит к	2	4
97	мы не	1	4
98	в их	1	4
99	но не	5	4
100	что в	3	4
101	например в	2	4
102	совершенно не	2	4
103	потому что	1	4
104	в себя	6	4
105	то что	11	4
106	себе самому	1	4
107	том же	1	4
108	двуголосого слова	3	4
109	как в	7	4
110	своего рода	12	4
111	да и	4	4
112	уже не	5	4
113	в процессе	1	4
114	мы можем	1	4
115	он не	3	4
116	том числе	6	4
117	этих двух	1	4
