N	3gram	Propp_Isto_6	Freidism
1	по отношению к	2	8
2	во всяком случае	2	7
3	не может быть	3	7
4	можно сказать что	1	4
5	как мы видели	2	4
6	в зависимости от	1	4
7	в данном случае	3	4
8	в таком случае	1	3
9	для того чтобы	1	3
10	на этот вопрос	1	3
11	к тому чтобы	1	3
12	с одной стороны	7	2
13	мы видели что	3	2
14	мы уже знаем	2	2
15	до сих пор	4	2
16	а с другой	1	2
17	и не может	1	2
18	так и в	1	2
19	это прежде всего	1	2
20	то или иное	1	2
21	тем не менее	1	2
22	о том что	4	1
23	из этих двух	1	1
24	мы находим в	1	1
25	не похожи на	1	1
26	том что в	2	1
27	но при этом	1	1
28	и те же	1	1
29	всяком случае не	1	1
30	так как они	1	1
31	так как в	1	1
32	никогда не умирает	1	1
33	а также и	1	1
34	от того что	1	1
35	случае уже не	1	1
36	можно сказать о	1	1
37	друг на друга	1	1
38	таким образом и	2	1
39	все что он	1	1
40	что между ними	1	1
41	что и в	2	1
42	что все эти	1	1
43	уже не может	1	1
44	интересен тем что	1	1
45	в том что	5	1
46	в этом случае	6	1
47	же мы имеем	1	1
48	этим же объясняется	1	1
49	к выводу что	1	1
50	в то время	3	1
51	и т д	8	1
52	со всех сторон	1	1
53	потому что оно	1	1
54	но никогда не	1	1
55	мы не будем	2	1
56	но вместе с	1	1
57	знаем что в	1	1
58	вот в этой	1	1
59	мы видели также	1	1
60	и тем не	1	1
61	в нем мы	1	1
62	в свою противоположность	1	1
63	как мы видим	1	1
64	мы обратимся к	1	1
65	мы имеем в	4	1
66	сих пор не	1	1
67	мы видим в	1	1
68	чтобы ответить на	1	1
69	но все же	2	1
70	на своем месте	1	1
71	смысле этого слова	1	1
72	что с ним	1	1
73	всяком случае в	1	1
74	нам кажется что	1	1
75	только потому что	1	1
76	по аналогии с	1	1
77	с его телом	1	1
78	таким образом в	1	1
79	только то что	2	1
80	а иногда и	1	1
81	то это означает	1	1
82	на первый взгляд	1	1
83	на другую сторону	1	1
