N	3gram	Bakhtin_sl_2	DiskursI
1	в том что	4	13
2	по отношению к	4	9
3	с одной стороны	5	9
4	о том что	1	5
5	в отличие от	12	4
6	то же время	4	4
7	той или иной	5	3
8	не может быть	15	3
9	в свою очередь	2	3
10	с другой стороны	1	3
11	в то же	4	3
12	том что в	1	2
13	а не в	1	2
14	и в особенности	2	2
15	в том числе	1	2
16	а в том	1	2
17	одной стороны и	3	2
18	и не только	1	2
19	сами по себе	1	2
20	том числе и	1	2
21	в значительной степени	6	2
22	большей или меньшей	1	2
23	а не только	1	2
24	не только в	2	2
25	хотя и в	1	2
26	в частности в	1	2
27	более или менее	2	2
28	и может быть	1	1
29	в этом случае	6	1
30	и в различных	1	1
31	точка зрения на	1	1
32	точки зрения на	1	1
33	далеко не все	1	1
34	не только о	2	1
35	в своем собственном	1	1
36	и даже не	1	1
37	также и в	1	1
38	был прежде всего	1	1
39	то есть к	1	1
40	именно в том	1	1
41	с точки зрения	3	1
42	до сих пор	2	1
43	и не может	1	1
44	говорит о том	1	1
45	и в то	1	1
46	хотя бы и	2	1
47	о говорящем человеке	7	1
48	с некоторыми разновидностями	1	1
49	что он не	1	1
50	в различные эпохи	2	1
51	перед нами не	1	1
52	случае перед нами	1	1
53	во всех областях	4	1
54	как мы видели	1	1
55	в xvii веке	1	1
56	во всех этих	1	1
57	в евгении онегине	1	1
58	связи с традицией	1	1
59	в связи с	2	1
60	но здесь это	1	1
61	имеет громадное значение	1	1
62	в речах персонажей	1	1
63	с большей или	1	1
64	в этом направлении	1	1
65	том что он	1	1
66	тем или иным	1	1
67	так и от	1	1
68	во всяком случае	2	1
69	для правильного понимания	1	1
70	в целом ряде	1	1
71	в новое время	2	1
72	в гуманитарных науках	1	1
73	того или иного	1	1
74	в этом отношении	3	1
75	с той или	1	1
76	не в качестве	1	1
77	в нем нет	1	1
78	необходимо отметить что	2	1
79	до известной степени	1	1
80	так и в	3	1
81	в этом жанре	1	1
82	в истории литературы	2	1
83	не связано с	1	1
84	с самого начала	1	1
85	может стать объектом	1	1
86	речь идет о	1	1
87	чужой речи и	1	1
88	же время и	1	1
89	в известной степени	1	1
90	на то что	1	1
91	один из важнейших	2	1
92	может и не	1	1
93	в другом случае	1	1
94	как композиционная форма	1	1
95	тех или иных	1	1
96	тем не менее	1	1
97	одной из возможных	1	1
98	но все же	4	1
99	во всех его	2	1
100	в большинстве случаев	5	1
101	как и в	1	1
