N	3gram	Vygotskiy__1	Poddanst
1	в то же	2	7
2	то же время	2	7
3	не только в	1	4
4	в том что	15	4
5	с точки зрения	18	3
6	с одной стороны	8	3
7	в том числе	1	2
8	одной стороны и	1	2
9	и в то	1	2
10	но и в	1	2
11	заключает в себе	1	2
12	заключается в том	6	2
13	том что в	2	1
14	в том виде	1	1
15	во всей полноте	1	1
16	в этом смысле	1	1
17	есть прежде всего	2	1
18	и в этом	1	1
19	распадается на две	1	1
20	в наших глазах	1	1
21	и в какой	1	1
22	что с точки	1	1
23	и не может	1	1
24	в отличие от	1	1
25	и именно в	1	1
26	с тем чтобы	1	1
27	в основном и	1	1
28	в собственном смысле	5	1
29	вместе с тем	5	1
30	и пр в	1	1
31	и то что	1	1
32	и в частности	2	1
33	так же как	5	1
34	если бы мы	1	1
35	в одно и	1	1
36	по сравнению с	5	1
37	между тем в	1	1
38	не только как	1	1
39	во всяком случае	3	1
40	с другой стороны	9	1
41	не может быть	5	1
42	в некотором смысле	1	1
43	само по себе	1	1
44	тем и другим	2	1
45	и тем самым	3	1
46	и тем более	1	1
47	вопрос об отношении	5	1
48	тем более что	1	1
49	друг с другом	4	1
50	в известном смысле	2	1
51	для того чтобы	15	1
52	в качестве общего	1	1
53	может не только	1	1
54	том числе и	1	1
55	и т д	1	1
