N	2gram	Bakhtin_fo_1	Retstnzi
1	не может	6	4
2	и в	50	3
3	в центре	2	2
4	один из	3	2
5	нет и	2	1
6	в особенности	9	1
7	себе все	1	1
8	лучше всего	1	1
9	и не	14	1
10	вещей и	1	1
11	не только	9	1
12	ни один	1	1
13	связи с	6	1
14	этой проблемы	2	1
15	событий и	3	1
16	точки зрения	5	1
17	конечно и	4	1
18	не оказать	1	1
19	ничего для	1	1
20	но и	8	1
21	с другими	3	1
22	тех же	2	1
23	не связанными	1	1
24	в ней	4	1
25	на месте	1	1
26	в то	9	1
27	с точки	2	1
28	подхода к	3	1
29	и на	8	1
30	для него	2	1
31	мы видим	3	1
32	влияния на	2	1
33	защитительной речи	1	1
34	оторвано от	1	1
35	к тому	3	1
36	а не	3	1
37	его от	2	1
38	может быть	11	1
39	при анализе	1	1
40	вполне понятно	4	1
41	отрешенными от	1	1
42	в его	13	1
43	же время	9	1
44	то же	11	1
45	и все	6	1
46	из этих	1	1
47	можно назвать	2	1
48	если бы	5	1
49	в каждом	1	1
50	бы в	1	1
