N	2gram	Losev_Vesc_1	NovoeSre
1	а не	19	17
2	и в	21	16
3	не может	17	16
4	во имя	1	15
5	и не	29	11
6	и есть	26	10
7	истории и	2	9
8	что в	9	9
9	как не	1	8
10	в том	8	8
11	жизни и	2	8
12	культуры и	1	7
13	в этом	4	7
14	может быть	16	7
15	не будет	12	7
16	как и	8	7
17	это есть	7	7
18	с его	1	6
19	не в	5	6
20	ни в	1	6
21	никогда не	2	6
22	но это	10	6
23	должен быть	2	5
24	с ее	6	5
25	в ней	12	5
26	и к	1	5
27	не только	36	5
28	в жизни	3	5
29	все это	5	5
30	в нем	2	5
31	новое время	1	4
32	быть может	1	4
33	о том	6	4
34	и мы	1	4
35	перестает быть	3	4
36	то что	27	4
37	это не	5	4
38	прежде всего	9	4
39	не было	1	4
40	должно быть	6	4
41	есть лишь	2	4
42	и потому	5	4
43	значит что	24	4
44	не менее	3	4
45	и для	9	4
46	и все	5	4
47	потому что	16	4
48	с другой	6	3
49	в ее	7	3
50	должна быть	4	3
51	верить в	1	3
52	вопрос о	1	3
53	человека и	1	3
54	еще не	8	3
55	во всех	2	3
56	и быстро	1	3
57	в истории	1	3
58	наряду с	1	3
59	конечно не	1	3
60	не значит	7	3
61	подобно тому	4	3
62	но и	18	3
63	это было	1	3
64	не есть	49	3
65	и пр	6	3
66	с тем	5	3
67	в своей	5	3
68	в новое	1	3
69	тому как	4	3
70	в россии	2	3
71	к реальному	1	3
72	она не	4	3
73	что такое	12	3
74	в наше	1	3
75	жизни не	1	3
76	в основе	3	3
77	к ее	2	3
78	жизни в	1	3
79	в духе	1	3
80	к тому	3	3
81	сказать что	17	3
82	и это	14	2
83	нем нет	1	2
84	же как	1	2
85	связана с	1	2
86	должно стать	1	2
87	силы и	1	2
88	это и	6	2
89	время как	1	2
90	ведь и	5	2
91	можно было	2	2
92	так и	3	2
93	времени и	1	2
94	к самой	1	2
95	мы не	6	2
96	и с	8	2
97	для этого	4	2
98	еще до	1	2
99	будет уже	1	2
100	но она	3	2
101	я не	4	2
102	вот почему	3	2
103	и что	15	2
104	они считают	1	2
105	быть в	1	2
106	но не	5	2
107	все время	1	2
108	с этим	3	2
109	хотя и	4	2
110	но в	5	2
111	духа в	1	2
112	все эти	3	2
113	с одной	3	2
114	себя в	10	2
115	думать что	1	2
116	есть в	1	2
117	в себе	14	2
118	уже не	9	2
119	может уже	1	2
120	не могла	1	2
121	не к	1	2
122	том чтобы	1	2
123	у него	2	2
124	что она	15	2
125	что все	2	2
126	нет и	1	2
127	и даже	6	2
128	зависит от	1	2
129	том что	8	2
130	вместе с	1	2
131	так же	1	2
132	к подлинному	1	2
133	мы говорим	5	2
134	мысли и	3	2
135	одной стороны	3	2
136	другой стороны	2	2
137	по существу	2	2
138	как будто	1	2
139	и формы	2	2
140	как это	2	2
141	но для	2	2
142	равно как	2	2
143	в смысле	12	2
144	в то	3	2
145	одна из	5	2
146	того чтобы	3	2
147	формы и	1	2
148	и от	3	2
149	и весь	1	2
150	хотя бы	6	2
151	а в	4	2
152	от всякого	4	2
153	я называю	4	2
154	ли это	7	2
155	когда мы	6	2
156	могут быть	1	2
157	и культуры	1	2
158	можно назвать	1	2
159	разными путями	1	1
160	весь стиль	1	1
161	также что	1	1
162	оно может	2	1
163	чем выявление	1	1
164	что образ	2	1
165	не хочу	1	1
166	для себя	5	1
167	тут нет	1	1
168	только потому	1	1
169	и могущества	1	1
170	переход от	1	1
171	к таким	1	1
172	сама себя	4	1
173	живое и	1	1
174	чтобы быть	3	1
175	он находится	1	1
176	по преимуществу	2	1
177	приводит к	1	1
178	на западе	1	1
179	природе своей	1	1
180	и этот	2	1
181	с собой	2	1
182	мы уже	3	1
183	не с	7	1
184	ней нет	1	1
185	по природе	1	1
186	к новой	1	1
187	совершенно невозможно	1	1
188	с ним	8	1
189	нас и	1	1
190	солнечного дня	1	1
191	можно сказать	6	1
192	смысле и	1	1
193	говорить о	6	1
194	который есть	1	1
195	оно есть	9	1
196	на себя	1	1
197	духовной и	1	1
198	как я	4	1
199	то это	3	1
200	только так	1	1
201	в виду	2	1
202	зависимости от	1	1
203	это я	4	1
204	с большим	1	1
205	думаю что	1	1
206	на нем	1	1
207	чего оно	1	1
208	себя а	1	1
209	на их	2	1
210	в чем	6	1
211	и во	3	1
212	к нему	1	1
213	то он	1	1
214	в его	2	1
215	в эти	1	1
216	нужно быть	1	1
217	себе и	1	1
218	отличие от	1	1
219	революция духа	1	1
220	и только	3	1
221	и духовной	1	1
222	и она	1	1
223	религия в	1	1
224	но тут	2	1
225	к которому	1	1
226	в своем	6	1
227	и нет	1	1
228	выявление вовне	1	1
229	говорит что	1	1
230	стихии и	1	1
231	философии и	1	1
232	человека в	1	1
233	что он	1	1
234	в каком-то	2	1
235	только в	14	1
236	во всем	1	1
237	по своей	2	1
238	от этого	2	1
239	которым оно	1	1
240	в самом	9	1
241	к чему	1	1
242	а во-вторых	1	1
243	эпохи не	1	1
244	бы сказать	2	1
245	то время	1	1
246	из этих	1	1
247	метода и	2	1
248	что ничего	1	1
249	было так	1	1
250	же и	1	1
251	для всех	1	1
252	если есть	1	1
253	и у	3	1
254	уже в	1	1
255	вопроса о	1	1
256	существования и	3	1
257	все ее	1	1
258	свидетельствует о	3	1
259	вообще не	2	1
260	имя но	1	1
261	религия и	1	1
262	него и	1	1
263	от других	1	1
264	из них	4	1
265	бы к	1	1
266	к своим	1	1
267	все еще	3	1
268	для того	2	1
269	и их	7	1
270	всяком случае	2	1
271	и когда	4	1
272	нуждается в	1	1
273	к одному	3	1
274	слова в	2	1
275	сами по	3	1
276	в конце	2	1
277	говорим что	3	1
278	последние годы	2	1
279	но ведь	2	1
280	пустое место	1	1
281	бытия и	2	1
282	не случайно	2	1
283	смысле как	1	1
284	всех своих	1	1
285	тем что	2	1
286	от того	3	1
287	в основу	1	1
288	это конечно	1	1
289	от нее	2	1
290	это значит	24	1
291	в последние	2	1
292	весь смысл	1	1
293	значение в	1	1
294	социальная жизнь	1	1
295	из всех	1	1
296	потому оно	1	1
297	знает что	2	1
298	на ее	3	1
299	с другими	8	1
300	к природе	1	1
301	она как-то	1	1
302	было бы	14	1
303	это одна	1	1
304	сам себя	2	1
305	в социальной	1	1
306	а это	4	1
307	и быть	1	1
308	было и	2	1
309	и целиком	1	1
310	себя и	4	1
311	в отличие	1	1
312	что не	5	1
313	но оно	1	1
314	социальной жизни	1	1
315	обратиться к	1	1
316	с богом	1	1
317	превращается в	1	1
318	в этой	3	1
319	ничем не	3	1
320	не на	1	1
321	не быть	3	1
322	человеческой жизни	1	1
323	ее на	1	1
324	когда она	4	1
325	новые формы	1	1
326	что мы	14	1
327	и того	2	1
328	не больше	1	1
329	ближе к	1	1
330	он и	1	1
331	который я	2	1
332	одного и	1	1
333	и ему	1	1
334	оно же	1	1
335	и еще	2	1
336	в этих	1	1
337	личностей и	1	1
338	возможности в	1	1
339	но если	8	1
340	она сама	5	1
341	с идеями	1	1
342	и а	2	1
343	зачем же	2	1
344	на это	4	1
345	к себе	4	1
346	в котором	3	1
347	мы в	1	1
348	не столько	1	1
349	у нас	7	1
350	мы опять	1	1
351	оно существует	1	1
352	в зависимости	1	1
353	как другие	1	1
354	в силу	3	1
355	оно должно	1	1
356	но он	2	1
357	быть только	3	1
358	мы должны	2	1
359	и более	1	1
360	есть еще	3	1
361	их в	3	1
362	том смысле	1	1
363	быть не	4	1
364	по себе	13	1
365	есть всегда	4	1
366	в это	1	1
367	в той	3	1
368	нас к	1	1
369	и вся	1	1
370	будто бы	1	1
371	нет никакого	2	1
372	и истории	1	1
373	и стремится	1	1
374	сих пор	1	1
375	предметы или	1	1
376	так как	7	1
