N	2gram	Bakhtin_fo_1	Tvorches
1	и в	50	21
2	как бы	2	17
3	в то	9	15
4	то же	11	13
5	времени в	7	13
6	в его	13	13
7	в романах	2	13
8	то есть	33	12
9	как и	8	12
10	же время	9	12
11	что в	5	12
12	с его	9	11
13	том что	4	11
14	все это	4	10
15	в романе	32	10
16	как в	6	8
17	он не	5	8
18	то что	6	8
19	и на	8	7
20	но в	10	7
21	не только	9	7
22	при этом	3	7
23	во многом	2	7
24	у него	6	7
25	и не	14	7
26	в том	9	7
27	в свою	2	7
28	в этом	25	6
29	человека в	17	6
30	в котором	4	6
31	и его	16	6
32	по природе	2	6
33	он сам	1	6
34	о том	1	6
35	и все	6	6
36	что он	1	6
37	для него	2	6
38	а в	3	6
39	жизни в	8	6
40	преступление и	1	5
41	отнюдь не	5	5
42	все же	6	5
43	в этой	1	5
44	таким образом	11	5
45	вовсе не	13	5
46	в своих	1	5
47	потому что	4	5
48	только в	4	5
49	может быть	11	5
50	а не	3	5
51	это уже	1	5
52	хотя бы	2	5
53	человека и	11	4
54	не имеют	3	4
55	из всех	1	4
56	в своем	4	4
57	и как	10	4
58	та же	1	4
59	в целом	2	4
60	о времени	1	4
61	самим собой	2	4
62	это не	6	4
63	в своей	2	4
64	своего рода	1	4
65	в мире	1	4
66	времени и	10	4
67	человек по	2	4
68	одной из	3	4
69	прежде всего	15	4
70	в момент	1	4
71	не может	6	4
72	и наказание	1	4
73	и от	1	4
74	в основном	5	4
75	один из	3	4
76	с большой	2	4
77	одним из	1	4
78	я и	1	3
79	ту же	2	3
80	и т	8	3
81	той же	2	3
82	я не	1	3
83	не был	1	3
84	время в	6	3
85	со всеми	3	3
86	чувства времени	1	3
87	хотя и	3	3
88	в самом	8	3
89	сливается с	1	3
90	в нем	24	3
91	он ни	1	3
92	и по	2	3
93	в каждом	1	3
94	что все	2	3
95	и с	4	3
96	и других	3	3
97	на протяжении	1	3
98	время у	1	3
99	соответствии с	2	3
100	далеко не	2	3
101	своей личности	1	3
102	времени на	1	3
103	в их	6	3
104	место в	2	3
105	человека но	1	3
106	дело не	1	3
107	самого начала	2	3
108	дело в	2	3
109	героев и	3	3
110	никогда не	2	3
111	стремится к	1	3
112	он видит	1	3
113	приходит к	1	3
114	с ее	6	3
115	и другие	5	3
116	с самого	2	3
117	в дальнейшем	6	3
118	с ним	2	3
119	в ту	1	3
120	того что	2	3
121	во времени	3	3
122	уже не	2	3
123	уже в	2	3
124	говорит о	1	3
125	так как	6	3
126	в соответствии	2	3
127	человек как	1	3
128	в которой	2	3
129	связан с	1	3
130	и даже	2	3
131	с другой	2	3
132	но и	8	3
133	что человек	1	3
134	к человеку	1	3
135	подхода к	3	3
136	но не	5	3
137	романное время	1	3
138	не существует	1	3
139	на берегу	1	3
140	жизни и	8	3
141	ее в	2	3
142	так же	6	3
143	того же	8	2
144	самом деле	1	2
145	на деле	1	2
146	по преимуществу	3	2
147	а как	3	2
148	есть не	3	2
149	но она	2	2
150	и он	1	2
151	героя и	7	2
152	в ней	4	2
153	собой в	1	2
154	в отличие	2	2
155	в чем	2	2
156	отличие от	2	2
157	человек может	1	2
158	и наконец	1	2
159	но его	1	2
160	но без	1	2
161	отчасти и	1	2
162	в себе	3	2
163	времени это	1	2
164	на площади	4	2
165	по самому	2	2
166	так сказать	7	2
167	ее по	2	2
168	здесь мы	1	2
169	этом романе	2	2
170	когда я	1	2
171	в данном	2	2
172	в один	1	2
173	и того	6	2
174	в этих	3	2
175	не столько	1	2
176	не в	5	2
177	в пространстве	5	2
178	но он	2	2
179	т п	8	2
180	и время	2	2
181	одна из	2	2
182	вторгается в	1	2
183	в основе	5	2
184	к ней	2	2
185	могут быть	5	2
186	к тому	3	2
187	протяжении всего	1	2
188	где он	1	2
