1	то же время	4	7
2	в то же	4	7
3	в этом отношении	1	5
4	к тому же	2	5
5	не говоря уже	1	4
6	в том что	7	4
7	с одной стороны	1	4
8	о том что	7	4
9	говоря уже о	1	3
10	не может быть	3	3
11	не в одном	1	2
12	и в частности	2	2
13	в целом и	1	2
14	не только в	2	2
15	и если это	1	2
16	то ни было	1	2
17	в то что	1	2
18	на то что	4	2
19	и вместе с	1	2
20	к жизни в	1	2
21	в том чтобы	2	2
22	в самом деле	1	2
23	бы то ни	1	2
24	и тем самым	1	2
25	с другой стороны	3	2
26	так или иначе	1	2
27	в истории русской	1	1
28	с ней в	1	1
29	к тому что	1	1
30	уже не может	1	1
31	что иное как	1	1
32	на жизнь как	1	1
33	так и не	1	1
34	очень сильное впечатление	1	1
35	соловьева с его	1	1
36	в году он	4	1
37	не что иное	1	1
38	но и для	1	1
39	тем не менее	2	1
40	в связи с	1	1
41	о том с	1	1
42	но отнюдь не	1	1
43	еще в году	1	1
44	и с и	1	1
45	содержит в себе	1	1
46	вместе с тем	1	1
47	то что для	1	1
48	для того чтобы	2	1
49	более или менее	3	1
50	у него не	2	1
51	т и с	2	1
52	во второй половине	1	1
53	как раз в	1	1
54	при этом в	1	1
55	в свою очередь	1	1
56	в те годы	3	1
57	на себя всю	1	1
58	и в том	1	1
59	но это не	1	1
60	и то что	4	1
61	всех такого рода	1	1
62	соловьева о том	1	1
63	жизнь как на	1	1
64	в эти самые	1	1
65	с по год	1	1
66	эти самые годы	1	1
67	место в этом	1	1
68	это и есть	1	1
69	не только не	1	1
70	сказать что по	1	1
71	и только в	1	1
