N	3gram	Medvedev_F_3	Otkroven
1	в нем нет	1	3
2	для того чтобы	4	3
3	а не в	3	2
4	не может быть	14	2
5	как и все	2	2
6	с тем что	1	2
7	и никогда не	1	2
8	смысле этого слова	2	1
9	хотя и не	1	1
10	а в его	1	1
11	не в том	1	1
12	от всех тех	1	1
13	а вовсе не	4	1
14	ни к каким	1	1
15	есть уже не	1	1
16	в самом деле	4	1
17	того чтобы овладеть	1	1
18	и в том	1	1
19	и все эти	1	1
20	о том как	2	1
21	так и не	1	1
22	в своих художественных	1	1
23	и все же	1	1
24	и не может	4	1
25	во всяком случае	6	1
26	сам по себе	1	1
27	он и не	1	1
28	о том что	1	1
29	в этом отношении	3	1
30	есть одно из	1	1
31	и в самом	1	1
32	в том что	3	1
33	а иногда и	1	1
34	на то что	1	1
35	в первый период	1	1
36	т е от	1	1
37	уже указывали на	1	1
38	друг с другом	1	1
39	а не только	1	1
40	что он был	1	1
41	как и в	1	1
42	от того что	1	1
