N	4gram	Losev_Dial_1	Myshleni
1	с одной стороны и	2	3
2	одно и то же	4	3
3	с точки зрения самого	2	2
4	в какой мере не	1	2
5	ни в какой мере	1	2
6	в то время как	1	2
7	одной и той же	1	2
8	все больше и больше	1	2
9	не содержат в себе	1	2
10	сама по себе она	1	1
11	и то и другое	2	1
12	одной стороны и с	1	1
13	на самом же деле	1	1
14	есть не что иное	1	1
15	не что иное как	1	1
16	заключается только в том	1	1
17	то что говорится о	1	1
18	привело к тому что	1	1
19	то и другое не	1	1
20	несмотря на то что	2	1
21	в этом и заключается	1	1
