N	2gram	Bakhtin_Pr_3	TeoriaLi
1	в мире	5	24
2	не только	4	18
3	в качестве	1	17
4	и не	15	16
5	а в	2	14
6	состоит в	1	13
7	и в	53	13
8	то есть	48	12
9	так и	6	12
10	может быть	12	12
11	в этом	8	11
12	при этом	3	11
13	в том	14	11
14	но не	5	10
15	и его	10	10
16	а не	11	10
17	то же	6	9
18	в его	8	9
19	по отношению	2	8
20	своего рода	3	8
21	в душе	1	8
22	но и	7	8
23	отношению к	1	8
24	что в	2	8
25	отличие от	1	7
26	в себе	5	7
27	том что	5	7
28	точки зрения	4	7
29	в отличие	1	7
30	в то	5	7
31	по своей	9	7
32	только в	4	7
33	как это	2	7
34	еще не	5	6
35	с его	2	6
36	но в	5	6
37	место в	2	6
38	же время	5	6
39	как бы	14	6
40	мы имеем	1	5
41	жизни как	4	5
42	в своем	1	5
43	в самом	2	5
44	он не	3	5
45	как и	11	5
46	не в	2	5
47	тем самым	1	5
48	в нем	10	5
49	в ее	3	5
50	или иной	1	5
51	а также	4	5
52	между тем	2	5
53	и одновременно	4	5
54	уже не	1	5
55	с другой	2	5
56	как в	7	5
57	между ними	2	5
58	говорить о	2	4
59	отношение к	6	4
60	хотя и	4	4
61	то что	9	4
62	в слове	1	4
63	в своей	3	4
64	в их	2	4
65	или менее	3	4
66	не менее	3	4
67	личности в	1	4
68	можно сказать	8	4
69	в форме	6	4
70	и ее	6	4
71	но он	2	4
72	и т.п	31	4
73	и а	1	4
74	мира и	2	4
75	личности и	1	4
76	на смену	1	4
77	не знает	4	4
78	сказать что	10	4
79	не может	2	4
80	более или	3	4
81	и то	1	3
82	между двумя	1	3
83	например в	5	3
84	что можно	1	3
85	а только	1	3
86	не все	1	3
87	и т.д	2	3
88	в акте	1	3
89	перед нами	5	3
90	и к	5	3
91	со своей	1	3
92	все эти	9	3
93	в этой	1	3
94	и по	3	3
95	самим собой	1	3
96	его в	2	3
97	этом смысле	1	3
98	авторской позиции	2	3
99	мог бы	1	3
100	в этих	5	3
101	тем не	2	3
102	никогда не	2	3
103	потому что	5	3
104	той или	1	3
105	другой стороны	1	3
106	и что	1	3
107	во времени	1	3
108	человека с	1	3
109	с ее	1	3
110	на почве	1	3
111	именно в	2	3
112	и др	14	3
113	нового времени	8	3
114	прежде всего	15	3
115	в соответствии	2	3
116	и потому	5	3
117	человека к	3	3
118	по своему	6	3
119	этого слова	1	3
120	таким образом	6	3
121	или в	1	3
122	в основе	5	3
123	речи и	1	3
124	я и	1	2
125	того же	2	2
