N	3gram	Berdyaev_M_2	Tragedij
1	по замыслу достоевского	1	2
2	и не случайно	1	2
3	в записках из	1	2
4	преступлении и наказании	1	2
5	в преступлении и	1	2
6	не в силах	1	2
7	о том что	2	2
8	в том что	2	2
9	а между тем	1	1
10	в этом мире	1	1
11	любовь в которой	1	1
12	с отцом и	1	1
13	но он сам	1	1
14	ивана карамазова в	1	1
15	том что он	1	1
16	начала в человеке	1	1
17	у него нет	3	1
18	в своей книге	1	1
19	в этой борьбе	1	1
20	сам по себе	1	1
21	и не могли	1	1
22	что он не	1	1
23	он понял что	2	1
24	не может жить	1	1
25	своего отца и	1	1
26	записках из подполья	1	1
27	он не любил	1	1
28	в высшей степени	3	1
29	он перестает быть	1	1
30	в конце концов	1	1
31	смысле этого слова	1	1
32	в себе ее	1	1
33	в xx веке	1	1
34	и должно быть	1	1
35	и в этом	3	1
36	по сравнению с	1	1
37	у достоевского не	1	1
38	по природе своей	1	1
39	с такой силой	1	1
40	уже было в	1	1
41	бы и не	1	1
42	в xix веке	1	1
43	к этой теме	1	1
44	не может быть	8	1
45	как и все	1	1
46	это и есть	3	1
47	у него есть	1	1
48	и он сам	1	1
49	ничего подобного нет	1	1
50	достоевский и в	1	1
51	один из первых	1	1
52	после того как	2	1
53	в братьях карамазовых	2	1
54	к тому что	3	1
55	мы видим уже	1	1
56	ведет к тому	1	1
57	добро и зло	2	1
58	как и в	2	1
59	толстой и достоевский	1	1
60	петра верховенского как	1	1
