N	3gram	Ircho_Kome_2	RusskieA
1	в том что	5	15
2	вместе с тем	4	6
3	в связи с	3	4
4	о том что	4	4
5	к тому что	2	4
6	с точки зрения	1	3
7	тем не менее	1	3
8	ни одно из	1	2
9	в это время	2	2
10	в свою очередь	1	2
11	к выводу что	1	2
12	но все же	1	2
13	в большинстве случаев	1	2
14	после того как	2	2
15	по содержанию и	1	1
16	только потому что	2	1
17	по этому вопросу	1	1
18	на себя внимание	5	1
19	по отношению к	3	1
20	точно так же	1	1
21	в тех случаях	1	1
22	как это имело	1	1
23	наряду с этим	1	1
24	и та же	1	1
25	судя по всему	2	1
26	независимо от того	2	1
27	и т п	2	1
28	можно было бы	2	1
29	так как он	1	1
30	только разницей что	1	1
31	обращает на себя	5	1
32	ни в одном	1	1
33	не только в	1	1
34	как видно из	1	1
35	место во время	2	1
36	сделать вывод что	1	1
37	по своему происхождению	1	1
38	в один из	1	1
39	исконное значение слова	1	1
40	как будто бы	1	1
41	в отличие от	2	1
42	о том чтобы	1	1
43	потому что по	1	1
44	во всяком случае	2	1
45	одна и та	1	1
46	тому что именно	1	1
47	в целом ряде	1	1
48	и в том	1	1
49	не означает что	1	1
50	в то время	3	1
51	о котором речь	1	1
52	той только разницей	1	1
53	к этому времени	2	1
54	никак не может	1	1
55	с той только	1	1
56	во второй половине	1	1
57	тех случаях когда	1	1
58	друг с другом	2	1
59	из них в	1	1
60	что и в	2	1
61	это имело место	1	1
62	как мы знаем	1	1
63	как мы видели	1	1
