N	3gram	Bakhtin_Pr_1	KFilosof
1	по отношению к	11	21
2	не может быть	3	11
3	с точки зрения	15	10
4	в его целом	5	9
5	может быть только	1	6
6	отношению к нему	1	4
7	в нем как	1	4
8	в этом смысле	9	3
9	и в этом	3	3
10	между тем как	4	3
11	в нем и	1	3
12	того или иного	1	3
13	на самом деле	3	3
14	но все эти	1	3
15	во всей его	2	2
16	в то же	7	2
17	и для него	1	2
18	бы то ни	3	2
19	бы он ни	1	2
20	и только в	1	2
21	он ни был	1	2
22	мира в его	2	2
23	раз и навсегда	2	2
24	в котором я	1	2
25	он может быть	2	2
26	в том что	7	2
27	в бытии и	1	2
28	события в котором	1	2
29	то же время	7	2
30	во всех этих	1	2
31	то что я	1	2
32	то ни было	2	2
33	возможных точек зрения	1	1
34	не теряя своей	1	1
35	менее всего можно	1	1
36	мы не можем	1	1
37	оно ни было	1	1
38	есть действительно и	1	1
39	литературе о нем	1	1
40	в каком плане	1	1
41	входит в его	1	1
42	в большинстве случаев	2	1
43	для него самого	3	1
44	по себе а	1	1
45	не укоренен в	1	1
46	и именно в	1	1
47	в литературе о	1	1
48	того что в	1	1
49	смысле этого слова	1	1
50	а следовательно и	1	1
51	и не потому	1	1
52	что может быть	2	1
53	и в то	3	1
54	при этом условии	1	1
55	но в то	2	1
56	не может претендовать	1	1
57	иной чем в	1	1
58	в его мире	2	1
59	бы оно ни	1	1
60	пространства и времени	1	1
61	не потому что	2	1
62	тем или иным	1	1
63	к той же	1	1
64	в известном смысле	1	1
65	равно как и	1	1
66	но это не	3	1
67	может быть и	1	1
68	для того чтобы	2	1
69	не в одном	1	1
70	в противном случае	1	1
71	что и в	1	1
72	в себе в	1	1
73	не совпадает с	1	1
74	но здесь мы	1	1
75	к тому что	1	1
76	совершенно иной чем	1	1
77	если бы я	1	1
78	и входит в	1	1
79	человека но не	2	1
80	и в трагедии	1	1
81	ведь только в	1	1
82	притом не только	1	1
83	то же самое	1	1
84	и как бы	1	1
85	сознаний из которых	1	1
86	само по себе	2	1
87	в движение по	1	1
88	и то что	1	1
89	как если бы	1	1
90	хотя бы и	2	1
91	только при этом	1	1
92	в нем создает	1	1
93	он не может	1	1
94	форму и содержание	1	1
95	в значительной степени	1	1
96	во всяком случае	3	1
97	в одном кругозоре	1	1
98	было дано в	1	1
99	один миг не	1	1
100	с ним и	3	1
101	позицию по отношению	1	1
102	а не к	1	1
103	конечно не в	1	1
104	он должен быть	1	1
105	в лучшем случае	2	1
106	на задний план	1	1
107	но для того	1	1
108	в зависимости от	3	1
109	в себя как	1	1
110	ведь если бы	1	1
111	только с ним	1	1
112	все это в	1	1
113	может быть понято	1	1
114	она может быть	1	1
115	даже там где	1	1
116	как бы он	1	1
117	дело в том	1	1
118	и в нем	1	1
119	можно говорить об	1	1
120	имеет смысл и	1	1
121	события его жизни	1	1
122	не в том	1	1
123	в первом случае	1	1
124	отсюда следует что	1	1
125	ни в один	1	1
126	это не значит	2	1
127	не была бы	1	1
128	а не как	3	1
129	и по отношению	1	1
