N	3gram	Losev_Vesc_1	Istorich
1	с другой стороны	2	8
2	и т д	19	8
3	с одной стороны	3	7
4	в том что	4	5
5	до сих пор	1	4
6	не только в	4	4
7	о том что	4	4
8	о том как	1	3
9	вместе с тем	1	3
10	в данном случае	2	3
11	то время как	1	3
12	но так как	1	3
13	мы видели что	1	3
14	в то время	1	3
15	не может быть	6	3
16	в ней нет	1	2
17	мы можем установить	1	2
18	только то что	2	2
19	т е в	7	2
20	сих пор мы	1	2
21	во всяком случае	2	2
22	в которое попадает	1	2
23	можно было бы	1	2
24	что и в	1	2
25	перед нами как	1	2
26	что иное как	7	1
27	только потому что	1	1
28	по существу и	1	1
29	того что в	1	1
30	то это значит	2	1
31	более или менее	1	1
32	ее но и	1	1
33	но то что	1	1
34	и в особенности	1	1
35	новые и новые	1	1
36	того или другого	1	1
37	ли сказать что	3	1
38	одной стороны и	1	1
39	на огромные трудности	1	1
40	можно ли сказать	3	1
41	для тех кто	1	1
42	то и другое	4	1
43	и то и	1	1
44	в зависимости от	1	1
45	что когда я	1	1
46	с тем что	1	1
47	кроме того что	1	1
48	с этой точки	1	1
49	и тем не	1	1
50	и то что	3	1
51	как и вся	1	1
52	одно и то	4	1
53	на этой стадии	1	1
54	так же как	1	1
55	не потому что	4	1
56	и новые формы	1	1
57	что есть еще	1	1
58	еще ничего не	1	1
59	но тут же	1	1
60	и то же	4	1
61	существу и по	1	1
62	так или иначе	4	1
63	все же не	1	1
64	это не значит	1	1
65	но и то	1	1
66	т д все	1	1
67	что у него	1	1
68	значит что она	3	1
69	в том смысле	1	1
70	в свое время	2	1
71	этой точки зрения	1	1
72	есть не что	5	1
73	независимо от того	1	1
74	от того что	1	1
75	все новые и	1	1
76	том смысле что	1	1
77	и не потому	1	1
78	что в ней	1	1
79	но это только	1	1
80	то что не	2	1
81	ней должен быть	1	1
82	это значит что	19	1
83	подобно тому как	4	1
84	с этой стороны	1	1
85	можно сказать что	3	1
86	на то что	2	1
87	еще не вполне	1	1
88	то или другое	1	1
89	не значит что	1	1
90	не что иное	7	1
91	т д если	1	1
92	тем не менее	3	1
93	не только то	1	1
94	друг с другом	1	1
95	для того чтобы	2	1
96	что у нас	1	1
97	здесь как и	1	1
98	в себе не	1	1
99	что между ними	1	1
100	и с другой	2	1
101	один из видов	1	1
