N	2gram	Bakhtin_Pr_1	Psycholo
1	то что	18	32
2	и в	23	31
3	в том	11	30
4	то есть	24	26
5	что в	8	23
6	может быть	21	22
7	таким образом	11	20
8	при помощи	1	20
9	при этом	3	19
10	так как	7	18
11	не может	11	17
12	как и	8	16
13	том что	9	16
14	и не	34	16
15	точки зрения	21	15
16	искусства и	1	15
17	только в	8	14
18	не только	13	13
19	что и	5	13
20	а не	20	13
21	мы не	2	12
22	если мы	1	12
23	так же	6	12
24	в этом	25	12
25	в самом	8	11
26	не в	6	11
27	в области	3	11
28	могут быть	1	11
29	в сущности	5	10
30	того что	2	10
31	потому что	12	10
32	самом деле	5	9
33	по себе	7	9
34	ни в	3	9
35	как в	6	9
36	и что	1	8
37	никогда не	5	8
38	что мы	1	8
39	вместе с	2	8
40	все это	7	8
41	во всяком	4	8
42	том чтобы	1	7
43	заключается в	2	7
44	сказать что	5	7
45	того чтобы	4	7
46	и его	13	7
47	о том	2	7
48	есть в	3	7
49	тому как	3	7
50	что он	10	7
51	что это	1	6
52	зависимости от	3	6
53	из этих	2	6
54	что она	2	6
55	для того	2	6
56	было бы	6	6
57	если бы	10	6
58	в его	24	6
59	вслед за	1	6
60	всяком случае	3	6
61	вовсе не	8	6
62	и даже	3	6
63	до конца	5	6
64	а в	7	6
65	художественного творчества	2	6
66	и есть	5	5
67	в зависимости	3	5
68	то же	10	5
69	время как	1	5
70	в ее	1	5
71	в целом	4	5
72	подобно тому	3	5
73	несмотря на	6	5
74	теории искусства	1	5
75	она не	5	5
76	в то	10	5
77	тогда когда	1	5
78	в процессе	4	5
79	как будто	3	5
80	то время	2	5
81	для нас	3	5
82	с другой	2	5
83	мы видим	3	5
84	в какой	1	5
85	так что	1	5
86	был бы	5	5
87	само по	2	5
88	художественной формы	5	5
89	совершенно не	1	5
90	как бы	28	5
91	этой точки	1	5
92	все же	5	5
93	и для	3	5
94	формы и	1	5
95	и все	3	5
96	другой стороны	2	5
97	же как	1	4
98	в котором	2	4
99	в которой	4	4
100	совпадает с	2	4
101	точка зрения	7	4
102	у него	6	4
103	со всеми	1	4
104	отличие от	2	4
105	в последнее	1	4
106	в себе	5	4
107	по существу	4	4
108	в совершенно	2	4
109	от себя	1	4
110	что я	1	4
111	тому что	2	4
112	одна из	2	4
113	только из	1	4
114	у нас	1	4
115	к тому	1	4
116	те же	1	4
117	со стороны	2	4
118	никак не	2	4
119	прежде всего	7	4
120	между тем	5	4
121	все время	1	4
122	один из	2	4
123	мы увидим	1	4
124	и у	4	4
125	бы тот	1	4
126	могло бы	1	4
127	там где	6	4
128	этого слова	2	4
129	с этой	1	4
130	и о	3	4
131	в результате	4	4
132	в этих	2	4
133	в искусстве	2	4
134	и другие	2	4
135	в своих	2	4
136	к этому	2	4
137	художественном произведении	1	3
138	смысле слова	1	3
139	например в	3	3
140	это и	9	3
141	тем же	1	3
142	должна быть	2	3
143	той же	6	3
144	с теорией	2	3
145	нуждаются в	1	3
146	вопрос о	4	3
147	из которых	2	3
148	себе а	1	3
149	в которых	2	3
150	совсем не	1	3
151	но не	8	3
152	с этим	1	3
153	в художественном	2	3
154	в своем	8	3
155	хотя и	1	3
156	и к	4	3
157	но в	4	3
158	в произведении	1	3
159	уже в	5	3
160	в этой	4	3
161	его и	1	3
162	и вот	2	3
163	и по	2	3
164	в каждом	8	3
165	не будет	1	3
166	может стать	1	3
167	в своей	11	3
168	в отличие	2	3
169	его действия	1	3
170	точку зрения	4	3
171	мысли в	2	3
172	точно так	2	3
173	литературной традиции	1	3
174	только не	1	3
175	у меня	1	3
176	все то	4	3
177	не могут	6	3
178	что оно	1	3
179	не есть	1	3
180	и это	5	3
181	но только	1	3
182	что все	3	3
183	только при	2	3
184	роль в	2	3
185	так и	10	3
186	что у	1	3
187	начинается там	1	3
188	он не	4	3
189	в частности	1	3
190	который в	1	3
191	или его	1	3
192	не можем	1	3
193	и других	5	3
194	а потому	2	3
195	в конце	5	3
196	от того	2	3
197	и только	1	3
198	точек зрения	3	3
199	до сих	2	3
200	не было	3	3
201	же точно	1	3
202	под влиянием	1	3
203	в одной	4	3
204	из его	3	3
205	где начинается	1	3
206	в состоянии	1	3
207	сих пор	2	3
208	но это	5	3
209	должны быть	1	3
210	и другими	4	3
211	конце концов	4	3
212	от всех	1	3
213	жизни и	6	3
214	все что	3	3
215	как на	2	3
216	и то	1	2
217	на самом	4	2
218	идет о	3	2
219	из всех	1	2
220	есть не	2	2
221	как мы	5	2
