N	2gram	Kanaev_Sov_1	KulturaY
1	в том	4	30
2	и в	7	24
3	том что	1	21
4	что в	2	17
5	и пр	2	15
6	было бы	3	15
7	точки зрения	12	14
8	в этом	7	14
9	может быть	12	13
10	все же	3	12
11	таким образом	11	12
12	в его	2	12
13	и не	6	12
14	не в	3	11
15	только в	1	11
16	вовсе не	1	10
17	у нас	3	10
18	в самом	2	10
19	не только	4	10
20	прежде всего	5	9
21	отношению к	1	9
22	самом деле	2	9
23	с точки	5	9
24	так как	4	9
25	если бы	1	9
26	о том	1	9
27	то же	3	8
28	по отношению	1	8
29	уже не	2	8
30	а не	3	8
31	не может	17	7
32	связи с	1	7
33	вместе с	4	7
34	с помощью	4	7
35	в области	3	7
36	это не	4	7
37	с другой	1	7
38	не менее	2	7
39	как бы	4	7
40	все эти	5	6
41	в которой	2	6
42	при этом	3	6
43	все это	3	6
44	в какой	1	6
45	мере в	1	6
46	что же	5	6
47	мы имеем	1	6
48	зависимости от	4	6
49	что такое	2	6
50	именно в	1	6
51	можно было	1	6
52	не случайно	1	6
53	в ней	1	6
54	во всяком	2	5
55	и его	1	5
56	крайней мере	1	5
57	что это	2	5
58	с ним	1	5
59	а в	4	5
60	а потому	1	5
61	еще не	3	5
62	но не	1	5
63	но уже	1	5
64	всяком случае	2	5
65	xix века	1	5
66	в зависимости	4	5
67	по крайней	1	5
68	так сказать	2	5
69	рядом с	1	5
70	и что	2	5
71	в результате	6	5
72	того же	1	4
73	сих пор	1	4
74	в нем	3	4
75	там где	1	4
76	на язык	1	4
77	до сих	1	4
78	из этих	2	4
79	же в	1	4
80	это и	1	4
81	в целом	4	4
82	с этим	2	4
83	один из	1	4
84	и потому	3	4
85	тем не	2	4
86	так же	1	4
87	в науке	2	4
88	роль в	2	4
89	и тогда	1	4
90	с его	1	4
91	должен быть	1	4
92	по существу	1	4
93	указать на	1	4
94	из них	4	4
95	в данном	1	4
96	в себе	3	3
97	на его	2	3
98	в связи	1	3
99	а это	1	3
100	себе в	1	3
101	не было	1	3
102	но еще	1	3
103	этом смысле	1	3
104	к которому	1	3
105	в одном	3	3
106	в таком	2	3
107	это только	1	3
108	не имеют	1	3
109	они не	1	3
110	в системе	3	3
111	должно быть	1	3
112	том как	1	3
113	свою очередь	2	3
114	ясно что	3	3
115	в первом	3	3
116	и даже	2	3
117	хотя и	1	3
118	той же	2	3
119	и может	1	3
120	только и	1	3
121	из одного	2	3
122	в этой	3	3
123	и если	1	3
124	научного знания	1	3
125	несмотря на	1	3
126	представление о	1	3
127	несколько слов	1	3
128	в духе	1	3
129	что она	3	3
130	уже в	3	3
131	или иной	2	3
132	в своем	1	3
133	в свою	2	3
134	нас есть	1	2
135	что его	1	2
136	в свое	1	2
137	же время	1	2
138	все те	2	2
139	этого не	1	2
140	как и	6	2
141	мы говорим	1	2
142	ни одного	1	2
143	и для	1	2
144	можно говорить	1	2
145	для них	1	2
146	на этот	2	2
147	себя самого	1	2
148	и все	3	2
149	на эту	1	2
150	свое время	1	2
151	увидим что	1	2
152	когда мы	3	2
153	поэтому что	1	2
154	иное как	1	2
155	в большинстве	1	2
156	он не	1	2
157	уже на	1	2
158	если в	1	2
159	по себе	1	2
160	а на	2	2
161	тот же	2	2
162	другое дело	1	2
163	и становится	1	2
164	для нас	3	2
165	но все	2	2
166	и именно	2	2
167	между ними	1	2
168	вопрос о	4	2
169	и более	1	2
170	но если	1	2
171	на самом	1	2
172	никогда не	1	2
173	что с	1	2
174	этом случае	1	2
175	то и	2	2
176	или в	1	2
177	и мы	3	2
178	в то	1	2
179	конечно не	1	2
180	ни в	1	2
181	и еще	1	2
182	ничего не	6	2
183	не имеет	1	2
184	возможность и	2	2
185	но ведь	1	2
186	что все	2	2
187	в каждом	8	2
188	как например	1	2
189	по преимуществу	1	2
190	только к	1	2
191	не могут	2	2
192	ли это	1	2
193	образом если	1	2
194	можно подыскать	1	2
195	но в	3	2
196	по своим	1	2
197	когда в	1	2
198	все равно	1	2
199	и есть	2	2
200	и при	1	2
201	и должно	1	2
202	быть в	1	2
203	идет о	1	2
204	не является	1	2
205	если мы	4	2
206	которую можно	1	2
207	во втором	1	2
208	может иметь	2	2
209	она и	1	1
210	такие же	2	1
211	мало для	1	1
212	развития с	1	1
213	существу не	1	1
214	этот раз	1	1
215	как угодно	2	1
216	и иначе	1	1
217	не знает	1	1
218	на второй	1	1
219	говорить о	2	1
220	же это	4	1
221	раз из	1	1
222	именно к	1	1
223	аналогии с	1	1
224	только не	1	1
225	собственно и	1	1
226	от другой	1	1
227	жизненную силу	1	1
228	для своего	1	1
229	нет в	1	1
230	на которые	1	1
231	необходимость в	1	1
232	именно таковы	1	1
233	и ничего	1	1
234	в живой	1	1
235	сколько угодно	1	1
236	это как	1	1
237	утверждает что	1	1
238	ни другое	1	1
239	кроме того	1	1
240	но только	1	1
241	выбор и	1	1
242	же остается	1	1
243	том случае	1	1
244	захотел то	1	1
245	с понятием	1	1
246	такой вопрос	1	1
247	то он	1	1
248	и эту	1	1
249	считая что	1	1
250	только о	1	1
251	у читателя	1	1
252	это просто	1	1
253	настоящее время	2	1
254	совершенно иными	1	1
255	те или	1	1
256	науки в	1	1
257	и во	2	1
258	всегда останется	1	1
259	этим мы	3	1
260	только из	1	1
261	к началу	1	1
262	в конце	3	1
263	образом на	1	1
264	говорим о	2	1
265	та же	1	1
266	во всех	1	1
267	не дает	2	1
268	появление в	1	1
269	и те	1	1
270	и конкретную	1	1
271	ничего общего	1	1
272	практике в	1	1
273	его значения	1	1
274	значение в	2	1
275	не сказано	1	1
276	как его	1	1
277	и историей	1	1
278	в нашем	2	1
279	из четырех	2	1
280	я мог	1	1
281	чистейшая фикция	1	1
282	свою задачу	1	1
283	его в	1	1
284	сомнению что	1	1
285	быть только	1	1
286	только одна	6	1
287	совсем не	1	1
288	ни то	1	1
289	всей совокупности	1	1
290	его и	1	1
291	и только	1	1
292	жизни в	1	1
293	построения в	1	1
294	с совершенно	2	1
295	совершенно невозможно	1	1
296	есть не	1	1
297	здесь в	1	1
298	совершенно не	2	1
299	с общим	2	1
300	на этой	3	1
301	в условиях	5	1
302	конечно в	2	1
303	в начале	1	1
304	необходимо для	1	1
305	сами по	1	1
306	но как	1	1
307	мы видели	4	1
308	но они	1	1
309	еще более	2	1
310	вот пример	1	1
311	то из	1	1
312	что иное	1	1
313	мысли в	1	1
314	в природе	1	1
315	следовательно у	1	1
316	в отличие	2	1
317	которые в	1	1
318	в совершенно	1	1
319	в дальнейшем	4	1
320	действительное значение	1	1
321	как мы	2	1
322	мы с	2	1
323	в наших	3	1
324	все время	1	1
325	отличие от	2	1
326	всюду где	1	1
327	и философы	1	1
328	у всех	3	1
329	отнюдь не	3	1
330	и действительное	1	1
331	мы получаем	3	1
332	то ни	2	1
333	своего развития	1	1
334	вступила в	1	1
335	жизни и	4	1
336	как он	3	1
337	во внутреннем	1	1
338	дело в	1	1
339	и от	1	1
340	или иные	1	1
341	он называет	1	1
342	следующим образом	3	1
343	это или	1	1
344	сказать что	1	1
345	говорить что	1	1
346	мы в	1	1
347	до наших	1	1
348	тот или	2	1
349	мы называем	3	1
350	мы получим	3	1
351	наших дней	1	1
352	так называемых	3	1
353	из одной	1	1
354	но тем	1	1
355	целого может	1	1
356	по аналогии	1	1
357	эту сторону	1	1
358	основной вопрос	3	1
359	между различными	1	1
360	в конечном	1	1
361	одна из	3	1
362	но никогда	1	1
363	точку зрения	4	1
364	же как	1	1
365	могут быть	2	1
366	в настоящее	2	1
367	это значит	1	1
368	с одной	2	1
369	или нет	1	1
370	силы в	1	1
371	или так	1	1
372	типа вот	1	1
373	когда и	1	1
374	не что	1	1
375	от другого	1	1
376	что вся	1	1
377	а все	3	1
378	в процессе	1	1
379	а из	1	1
380	в область	1	1
381	не соответствует	1	1
382	поэтому в	1	1
383	раз он	1	1
384	в данной	1	1
385	положение в	1	1
386	ему принадлежит	1	1
387	еще раз	1	1
388	на этом	2	1
389	в действительности	1	1
390	одной стороны	1	1
391	в своих	1	1
392	науке а	1	1
393	может но	1	1
394	и живой	1	1
395	в которую	2	1
396	в известном	1	1
397	в общий	1	1
398	не механический	1	1
399	не приходится	1	1
400	в развитии	4	1
401	где это	1	1
402	во многом	1	1
403	для чего	1	1
404	вопрос должен	1	1
405	мы можем	6	1
406	в такой	1	1
407	но что	1	1
408	она уже	1	1
409	так называемое	1	1
410	и у	1	1
411	не подлежит	3	1
412	не из	1	1
413	а может	1	1
414	или же	2	1
415	он должен	2	1
416	в некоторых	2	1
417	к этому	1	1
418	все более	1	1
419	раз и	1	1
420	и их	1	1
421	приобретают нормальную	1	1
422	может стать	1	1
423	одного из	1	1
424	нас на	1	1
425	то она	1	1
426	это уже	1	1
427	только на	1	1
428	изучаемых явлений	1	1
429	для науки	1	1
430	развития и	1	1
431	необходимости и	1	1
432	что свои	1	1
433	и следовательно	1	1
434	этот вопрос	1	1
435	нам только	1	1
436	к одному	1	1
437	все что	1	1
438	и по	2	1
439	их по	1	1
440	но это	1	1
441	но для	1	1
442	той или	1	1
