N	3gram	Tiupa_Anal_2	Problemy
1	с точки зрения	2	13
2	в этом смысле	2	10
3	то же время	2	9
4	в то же	2	9
5	по отношению к	4	8
6	в том что	6	6
7	и в этом	4	5
8	между тем как	1	4
9	не может быть	1	4
10	что она не	1	3
11	подобно тому как	3	3
12	как раз и	1	3
13	сами по себе	1	3
14	в этом отношении	3	3
15	с другой стороны	2	3
16	в самом деле	1	2
17	хотя бы и	1	2
18	только то что	1	2
19	в данном случае	5	2
20	не только в	2	2
21	в целом ряде	1	2
22	но и не	1	2
23	можно было бы	2	2
24	другой стороны и	1	1
25	тот же самый	1	1
26	в свою очередь	1	1
27	могут нести в	1	1
28	и даже не	1	1
29	то же самое	1	1
30	в этом случае	4	1
31	то и другое	1	1
32	и сам автор	1	1
33	но и на	1	1
34	хотя он и	1	1
35	далеко за пределы	1	1
36	на себе и	1	1
37	с самим собою	1	1
38	точно так же	1	1
39	на этот вопрос	1	1
40	в каждом отдельном	1	1
41	в противном случае	1	1
42	по крайней мере	3	1
43	бы это было	1	1
44	точки зрения художественного	1	1
45	а не только	2	1
46	не только его	1	1
47	в нас самих	1	1
48	тех или иных	2	1
49	как в этом	1	1
50	как один из	1	1
51	и в пределах	1	1
52	в известном смысле	1	1
53	всего романа в	1	1
54	героя если же	1	1
55	это слово в	1	1
56	этой точки зрения	1	1
57	отношения к предмету	1	1
58	не совпадает с	1	1
59	о том что	6	1
60	того или иного	3	1
61	а в том	1	1
62	более или менее	1	1
63	заключается в том	1	1
64	как более или	1	1
65	и нисколько не	1	1
66	не только не	2	1
67	ни одна из	1	1
68	можно сказать что	1	1
69	в полной мере	1	1
70	ответ на вопрос	1	1
71	к тому что	1	1
72	точки зрения может	1	1
73	до известной степени	1	1
74	сама по себе	1	1
75	друг с другом	1	1
76	при всей их	1	1
77	в отношении к	1	1
78	диалог в драме	1	1
79	стороны и сама	1	1
80	он не только	1	1
81	это не так	1	1
