N	3gram	Bakhtin_Fr_2	Narrotol
1	не только в	5	6
2	в том что	1	5
3	то же время	6	4
4	в то же	6	4
5	не может быть	4	4
6	по отношению к	1	3
7	подобно тому как	2	3
8	в этом отношении	3	3
9	для того чтобы	1	3
10	начало и конец	1	3
11	о том что	3	2
12	до сих пор	4	2
13	но и на	1	2
14	но и в	4	2
15	как если бы	1	2
16	не только от	1	2
17	дело в том	1	2
18	во всяком случае	2	2
19	не только на	1	2
20	можно сказать что	2	2
21	на то что	1	2
22	в корне изменилось	1	1
23	же в этой	1	1
24	здесь говорить не	1	1
25	как и у	1	1
26	только потому что	1	1
27	да и всей	1	1
28	большей или меньшей	3	1
29	в этом последнем	1	1
30	не только с	1	1
31	такие определения как	1	1
32	что для него	1	1
33	один и тот	1	1
34	сих пор еще	2	1
35	с другой стороны	3	1
36	с точки зрения	5	1
37	и не может	1	1
38	бы она была	1	1
39	людей так и	1	1
40	и в то	2	1
41	до известной степени	1	1
42	жизни и смерти	5	1
43	при этом что	1	1
44	только то что	2	1
45	с этого момента	1	1
46	если бы она	1	1
47	в художественной литературе	1	1
48	именно в этом	1	1
49	мы еще вернемся	2	1
50	еще вернемся к	1	1
51	как и в	1	1
52	в первый раз	1	1
53	с одной стороны	3	1
54	мира но не	1	1
55	и тот же	1	1
56	один из наиболее	1	1
57	в значительной степени	2	1
58	для проникновения в	1	1
59	событие в жизни	1	1
60	друг с другом	1	1
61	потому что в	1	1
62	в большей или	3	1
63	и та же	1	1
64	одна и та	1	1
65	в одну из	1	1
66	лишь в самом	1	1
67	самом деле в	1	1
68	содержит в себе	2	1
69	а во время	1	1
70	так и его	1	1
71	на протяжении всего	5	1
72	существенную роль в	1	1
73	прошлого и настоящего	1	1
74	но все же	2	1
75	они могут быть	1	1
76	не подлежит сомнению	1	1
77	на самом деле	1	1
78	во всех его	1	1
79	но они являются	1	1
80	как мы видели	2	1
81	не входит в	1	1
