N	2gram	Voloshinov_1	UchenyiS
1	и в	3	14
2	а не	1	10
3	не только	1	10
4	формального метода	1	9
5	и не	1	8
6	не может	4	7
7	может быть	1	6
8	то же	1	5
9	но и	1	4
10	в то	1	3
11	же время	1	3
12	для него	1	3
13	художественного произведения	1	2
14	если бы	1	2
15	в его	1	2
16	в системе	1	2
17	метода он	1	1
18	литературного произведения	1	1
19	достоевского и	2	1
20	искусство как	1	1
21	как искусство	1	1
22	в ней	1	1
23	бы в	1	1
24	нет и	1	1
25	поэтики и	1	1
26	и все	1	1
27	он в	1	1
28	и истории	1	1
29	в противоположную	1	1
30	о литературе	1	1
