N	3gram	Voloshinov_1	DiskursI
1	в отличие от	1	12
2	в том что	2	6
3	в данном случае	2	6
4	как и в	1	5
5	то же время	1	5
6	с одной стороны	2	4
7	в то же	1	4
8	по отношению к	3	4
9	в этом отношении	1	4
10	не может быть	4	3
11	подобно тому как	1	2
12	и не может	1	2
13	и то же	2	2
14	состоит в том	1	2
15	и как бы	1	2
16	с точки зрения	5	2
17	одно и то	3	2
18	можно говорить о	1	1
19	прежде всего в	1	1
20	с самого начала	2	1
21	том что в	1	1
22	включает в себя	1	1
23	не должно быть	1	1
24	художественного произведения как	2	1
25	а также и	1	1
26	и есть не	1	1
27	в другом месте	1	1
28	равно как и	1	1
29	с другой стороны	2	1
30	на всем протяжении	1	1
31	между тем как	1	1
32	того или иного	2	1
33	в этой структуре	1	1
34	то что в	1	1
35	в конечном счете	1	1
36	только то что	1	1
37	в самом деле	2	1
38	все то что	1	1
39	та или иная	1	1
40	все же остается	1	1
41	тем не менее	1	1
42	а не как	1	1
43	но не менее	1	1
44	мы все же	1	1
