N	4gram	Vinokur_St_2	Vvedenie
1	в то же время	1	6
2	той мере в какой	2	5
3	в той мере в	2	5
4	заключается в том что	1	2
5	дело в том что	4	2
6	сомнений в том что	1	2
7	одно и то же	1	1
8	во всяком случае не	2	1
9	в том-то и дело	1	1
10	уже о том что	1	1
11	бы уже потому что	1	1
12	если принять во внимание	2	1
13	мере в какой они	1	1
14	тот факт что история	1	1
15	говоря уже о том	1	1
16	не говоря уже о	1	1
17	но нужно сказать что	1	1
18	как раз ко времени	1	1
19	виде в каком он	1	1
20	того чтобы можно было	1	1
21	хотя бы уже потому	1	1
22	в отличие от других	1	1
23	и в этом отношении	1	1
24	с тем что в	1	1
25	точно так же как	1	1
26	бы то ни было	2	1
27	для того чтобы можно	1	1
28	но вместе с тем	1	1
