N	2gram	Medvedev_F_1	Narrotol
1	не только	7	32
2	может быть	14	25
3	но и	7	23
4	и не	20	20
5	и в	24	19
6	в том	6	18
7	в этом	15	17
8	в частности	4	14
9	не в	8	14
10	том что	1	14
11	состоит в	1	13
12	а не	10	12
13	тогда как	1	12
14	своего рода	1	12
15	а в	6	11
16	то что	8	11
17	не может	16	10
18	точки зрения	16	10
19	так и	18	9
20	в его	23	9
21	со стороны	5	9
22	при этом	5	9
23	в мире	4	9
24	в себе	3	8
25	с другой	5	8
26	не является	1	8
27	все же	3	7
28	еще не	6	7
29	как и	11	7
30	одной стороны	4	7
31	к тому	3	7
32	с одной	4	7
33	по отношению	4	7
34	а также	1	7
35	как в	8	7
36	отношению к	4	6
37	тем самым	3	6
38	как это	6	6
39	но не	3	6
40	в той	1	6
41	но в	5	6
42	именно в	8	6
43	то в	1	6
44	том числе	1	6
45	что он	3	6
46	точка зрения	2	6
47	с его	4	6
48	в форме	1	5
49	можно сказать	1	5
50	к нему	1	5
51	по себе	5	5
52	мира в	2	5
53	между двумя	1	5
54	отличие от	1	5
55	и его	10	5
56	отнюдь не	6	5
57	уже не	2	5
58	в этой	6	5
59	далеко не	1	5
60	в отличие	1	5
61	себя в	1	5
62	в основе	3	5
63	или иной	1	5
64	и как	3	5
65	в данном	1	5
66	не мог	1	4
67	и с	8	4
68	же время	8	4
69	все те	1	4
70	данном случае	1	4
71	отличается от	3	4
72	прежде всего	22	4
73	здесь не	3	4
74	другой стороны	1	4
75	числе и	1	4
76	вслед за	1	4
77	хотя бы	5	4
78	но все	2	4
79	одной из	2	4
80	то же	10	4
81	в противовес	2	4
82	что не	1	4
83	в силу	1	4
84	только в	2	4
85	не столько	1	4
86	было как	1	4
87	в особенности	3	4
88	и тем	1	4
89	у него	1	4
90	связи с	3	4
91	же в	3	4
92	было бы	6	4
93	одного из	1	4
94	перед нами	1	4
95	из которых	1	4
96	как бы	6	4
97	сказать что	1	4
98	в нем	14	4
99	может не	1	3
100	бы быть	2	3
101	о ней	1	3
102	это и	3	3
103	жизни и	7	3
104	не есть	2	3
105	бы то	3	3
106	что они	1	3
107	даже не	1	3
108	ни было	2	3
109	не менее	11	3
110	в произведении	2	3
111	если в	1	3
112	по своей	1	3
113	сводится к	3	3
114	жизни в	2	3
115	что в	4	3
116	в ее	8	3
117	особенно в	3	3
118	между тем	2	3
119	никогда не	4	3
120	хотя и	1	3
121	не с	2	3
122	на него	2	3
123	мог бы	1	3
124	с ее	7	3
125	как мы	5	3
126	то ни	3	3
127	в то	9	3
128	ни в	2	3
129	один из	3	3
130	свою очередь	6	3
131	к содержанию	1	3
132	в первом	1	3
133	тем не	1	3
134	не о	3	3
135	а с	1	3
136	одна из	2	3
137	же как	2	3
138	могут быть	1	3
139	когда он	3	3
140	этом отношении	1	3
141	и на	8	3
142	он не	3	3
143	бытия в	3	3
144	в ней	10	3
145	еще одна	2	3
146	на себя	1	3
147	а именно	1	3
148	из них	1	3
149	из этих	1	3
150	или иначе	2	3
151	жизни как	1	3
152	и даже	3	3
153	в свою	8	3
154	все эти	6	2
155	жизни а	1	2
156	или иное	1	2
157	более не	1	2
158	приводит к	2	2
159	оно не	4	2
160	должна быть	7	2
161	в обоих	1	2
162	в связи	4	2
163	от всех	3	2
164	говорить о	1	2
165	или в	1	2
166	в литературе	5	2
167	в двух	1	2
168	так же	4	2
169	и для	1	2
170	происходит и	2	2
171	и ее	10	2
172	не было	3	2
173	вследствие чего	1	2
174	и все	6	2
175	в самую	2	2
176	наконец в	3	2
177	как раз	2	2
178	которого он	1	2
179	независимо от	4	2
180	к которому	2	2
181	нет у	1	2
182	в отвлечении	1	2
183	чтобы стать	2	2
184	этой точки	1	2
185	они в	1	2
186	та же	1	2
187	но сама	1	2
188	того или	2	2
189	было в	1	2
190	его в	3	2
191	или даже	1	2
192	его как	3	2
193	время в	3	2
194	все то	1	2
195	между собой	1	2
196	в результате	2	2
197	при всем	1	2
198	и никакой	1	2
199	отношение к	3	2
200	например в	1	2
201	что касается	1	2
202	для него	3	2
203	между ними	3	2
204	во всей	2	2
205	отношения к	6	2
206	сами по	2	2
207	нет и	2	2
208	не от	2	2
209	не сводится	2	2
210	с точки	13	2
211	подход к	2	2
212	идет о	2	2
213	они не	3	2
214	языка и	1	2
215	было ясно	1	2
216	что у	1	2
217	что на	1	2
218	не на	2	2
219	то она	1	2
220	мира и	1	2
221	во второй	1	2
222	и потому	9	2
223	ничего не	2	2
224	его жизни	1	2
225	как к	3	2
226	наряду с	1	2
227	или менее	6	2
228	ему в	1	2
229	в пределах	6	2
230	событий в	1	2
231	и др	5	2
232	совершенно не	1	2
233	структуры в	1	2
234	себе не	1	2
235	этого слова	3	2
236	без исключения	1	2
237	по существу	2	2
238	в структуре	1	2
239	во внешнем	2	2
240	она не	6	2
241	роль в	1	2
242	несмотря на	1	2
243	не как	4	2
244	у нее	1	2
245	тем более	1	2
246	встречается в	1	2
247	отвлечении от	1	2
248	одну из	1	2
249	не могло	5	2
250	не имеет	1	2
251	или иного	3	2
252	самом деле	6	2
253	это не	2	2
254	который в	1	2
255	так или	1	2
256	в своем	11	2
257	и до	5	2
258	более или	6	2
259	жизни но	2	2
260	зависит от	1	2
261	что каждый	1	1
262	произведения не	1	1
263	что оно	1	1
264	переходя к	1	1
265	об ее	1	1
266	его от	1	1
267	не становится	1	1
268	как недостаточно	1	1
269	в дальнейшей	1	1
270	своим следствием	1	1
271	может и	2	1
272	входя в	1	1
273	по-видимому не	1	1
274	какой бы	1	1
275	не отражает	1	1
276	или иных	1	1
277	и здесь	6	1
278	окажется неадекватным	1	1
279	на его	2	1
280	не знает	1	1
281	для нас	1	1
282	мешает ему	1	1
283	и наконец	3	1
284	поэтикой и	1	1
285	в другом	1	1
286	входит в	6	1
287	отрыве от	1	1
288	если же	2	1
289	в него	2	1
290	например на	1	1
291	анализа текста	1	1
292	однако эти	1	1
293	как наука	1	1
294	материала в	3	1
295	место в	7	1
296	но он	1	1
297	аналогии с	3	1
298	это то	1	1
299	ничто в	1	1
300	на природу	1	1
301	указать на	2	1
302	от этого	2	1
303	как таковой	6	1
304	на данный	1	1
305	если оно	1	1
306	иногда и	1	1
307	как таковое	2	1
308	к этим	1	1
309	сюжета или	1	1
310	и является	2	1
311	для всего	1	1
312	и развития	2	1
313	ее к	2	1
314	широкий круг	1	1
315	как такового	2	1
316	и чрезвычайно	1	1
317	а непосредственно	1	1
318	вовсе не	10	1
319	на ее	1	1
320	культуры как	1	1
321	образом не	1	1
322	ей в	1	1
323	таким образом	13	1
324	не по	3	1
325	обстоит дело	1	1
326	сих пор	6	1
327	с ним	2	1
328	нее как	1	1
329	облекается в	1	1
330	и во	1	1
331	быть только	1	1
332	общую теорию	1	1
333	оценки и	1	1
334	мы не	3	1
335	не так	2	1
336	образом на	2	1
337	друг от	2	1
338	до сих	6	1
339	в понимании	5	1
340	в смысле	1	1
341	человек не	3	1
342	в системе	2	1
343	или хотя	1	1
344	с другими	4	1
345	во всех	5	1
346	а на	1	1
347	и взаимодействия	1	1
348	тому чтобы	1	1
349	с начала	2	1
350	жизни на	1	1
351	в художественном	3	1
352	характерно для	1	1
353	от друга	2	1
354	и читатель	3	1
355	в их	11	1
356	определенной жанровой	1	1
357	и через	1	1
358	чего не	1	1
359	более того	3	1
360	и должна	2	1
361	следствием то	1	1
362	в это	1	1
363	как целого	1	1
364	осуществляется в	1	1
365	есть система	1	1
366	со всеми	3	1
367	однако эта	1	1
368	внутренней речи	1	1
369	в конкретной	1	1
370	в отрыве	1	1
371	одним словом	5	1
372	совсем не	1	1
373	и пр	17	1
374	этого построения	1	1
375	отношением к	1	1
376	его и	2	1
377	в году	2	1
378	глава первая	2	1
379	от тех	1	1
380	ничем не	3	1
381	как социальная	1	1
382	с историей	1	1
383	героя или	1	1
384	мира как	2	1
385	или же	3	1
386	мир не	1	1
387	этом смысле	1	1
388	один и	1	1
389	резко отличается	1	1
390	и сама	1	1
391	с этой	4	1
392	и анализа	2	1
393	а всякий	1	1
394	перемещается в	1	1
395	здесь в	2	1
396	того что	5	1
397	потому что	1	1
398	что смысл	1	1
399	а лишь	2	1
400	культуры в	1	1
401	мир в	1	1
402	мире и	1	1
403	особое место	1	1
404	может считаться	1	1
405	введенного в	1	1
406	неотделимо от	1	1
407	связи то	1	1
408	было не	1	1
409	на наш	1	1
410	произведение в	3	1
411	в первый	1	1
412	формы сами	1	1
413	предполагает как	1	1
414	глава вторая	2	1
415	тех или	1	1
416	из его	1	1
417	к изучению	1	1
418	вне ее	3	1
419	произведения в	8	1
420	в россии	3	1
421	как они	1	1
422	с природой	1	1
423	жизни не	2	1
424	слова а	1	1
425	такого подхода	1	1
426	на фоне	3	1
427	и более	2	1
428	какую бы	2	1
429	в современной	1	1
430	это бывает	1	1
431	а как	2	1
432	он может	1	1
433	настоящего времени	2	1
434	культуры с	2	1
435	на самом	7	1
436	свою силу	1	1
437	в последующих	1	1
438	они и	1	1
439	система смыслов	1	1
440	никто не	1	1
441	все время	2	1
442	в целом	6	1
443	что если	1	1
444	у нас	5	1
445	оно еще	1	1
446	к его	1	1
447	дело здесь	1	1
448	как формулирует	1	1
449	со сменой	1	1
450	лишь в	8	1
451	не входит	1	1
452	данного произведения	2	1
453	подхода к	2	1
454	на одном	1	1
455	и сами	1	1
456	и событие	1	1
457	что было	2	1
458	мы видели	2	1
459	именно как	12	1
460	своего предмета	1	1
461	в чем	1	1
462	понят и	1	1
463	но уже	1	1
464	и от	7	1
465	всех без	1	1
466	соотнесении с	1	1
467	к ней	2	1
468	от его	1	1
469	с которыми	1	1
470	х годов	1	1
471	не гарантирует	1	1
472	эта характеристика	1	1
473	не дает	2	1
474	всем миром	1	1
475	мы увидим	4	1
476	к своему	1	1
477	тот или	2	1
478	всю свою	2	1
479	начала и	2	1
480	эта особенность	1	1
481	нами два	1	1
482	в слове	1	1
483	лишь для	2	1
484	едва ли	1	1
485	элементы в	1	1
486	то по	1	1
487	как нам	1	1
488	для любого	1	1
489	гуманитарных наук	2	1
490	по поводу	1	1
491	с соответствующими	1	1
492	ни один	1	1
493	кругозор который	1	1
494	по своему	1	1
495	однако и	1	1
496	как от	1	1
497	в них	3	1
498	а о	1	1
499	не должен	1	1
500	и определяется	1	1
501	веры он	1	1
502	не понимает	1	1
503	слова в	1	1
504	в котором	1	1
505	мы уже	1	1
506	и тех	1	1
507	всем своем	1	1
508	от того	2	1
509	действительности и	3	1
510	не мешает	1	1
511	и действиях	1	1
512	также не	1	1
513	так сказать	3	1
514	несколько иная	1	1
515	в действительности	2	1
516	показаться что	1	1
517	в самом	5	1
518	таким же	2	1
519	пространства и	1	1
520	не утрачивая	1	1
521	что и	2	1
522	что как	1	1
523	не могут	1	1
524	как для	1	1
525	неоднократно и	1	1
526	в процессе	9	1
527	является для	2	1
528	литературы а	3	1
529	становления и	3	1
530	останется не	1	1
531	его из	1	1
532	в душах	1	1
533	в работах	1	1
534	должен был	1	1
535	на этом	1	1
536	с чисто	1	1
537	как у	1	1
538	лишь одной	1	1
539	последней в	2	1
540	в литературной	1	1
541	от других	1	1
542	непосредственного общения	1	1
543	мы и	1	1
544	к реальному	1	1
545	до последнего	1	1
546	событий или	1	1
547	быть и	4	1
548	в различных	2	1
549	оснований для	1	1
550	о себе	1	1
551	и осмысленного	1	1
552	только внешняя	1	1
553	также и	1	1
554	в общем	3	1
555	и к	4	1
556	искусства как	2	1
557	она сама	1	1
558	в состав	1	1
559	к конкретным	1	1
560	могло быть	1	1
561	с этого	1	1
562	может показаться	1	1
563	всего в	3	1
564	не подлежит	1	1
565	этой истории	1	1
566	и всю	1	1
567	и со	2	1
568	конкретных проблем	2	1
569	а от	1	1
570	этом не	1	1
571	в области	3	1
572	и есть	1	1
573	с такой	1	1
574	бы уже	1	1
575	своей природе	1	1
576	и может	4	1
577	и уже	1	1
578	своего исторического	1	1
579	второго рода	1	1
580	в самой	2	1
581	могло не	2	1
582	отличные от	1	1
583	проблем в	1	1
584	в понятие	1	1
585	не могла	2	1
586	по аналогии	3	1
587	как своего	1	1
588	их на	2	1
589	в структуру	2	1
590	ни на	3	1
591	если бы	4	1
592	и эта	1	1
593	этого жанра	1	1
594	возможно лишь	1	1
595	ни одного	2	1
596	от всего	1	1
597	как о	4	1
