N	2gram	Losev_Vlad_2	Istorich
1	и т	1	27
2	и в	30	26
3	т д	1	24
4	так же	4	18
5	то что	20	16
6	не только	12	15
7	может быть	7	14
8	что в	12	14
9	между двумя	1	12
10	но и	8	12
11	так и	5	10
12	таким образом	3	10
13	и его	6	10
14	что он	13	10
15	при помощи	1	10
16	все же	9	9
17	его в	4	9
18	что и	3	9
19	так как	5	9
20	и не	18	9
21	то же	4	8
22	мы знаем	4	8
23	а в	11	8
24	мы имеем	1	7
25	в этом	20	7
26	он не	4	7
27	об этом	6	7
28	как и	5	7
29	в этих	4	7
30	во время	1	7
31	их в	2	7
32	как в	3	7
33	что здесь	1	7
34	в качестве	1	7
35	и то	5	6
36	еще не	1	6
37	что они	1	6
38	как он	2	6
39	мы видели	2	6
40	в дальнейшем	5	6
41	к нему	2	6
42	потому что	9	6
43	а не	7	6
44	не может	9	6
45	вместе с	8	6
46	когда он	1	6
47	мы уже	2	5
48	то это	4	5
49	но не	3	5
50	и как	3	5
51	но в	8	5
52	уже не	3	5
53	и по	2	5
54	с собой	1	5
55	но все	2	5
56	и с	14	5
57	это не	2	5
58	к которым	1	5
59	не в	9	5
60	точно так	3	5
61	ничего не	2	5
62	как мы	11	5
63	и здесь	1	5
64	и что	5	5
65	в его	11	5
66	раньше чем	1	5
67	в одном	1	5
68	у него	19	5
69	тем что	1	5
70	до сих	1	5
71	и др	1	5
72	сих пор	1	5
73	мы должны	4	5
74	к этому	6	5
75	в которых	1	4
76	не просто	1	4
77	его на	3	4
78	в этот	1	4
79	он в	1	4
80	но он	3	4
81	три года	2	4
82	в своей	5	4
83	но эта	1	4
84	что этот	1	4
85	даже в	2	4
86	того как	2	4
87	же он	1	4
88	здесь не	4	4
89	так в	1	4
90	о том	4	4
91	и даже	10	4
92	прибавить что	1	4
93	вовсе не	4	4
94	а на	1	4
95	а по	1	4
96	в тех	1	4
97	например в	1	3
98	из трех	3	3
99	иногда он	1	3
100	что иное	1	3
101	из этих	3	3
102	только тогда	2	3
103	перед нами	1	3
104	его к	1	3
105	все эти	5	3
106	и и	1	3
107	на то	2	3
108	и если	4	3
109	на его	4	3
110	что она	1	3
111	при этом	5	3
112	становится его	1	3
113	с представлением	1	3
114	на земле	2	3
115	те же	3	3
116	должен был	3	3
117	не мог	8	3
118	том что	12	3
119	от своего	1	3
120	и при	2	3
121	как это	7	3
122	меня не	2	3
123	не имеет	2	3
124	на котором	2	3
125	на него	1	3
126	в русской	1	3
127	во всем	1	3
128	связи с	8	3
129	есть только	1	3
130	все еще	1	3
131	и он	4	3
132	она не	2	3
133	данном случае	2	3
134	большей частью	1	3
135	на вопрос	1	3
136	иное как	1	3
137	но мы	1	3
138	а также	10	3
139	представления о	1	3
140	в том	18	3
141	мы увидим	1	3
142	только в	6	3
143	как нечто	1	3
144	человека с	1	3
145	и других	1	3
146	а именно	6	3
147	не на	2	3
148	о чем	6	3
149	что мы	1	3
150	к своему	1	3
151	в данном	3	3
152	наряду с	2	3
153	как бы	5	3
154	по существу	3	3
155	этом случае	1	3
156	для нас	7	3
157	всякого рода	6	3
158	но это	4	3
159	же в	2	3
160	между ними	1	3
161	своего отца	1	3
162	не что	1	3
163	он всегда	1	3
164	к этой	2	3
165	и другие	1	3
166	мы здесь	1	2
167	и есть	2	2
168	и за	1	2
169	по его	1	2
170	а как	1	2
171	пока только	1	2
172	ему в	2	2
173	при жизни	2	2
174	тех же	1	2
175	к ним	1	2
176	отношение к	4	2
177	тут же	2	2
178	в этой	4	2
179	заставить его	1	2
180	почему и	2	2
181	с этим	5	2
182	в своем	8	2
183	этой стороны	1	2
184	хотя и	6	2
185	конечно не	4	2
186	что это	4	2
187	в целом	4	2
188	тут и	1	2
189	право на	1	2
190	еще один	2	2
191	в себе	6	2
192	в нем	4	2
193	же это	2	2
194	не к	1	2
195	содержит в	4	2
196	его от	1	2
197	на этом	2	2
198	так например	1	2
199	здесь мы	3	2
200	главным образом	1	2
201	связанных с	1	2
202	лишь в	1	2
203	хотя бы	3	2
204	было бы	9	2
205	в свой	1	2
206	из них	1	2
207	и тем	1	2
208	он же	2	2
209	этого не	2	2
210	с тем	2	2
211	которой он	2	2
212	здесь можно	2	2
213	можно считать	1	2
214	и их	1	2
215	при изучении	1	2
216	можно найти	1	2
217	попасть в	1	2
218	бы мы	1	2
219	что я	3	2
220	выше мы	1	2
221	превращения в	1	2
222	тем не	6	2
223	все это	5	2
224	однако в	2	2
225	мы пока	2	2
226	по себе	5	2
227	случае мы	1	2
228	не менее	7	2
229	чтобы иметь	1	2
230	дело не	1	2
231	к этим	2	2
232	представлением о	1	2
233	не могло	1	2
234	это мы	5	2
235	в области	3	2
236	от того	1	2
237	у нас	6	2
238	к отдельным	1	2
239	не могут	1	2
240	во все	1	2
241	на могилу	1	2
242	не есть	4	2
243	совершенно ясно	1	2
244	на том	1	2
245	никогда не	7	2
246	том как	1	2
247	и на	4	2
248	если бы	1	2
249	мы читаем	4	2
250	таков например	1	2
251	другими словами	5	2
252	после того	2	2
253	и во	2	2
254	того что	5	2
255	в современной	1	2
256	он стал	1	2
257	меня и	2	2
258	себя в	2	2
259	так что	5	2
260	уже в	3	2
261	чтобы он	1	2
262	в виде	3	2
263	его и	2	2
264	ни в	7	2
265	представлений о	1	2
266	с этими	1	2
267	только с	1	2
268	даже и	3	2
269	земле в	1	2
270	возможно что	2	2
271	которое однако	1	2
272	на этот	4	2
273	ниже в	1	2
274	со мной	1	2
275	очень интересно	1	2
276	его как	1	2
277	два года	1	2
278	в частности	2	2
279	он уже	5	2
280	мы опять	1	2
281	он говорит	1	2
282	и вот	3	2
283	такого рода	2	2
284	с этой	4	2
285	есть и	2	2
286	на ногах	1	2
287	между прочим	7	2
288	но для	1	2
289	в связи	8	2
290	от него	1	2
291	и все	7	2
292	в лице	1	2
293	врагов и	1	2
294	этот вопрос	1	2
295	сказать что	11	2
296	говоря о	3	1
297	обращается в	1	1
298	увидим ниже	2	1
299	эти мотивы	1	1
300	смерть в	1	1
301	из его	2	1
302	что эти	2	1
303	к нашим	2	1
304	был и	3	1
305	той же	4	1
306	есть не	1	1
307	отсюда видно	1	1
308	более ранней	1	1
309	мы не	2	1
310	что между	1	1
311	что если	2	1
312	ответить на	1	1
313	полагать что	1	1
314	он как	1	1
315	есть нечто	2	1
316	время как	2	1
317	но она	1	1
318	не вполне	2	1
319	орудия и	1	1
320	но даже	1	1
321	есть второй	1	1
322	в ней	4	1
323	и самого	1	1
324	он был	6	1
325	он сам	2	1
326	в отдельные	1	1
