N	3gram	Vinokur_St_1	UchenyiS
1	не может быть	5	4
2	с другой стороны	6	3
3	то же время	4	3
4	бы то ни	1	3
5	в то же	4	3
6	в этой области	5	3
7	а между тем	1	2
8	очевидно не может	1	2
9	в самом деле	5	2
10	но даже и	1	2
11	в этом смысле	1	2
12	до сих пор	7	2
13	хотя бы и	2	2
14	в этом отношении	7	2
15	в том что	17	2
16	по крайней мере	2	2
17	и то что	2	2
18	в конце концов	1	2
19	у пушкина но	2	1
20	для него не	1	1
21	так или иначе	2	1
22	не в том	2	1
23	по меньшей мере	3	1
24	в этом случае	2	1
25	никогда и не	1	1
26	и в то	1	1
27	в той же	2	1
28	же время не	1	1
29	в первую очередь	2	1
30	несомненно и то	1	1
31	и у пушкина	1	1
32	но это не	1	1
33	могут быть оправданы	1	1
34	на то что	4	1
35	то что было	1	1
36	быть не может	1	1
37	не все в	1	1
38	если бы это	1	1
39	в данном случае	6	1
40	но в то	2	1
41	не только в	4	1
42	с одной стороны	2	1
