N	2gram	Voloshinov_1	Sovremen
1	таким образом	9	8
2	в этом	9	5
3	не может	8	5
4	мы можем	9	4
5	и наконец	4	4
6	мы не	2	4
7	как бы	5	4
8	все эти	5	3
9	и мы	2	3
10	на две	3	3
11	не можем	2	3
12	зависимости от	1	3
13	в развитии	2	3
14	органической жизни	1	3
15	с помощью	2	3
16	друг с	1	2
17	из этих	2	2
18	а на	2	2
19	как известно	1	2
20	у нас	1	2
21	на этом	3	2
22	в одном	3	2
23	все же	1	2
24	и в	16	2
25	через некоторое	1	2
26	но в	4	2
27	мы должны	1	2
28	этих двух	1	2
29	что же	1	2
30	на этот	1	2
31	все это	4	2
32	с другом	1	2
33	на этой	3	2
34	по мнению	1	2
35	тот же	1	2
36	если мы	2	2
37	и все	4	2
38	прежде всего	9	2
39	в стадии	1	2
40	не только	7	2
41	точки зрения	8	2
42	то же	2	2
43	некоторое время	1	2
44	с одной	1	2
45	при этом	6	2
46	мы видим	2	2
47	зародыша в	1	2
48	и не	4	1
49	как мы	4	1
50	все время	1	1
51	не дает	1	1
52	это и	1	1
53	это маленькое	1	1
54	он не	2	1
55	наконец мы	1	1
56	форму и	1	1
57	помним что	1	1
58	и они	1	1
59	роль в	1	1
60	их в	3	1
61	а в	3	1
62	по его	1	1
63	в своих	1	1
64	как он	1	1
65	со всеми	2	1
66	потом и	1	1
67	на другую	1	1
68	другую и	1	1
69	в нашем	1	1
70	в которую	1	1
71	дело в	1	1
72	за шагом	1	1
73	с другой	1	1
74	в другом	1	1
75	и т.п	2	1
76	можно назвать	2	1
77	мы снова	1	1
78	как и	2	1
79	она не	1	1
80	еще не	5	1
81	отметить что	1	1
82	может совершенно	1	1
83	шаг за	1	1
84	можем сказать	2	1
85	жизни и	3	1
86	еще более	1	1
87	о том	2	1
88	пока не	1	1
89	того же	2	1
90	один из	2	1
91	на друга	2	1
92	их на	1	1
93	с совершенно	1	1
94	и потому	3	1
95	же в	1	1
96	ничего не	1	1
97	между собой	2	1
98	так же	2	1
99	так называемое	1	1
100	для нас	2	1
101	что в	3	1
102	в один	4	1
103	на это	1	1
104	в течение	1	1
105	почти совершенно	2	1
106	а не	1	1
107	так называемый	2	1
108	это делает	2	1
109	на них	2	1
110	совершенно так	1	1
111	той же	1	1
112	между ними	3	1
113	может быть	17	1
114	что при	1	1
115	а потом	1	1
116	и действительно	2	1
117	для объяснения	1	1
118	мы имеем	1	1
119	на другой	1	1
120	она может	1	1
121	ищет для	1	1
122	в том	3	1
123	не будем	1	1
124	и т.д	1	1
125	основной вопрос	1	1
126	же мы	1	1
127	его мнению	1	1
128	из одного	1	1
129	свой основной	1	1
130	виде мы	1	1
131	это уже	1	1
132	уже в	1	1
133	конечно не	6	1
134	теперь мы	1	1
135	одной стороны	1	1
136	друг на	2	1
137	одна из	1	1
138	и даже	4	1
139	в этой	4	1
140	но это	2	1
141	так как	4	1
142	у него	2	1
143	прикрепляется к	1	1
144	что это	2	1
145	же как	2	1
146	не подлежит	1	1
147	в нем	4	1
148	уже совершенно	1	1
149	достаточно для	1	1
150	только одна	1	1
151	и к	6	1
152	же самое	1	1
153	и всегда	1	1
154	дает нам	1	1
155	и по	2	1
156	только из	1	1
157	в конце	1	1
158	они не	2	1
159	в свою	1	1
160	жизни мы	1	1
161	том что	3	1
162	не могут	2	1
163	органических процессов	1	1
164	и снова	1	1
