N	3gram	Tiupa_Disk_2	formyVre
1	с точки зрения	2	8
2	в этом мире	2	6
3	то же время	5	4
4	в то же	4	4
5	к себе самому	1	3
6	в том числе	1	3
7	и в то	1	3
8	между вещами и	1	3
9	и прежде всего	2	3
10	в большинстве случаев	1	3
11	в том что	6	3
12	в другом месте	1	2
13	прежде всего в	1	2
14	равно как и	1	2
15	в этом случае	2	2
16	друг на друга	1	2
17	том числе и	1	2
18	в этом отношении	4	2
19	друг от друга	1	2
20	жизни но и	1	1
21	и того же	2	1
22	в чем не	1	1
23	в той или	1	1
24	другой стороны в	1	1
25	картина мира полемически	1	1
26	зоне контакта с	1	1
27	в зоне контакта	1	1
28	но в той	1	1
29	в отличие от	12	1
30	жизни и смерти	1	1
31	но в данном	2	1
32	между тем как	1	1
33	то что в	1	1
34	но в этом	1	1
35	по аналогии с	1	1
36	первый взгляд может	1	1
37	в частности на	1	1
38	замкнутых в себе	1	1
39	одно и то	2	1
40	как и в	5	1
41	в данном случае	6	1
42	бытия в его	1	1
43	с одной стороны	4	1
44	и в большинстве	1	1
45	на первый взгляд	2	1
46	можно говорить о	1	1
47	в себя и	1	1
48	так и на	2	1
49	и то же	2	1
50	а также и	1	1
51	но при этом	2	1
52	каждый из них	1	1
53	но здесь это	1	1
54	с другой стороны	1	1
55	не может быть	3	1
56	в себе самом	1	1
57	ни в чем	1	1
58	человеческой жизни в	1	1
59	и как бы	2	1
60	то есть в	1	1
61	данном случае мы	1	1
62	о том что	3	1
63	в одном из	1	1
64	с самого начала	1	1
65	можно сказать что	1	1
66	существенную роль в	1	1
67	одного и того	2	1
68	здесь в этом	1	1
69	той или иной	3	1
