N	2gram	Bakhtin_sl_2	Problema
1	то есть	26	46
2	в его	7	43
3	и не	22	42
4	и в	39	38
5	и проч	2	28
6	не может	20	27
7	может быть	37	26
8	как бы	7	22
9	по отношению	4	21
10	отнюдь не	1	19
11	отношению к	4	19
12	и с	9	17
13	и его	33	16
14	в этом	16	15
15	в нем	19	15
16	и т	35	14
17	только в	5	13
18	т п	33	13
19	прежде всего	8	13
20	независимо от	2	13
21	но не	6	12
22	за пределы	2	12
23	к материалу	2	11
24	во всех	12	11
25	в области	2	11
26	ни в	4	11
27	и для	5	11
28	отношение к	4	10
29	таким образом	8	10
30	в их	2	10
31	материала в	2	10
32	к нему	3	10
33	не только	24	9
34	в поэзии	2	9
35	его в	4	9
36	имеет дело	2	9
37	но и	21	9
38	и как	3	8
39	входит в	4	8
40	точки зрения	8	8
41	место в	1	8
42	для нее	1	8
43	в том	5	8
44	и др	4	8
45	то что	2	8
46	еще не	7	7
47	в самом	1	7
48	вообще не	1	7
49	в плане	5	7
50	как и	6	7
51	и становится	1	7
52	не в	9	7
53	как мы	7	7
54	с другой	5	7
55	между тем	3	7
56	отметить что	3	7
57	слова в	13	7
58	с помощью	4	7
59	в своей	1	7
60	что в	3	7
61	отношения к	4	6
62	этический момент	1	6
63	там где	6	6
64	и наконец	5	6
65	в пределах	13	6
66	не всегда	2	6
67	с точки	3	6
68	и этим	1	6
69	ничего не	1	6
70	дело с	4	6
71	есть чисто	1	6
72	мы можем	1	6
73	все же	6	6
74	а в	4	6
75	только как	1	6
76	себя как	1	5
77	тем как	1	5
78	отличие от	13	5
79	в своем	6	5
80	все эти	6	5
81	объекта в	1	5
82	к единству	1	5
83	при этом	7	5
84	то же	4	5
85	это не	5	5
86	в них	6	5
87	рядом с	3	5
88	далеко не	2	5
89	в отличие	12	5
90	так и	15	5
91	произведения в	1	5
92	форму в	1	5
93	его целом	1	5
94	в основе	4	5
95	и о	1	5
96	никогда не	7	5
97	не нужно	1	5
98	с ним	7	5
99	может иметь	3	5
100	конечно не	5	5
101	большинстве случаев	5	5
102	дело и	1	5
103	в большинстве	6	5
104	не на	1	5
105	а не	14	5
106	со словом	5	5
107	могут быть	7	5
108	быть только	1	5
109	должно быть	1	5
110	все они	2	5
111	должна быть	3	4
112	конечно и	2	4
113	в виду	1	4
114	в ней	3	4
115	как вещь	2	4
116	но конечно	1	4
117	не входят	2	4
118	как в	13	4
119	но в	6	4
120	к художественному	1	4
121	в нашем	2	4
122	в себе	2	4
123	в данном	2	4
124	с миром	1	4
125	не менее	4	4
126	о значении	1	4
127	в то	4	4
128	чтобы стать	1	4
129	известной степени	2	4
130	здесь не	4	4
131	не с	3	4
132	о том	2	4
133	которых мы	2	4
134	своим предметом	2	4
135	с ними	5	4
136	композиционная форма	1	4
137	всех его	3	4
138	в других	1	4
139	в форме	2	4
140	и только	1	4
141	что не	1	4
142	в романе	46	4
143	более того	2	4
144	материал в	3	4
145	и потому	7	4
146	в более	2	4
147	себя самого	1	4
148	хотя бы	3	4
149	вне себя	2	4
150	может и	2	4
151	сказать что	3	4
152	другой стороны	1	4
153	также и	2	3
