N	3gram	Propp_Morf_1	Komedia
1	в том что	3	9
2	в то время	3	5
3	с другой стороны	4	5
4	том что он	1	4
5	то время как	3	4
6	и т д	39	4
7	по отношению к	4	3
8	в этом отношении	1	3
9	после того как	1	3
10	с одной стороны	1	3
11	о том что	1	3
12	до сих пор	1	2
13	как и в	2	2
14	то ни было	2	2
15	бы то ни	3	2
16	во всяком случае	2	2
17	и таким образом	2	2
18	в тех же	4	2
19	на то что	2	2
20	к этому же	1	1
21	к земле и	1	1
22	в подземное царство	1	1
23	хотя и не	1	1
24	что под этим	1	1
25	что же касается	1	1
26	но и она	1	1
27	состоит в том	2	1
28	более или менее	2	1
29	и даже не	1	1
30	подобно тому как	5	1
31	он может быть	2	1
32	вообще один из	1	1
33	может быть объяснена	1	1
34	же в этих	1	1
35	в обоих случаях	2	1
36	независимо от того	3	1
37	так мы получаем	1	1
38	с этим и	1	1
39	между тем не	1	1
40	с такой же	1	1
41	одна из них	1	1
42	с тех пор	1	1
43	в коем случае	1	1
44	в данном случае	1	1
45	к заключению что	1	1
46	в высшей степени	1	1
47	в мгновение ока	1	1
48	в чем же	1	1
49	обстоит дело с	1	1
50	непосредственно или в	1	1
51	в одном случае	1	1
52	для этой цели	1	1
53	из них не	1	1
54	а в другом	1	1
55	но это еще	1	1
56	бросается в глаза	1	1
57	до наших дней	2	1
58	в тех случаях	2	1
59	т д все	1	1
60	один из любимейших	1	1
61	не означает что	1	1
62	некоторый свет на	1	1
63	и независимо от	1	1
64	с самого начала	1	1
65	ни в коем	1	1
66	ни одной из	1	1
67	по одному из	1	1
68	которые могут быть	1	1
69	тех случаях когда	2	1
70	в другом случае	1	1
71	в большинстве случаев	3	1
72	бы только один	1	1
73	к тому что	3	1
74	тем не менее	4	1
75	или вовсе не	1	1
76	для того чтобы	2	1
77	его т е	1	1
