N	3gram	Savitsky_E_1	Hudozhes
1	в отличие от	1	7
2	не сводится к	1	6
3	то же время	14	6
4	в то же	15	6
5	более или менее	1	5
6	с другой стороны	2	5
7	той или иной	4	5
8	в том что	6	5
9	и того же	1	3
10	с точки зрения	16	3
11	одного и того	1	3
12	того или иного	4	3
13	можно сказать что	3	3
14	в этом смысле	3	3
15	и некоторые иные	1	2
16	в этом мире	1	2
17	в той или	3	2
18	и в то	8	2
19	в противном случае	1	2
20	в значительной степени	1	2
21	с одной стороны	8	2
22	в свою очередь	2	2
23	для того чтобы	5	2
24	том числе и	1	2
25	в том числе	1	2
26	к тому что	1	2
27	и прежде всего	3	2
28	прежде всего в	2	1
29	он мог бы	1	1
30	существенное значение в	1	1
31	в одной из	1	1
32	а тем более	2	1
33	том случае если	1	1
34	также и по	1	1
35	бы то ни	4	1
36	из того что	2	1
37	заключает в себе	3	1
38	с этой точки	5	1
39	то или иное	1	1
40	в том случае	1	1
41	может быть и	1	1
42	то что может	1	1
43	как это случается	1	1
44	то ни было	4	1
45	и не быть	1	1
46	не более чем	2	1
47	принадлежат к числу	1	1
48	в известном смысле	3	1
49	по большей части	1	1
50	не могут быть	1	1
51	бы и на	1	1
52	в связи с	1	1
53	их отношении к	3	1
54	та или иная	1	1
55	так же как	5	1
56	в то время	1	1
57	в частности в	2	1
58	прежде всего к	2	1
59	то есть в	1	1
60	этой точки зрения	5	1
61	и тем самым	1	1
62	и тем более	1	1
63	именно потому что	1	1
64	речь идет о	1	1
65	ту или иную	3	1
66	друг от друга	2	1
67	тех или иных	1	1
68	в отношении к	12	1
69	в соответствии с	1	1
70	в себе в	1	1
71	не может быть	2	1
72	в полной мере	1	1
73	в их отношении	3	1
74	к тому же	1	1
75	в другой своей	1	1
