N	2gram	Tiupa_Lite_1	VelikijI
1	во имя	2	32
2	и не	12	20
3	и в	8	16
4	так как	1	9
5	то что	10	9
6	еще не	4	8
7	что они	1	7
8	а не	16	7
9	человека и	2	6
10	не есть	2	6
11	на себя	2	5
12	но и	17	5
13	того что	6	5
14	религиозного сознания	1	5
15	в мире	2	5
16	что есть	1	5
17	как бы	7	5
18	и есть	3	4
19	говорить о	1	4
20	во мне	2	4
21	в его	7	4
22	к личности	1	4
23	и я	6	4
24	в этом	12	4
25	что он	5	4
26	потому что	3	4
27	в нем	2	4
28	так и	4	4
29	что не	2	4
30	как и	6	4
31	смысла жизни	1	4
32	в котором	1	4
33	в силах	1	4
34	и все	1	4
35	это еще	1	4
36	все что	1	4
37	и что	1	3
38	должна быть	2	3
39	хотя бы	2	3
40	то это	2	3
41	лишь в	4	3
42	в чем	1	3
43	с его	5	3
44	во всех	1	3
45	что и	1	3
46	и будет	1	3
47	в том	16	3
48	тот же	1	3
49	но в	3	3
50	по этому	2	3
51	все эти	2	3
52	за ним	1	3
53	от которого	1	3
54	в конце	4	3
55	имя свободы	1	3
56	в своей	4	3
57	и мы	1	3
58	в жизни	6	3
59	в них	1	3
60	не было	3	3
61	должно быть	1	3
62	если не	1	3
63	в этих	1	3
64	нет ничего	2	3
65	что я	2	3
66	не в	8	3
67	человечества и	1	3
68	не имеет	1	3
69	никогда не	4	3
70	свободы от	3	3
71	превращается в	2	3
72	к тому	2	3
73	жизни и	3	3
74	что в	3	3
75	людей в	1	3
76	и то	2	2
77	во главе	1	2
78	по которым	1	2
79	это мы	1	2
80	и сам	6	2
81	можно было	2	2
82	и за	1	2
83	мы не	1	2
84	что от	1	2
85	и новые	1	2
86	освобождения от	2	2
87	и во	1	2
88	между тем	2	2
89	вслед за	1	2
90	на нас	1	2
91	духа и	1	2
92	только в	8	2
93	в себя	2	2
94	уже не	7	2
95	не только	24	2
96	все тот	1	2
97	не так	1	2
98	для него	2	2
99	не к	2	2
100	не могли	1	2
101	тем что	2	2
102	на том	2	2
103	ценности и	1	2
104	это не	4	2
105	а с	1	2
106	прежде всего	11	2
107	для них	2	2
108	с тем	1	2
109	сознания от	3	2
110	один из	3	2
111	мира в	3	2
112	более чем	3	2
113	я говорю	1	2
114	этому пути	1	2
115	мир и	2	2
116	самого себя	3	2
117	да и	3	2
118	с тобой	1	2
119	одна из	3	2
120	уже на	1	2
121	том что	14	2
122	тот кто	1	2
123	а к	1	2
124	для нас	1	2
125	от него	1	2
126	а в	3	2
127	но не	4	2
128	могут быть	2	2
129	всего в	3	2
130	во всяком	3	2
131	если б	1	1
132	кто бы	1	1
133	как мы	1	1
134	быть может	1	1
135	в виду	3	1
136	для себя	5	1
137	в ее	1	1
138	сам великий	1	1
139	в словах	1	1
140	и говорит	1	1
141	роль в	2	1
142	свое место	1	1
143	значение в	1	1
144	то же	5	1
145	на путь	1	1
146	от всякой	2	1
147	вопрос о	1	1
148	самой жизни	1	1
149	не была	1	1
150	но может	1	1
151	никогда и	1	1
152	я не	7	1
153	реакция на	2	1
154	не был	1	1
155	зависимости от	1	1
156	превращает в	1	1
157	как сам	1	1
158	в их	3	1
159	и на	1	1
160	он был	1	1
161	и который	1	1
162	бы то	1	1
163	отказ от	7	1
164	своей абсолютной	1	1
165	других людей	1	1
166	жизни с	2	1
167	все в	1	1
168	к нему	1	1
169	тебя так	1	1
170	но как	1	1
171	ее от	1	1
172	от них	1	1
173	сознания не	1	1
174	а потому	2	1
175	смертью и	1	1
176	тогда как	13	1
177	не просто	1	1
178	крайней мере	1	1
179	погибнет а	1	1
180	существует как	1	1
181	его на	1	1
182	как в	5	1
183	и пусть	1	1
184	это ни	1	1
185	в своем	11	1
186	я был	1	1
187	все же	4	1
188	себя с	1	1
189	могли бы	1	1
190	которой жизнь	1	1
191	демоническое самоутверждение	1	1
192	со своей	1	1
193	в самом	3	1
194	у них	1	1
195	в которой	1	1
196	любовь есть	1	1
197	бы ни	1	1
198	в целом	8	1
199	их не	2	1
200	для самоутверждения	1	1
201	в этой	4	1
202	же и	3	1
203	вот в	1	1
204	я в	5	1
205	уже в	5	1
206	то и	2	1
207	в виде	1	1
208	и если	1	1
209	не личное	1	1
210	по словам	1	1
211	и внешнее	1	1
212	чего бы	1	1
213	перестает быть	4	1
214	разрыва и	1	1
215	человеческого духа	2	1
216	в понимании	1	1
217	и осмысленной	1	1
218	его если	1	1
219	и вот	1	1
220	вовсе не	1	1
221	не для	1	1
222	себя от	1	1
223	отношение к	1	1
224	нашего времени	2	1
225	у него	3	1
226	не случайно	2	1
227	и по	1	1
228	на этом	2	1
229	человека в	1	1
230	же пути	1	1
231	на нее	1	1
232	бы это	1	1
233	то ни	1	1
234	в состоянии	1	1
235	любит и	1	1
236	помыслить о	1	1
237	и с	1	1
238	с другой	3	1
239	истина и	1	1
240	хоть и	1	1
241	его личности	1	1
242	есть не	1	1
243	в глазах	1	1
244	еще и	3	1
245	бытия в	1	1
246	и тем	4	1
247	нового времени	2	1
248	не всегда	1	1
249	и уже	1	1
250	между собою	1	1
251	жизни но	1	1
252	которым это	1	1
253	в бытии	1	1
254	в пустоту	1	1
255	места в	1	1
256	него в	1	1
257	вместе с	1	1
258	как это	8	1
259	то есть	6	1
260	есть такое	1	1
261	мы в	2	1
262	быть от	1	1
263	последней своей	1	1
264	в которых	1	1
265	он говорит	1	1
266	если оно	2	1
267	с такой	1	1
268	ведет к	4	1
269	в одном	1	1
270	почему мы	1	1
271	бунт против	1	1
272	в мир	1	1
273	по крайней	1	1
274	поскольку он	2	1
275	абсолютная истина	1	1
276	освободиться от	2	1
277	с этой	5	1
278	раз и	2	1
279	и нет	2	1
280	общественной жизни	1	1
281	другом но	1	1
282	ничего кроме	2	1
283	на котором	1	1
284	со свободой	1	1
285	боролся с	1	1
286	есть путь	1	1
287	и от	1	1
288	в день	1	1
289	карамазова и	1	1
290	и вечному	2	1
291	и всегда	1	1
292	на тайне	1	1
293	это как	2	1
294	которая в	2	1
295	жизни не	2	1
296	может быть	13	1
297	в третьем	1	1
298	в новых	1	1
299	на него	1	1
300	сознания так	1	1
301	в сознании	2	1
302	к жизни	1	1
303	уже и	1	1
304	жизни в	1	1
305	может и	1	1
306	о своем	2	1
307	другой стороны	1	1
308	свободы а	1	1
309	но все	1	1
310	в трех	1	1
311	к этому	1	1
312	и развитием	1	1
313	личность не	2	1
314	в искусстве	2	1
315	в своих	4	1
316	есть свобода	1	1
317	в противоположность	1	1
318	отказаться от	1	1
319	себя и	1	1
320	она не	1	1
321	в роли	1	1
322	они не	1	1
