N	3gram	Bakhtin_Pr_5	slovoVRo
1	не может быть	3	15
2	и его слово	1	14
3	в отличие от	2	12
4	с чужим словом	1	10
5	в пределах одного	5	7
6	в этом случае	1	6
7	в значительной степени	1	6
8	к своему предмету	1	5
9	той или иной	4	5
10	в большинстве случаев	2	5
11	по отношению к	6	4
12	то же время	10	4
13	но все же	2	4
14	в то же	10	4
15	в отношении к	7	4
16	в том что	2	4
17	в той или	4	3
18	с точки зрения	2	3
19	сама по себе	1	3
20	в этом отношении	1	3
21	или иной степени	2	3
22	но в то	4	3
23	можно прямо сказать	1	3
24	так и в	2	3
25	несколько слов о	1	2
26	в чем не	1	2
27	а вовсе не	1	2
28	в свою очередь	1	2
29	и наконец в	2	2
30	и в особенности	1	2
31	до сих пор	1	2
32	в диалогах и	1	2
33	у него нет	1	2
34	может быть и	1	2
35	как мы сказали	1	2
36	так и для	1	2
37	во всяком случае	4	2
38	со своим словом	1	2
39	ни в чем	1	2
40	как мы уже	2	2
41	для того чтобы	1	2
42	он знает что	1	1
43	как к своему	1	1
44	в нем происходит	1	1
45	не может ни	1	1
46	и не в	2	1
47	время от времени	1	1
48	от него и	1	1
49	в чем же	1	1
50	в одном слове	1	1
51	то есть не	1	1
52	его слово конечно	1	1
53	влияния чужого слова	1	1
54	том что он	1	1
55	уже не в	1	1
56	чужого слова его	1	1
57	и говорит и	1	1
58	и в то	2	1
59	то есть именно	1	1
60	и ни в	1	1
61	с ним мы	1	1
62	чужого слова как	1	1
63	а лишь в	1	1
64	предметом изображения в	1	1
65	и не может	2	1
66	рано или поздно	1	1
67	со всех сторон	1	1
68	чужое слово и	1	1
69	точки зрения на	1	1
70	может и не	1	1
71	чужого слова с	1	1
72	себя среди других	1	1
73	для него самого	1	1
74	поэтому диалог в	1	1
75	со всею ясностью	1	1
76	отношении к нему	1	1
77	в один из	1	1
78	все это и	1	1
79	что он не	1	1
80	в себе как	1	1
81	и его слову	1	1
82	таким образом на	1	1
83	во всех существенных	1	1
84	настолько велико что	1	1
85	как и слово	1	1
86	всяком случае не	1	1
87	все более и	1	1
88	с ним и	1	1
89	общения с ним	1	1
90	в нем не	1	1
91	имеет громадное значение	1	1
92	мы уже говорили	5	1
93	в этом направлении	1	1
94	правда и в	1	1
95	а не в	1	1
96	с другой стороны	3	1
97	может быть органически	1	1
98	в нем есть	1	1
99	мы видели что	1	1
100	героя и может	1	1
101	слово в них	1	1
102	тем не менее	1	1
103	этим и определяется	1	1
104	по ту сторону	1	1
105	о том что	1	1
106	друг к другу	3	1
107	себя и для	1	1
108	между этими двумя	1	1
109	в нем нет	1	1
110	вообще не знает	1	1
111	большей или меньшей	1	1
112	он как мы	1	1
113	как и в	1	1
114	до конца и	1	1
115	в романе является	1	1
116	на протяжении всего	4	1
117	мы можем сказать	2	1
118	к нему и	4	1
119	с самого начала	8	1
120	не только не	1	1
121	и в идеологическом	1	1
122	более и более	1	1
123	для правильного понимания	1	1
124	но в этом	1	1
125	для этого необходимо	2	1
126	не может и	1	1
127	ним мы еще	1	1
128	это как бы	1	1
129	в его целом	2	1
130	в романах достоевского	4	1
131	к самому говорящему	2	1
132	слово героя и	2	1
133	и в нем	3	1
134	романе как мы	1	1
135	героя и его	2	1
136	в них не	1	1
137	точки зрения другого	1	1
138	слова в отношении	2	1
139	мы увидим что	2	1
140	как мы видели	1	1
141	мы еще не	1	1
