N	2gram	Vygotskiy__3	Retstnzi
1	не может	6	4
2	и в	25	3
3	один из	6	2
4	если в	3	2
5	общения и	1	2
6	деятельности в	1	1
7	лежащие в	1	1
8	и не	10	1
9	тому что	2	1
10	не только	6	1
11	ни один	4	1
12	и тому	1	1
13	связи с	9	1
14	этой проблемы	2	1
15	самых первых	1	1
16	точки зрения	6	1
17	так называемая	4	1
18	но и	4	1
19	не менее	6	1
20	с другими	2	1
21	тех же	1	1
22	именно с	1	1
23	теми или	2	1
24	в ней	1	1
25	с теми	2	1
26	в то	4	1
27	с точки	1	1
28	и форму	1	1
29	этих методов	1	1
30	и на	6	1
31	для него	5	1
32	в конкретном	1	1
33	мы видим	3	1
34	может не	1	1
35	его основе	3	1
36	эта вторая	1	1
37	к тому	4	1
38	речь и	4	1
39	а не	1	1
40	может быть	13	1
41	при анализе	1	1
42	несмотря на	1	1
43	в его	15	1
44	с самых	1	1
45	он в	1	1
46	или иными	2	1
47	без учета	1	1
48	соприкосновение и	1	1
49	то же	2	1
50	и все	4	1
51	из этих	4	1
52	если бы	5	1
53	бы в	2	1
