N	2gram	Tiupa_Hudo_2	VeschiIm
1	т е	2	42
2	не может	4	33
3	не только	11	31
4	может быть	8	29
5	и не	18	28
6	и в	28	26
7	то что	6	24
8	и т	4	21
9	т д	2	20
10	а не	14	20
11	не просто	1	18
12	есть только	1	17
13	что я	2	16
14	что она	7	14
15	только в	4	14
16	по себе	1	13
17	и что	1	13
18	того что	1	13
19	и то	2	12
20	все же	2	12
21	в себя	1	12
22	что это	5	12
23	было бы	3	12
24	и ее	3	12
25	но и	9	12
26	сказать что	2	12
27	с нею	3	11
28	что же	2	11
29	то же	6	10
30	в ней	3	10
31	как бы	5	10
32	потому что	2	10
33	уже не	10	10
34	бы то	1	9
35	в самом	5	9
36	то ни	1	9
37	и с	6	9
38	в том	15	9
39	что не	2	9
40	еще и	2	9
41	прежде всего	3	9
42	с ее	5	8
43	в себе	9	8
44	и это	3	8
45	ничего не	5	8
46	себя и	2	8
47	но это	1	8
48	также и	1	7
49	говорить о	2	7
50	в этом	13	7
51	не будет	2	7
52	его в	2	7
53	с другими	3	7
54	том что	19	7
55	в то	6	7
56	со своим	3	7
57	себя в	8	7
58	так как	1	7
59	как раз	4	7
60	совершенно не	1	7
61	есть и	3	7
62	с собою	1	6
63	со стороны	3	6
64	что они	4	6
65	но в	2	6
66	бы и	4	6
67	точки зрения	2	6
68	с ним	7	6
69	она не	5	6
70	отличается от	1	6
71	можно было	3	6
72	и только	2	6
73	а если	1	6
74	так что	1	6
75	ни с	2	6
76	для него	5	6
77	то не	1	6
78	когда мы	1	6
79	быть только	1	6
80	жизни и	6	6
81	что в	5	6
82	это и	1	5
83	в сущности	1	5
84	на себя	3	5
85	но не	4	5
86	отнюдь не	2	5
87	чем же	1	5
88	как к	1	5
89	же это	1	5
90	содержит в	1	5
91	это не	6	5
92	не в	13	5
93	тем не	4	5
94	не менее	5	5
95	одна из	2	5
96	имени и	1	5
97	для себя	6	5
98	в ее	18	5
99	если бы	6	5
100	себя с	2	5
101	еще не	3	5
102	звук и	1	5
103	ни на	1	5
104	с этой	1	5
105	и для	2	5
106	из себя	1	5
107	а в	6	5
108	мы не	1	4
109	я не	7	4
110	имя и	1	4
111	во всех	1	4
112	точка зрения	1	4
113	нет и	1	4
114	независимо от	1	4
115	в своем	5	4
116	с чем	1	4
117	тут не	1	4
118	же не	2	4
119	не предполагает	1	4
120	как и	11	4
121	с точки	2	4
122	и более	1	4
123	на себе	1	4
124	же время	4	4
125	и о	4	4
126	то или	1	4
127	смысле и	1	4
128	о том	12	4
129	с другой	3	4
130	что и	4	4
131	быть и	1	4
132	оно и	1	4
133	то и	4	4
134	из них	2	4
135	тем что	6	4
136	и даже	1	4
137	как же	2	4
138	и потому	1	4
139	в данном	2	4
140	как только	3	4
141	не существует	1	4
142	и все	7	4
143	от того	1	4
144	от ее	1	4
145	между ними	2	4
146	оно не	2	4
147	самом деле	3	3
148	к другому	1	3
149	отношения к	1	3
150	с в	1	3
151	мы имеем	1	3
152	ее имя	1	3
153	не то	1	3
154	себе самой	1	3
155	есть энергия	1	3
156	внутри себя	2	3
157	себе не	1	3
158	ее как	1	3
159	в нем	3	3
160	подобно тому	4	3
161	на этом	2	3
162	могла бы	2	3
163	в жизни	8	3
164	сущность и	1	3
165	несмотря на	3	3
166	и тогда	2	3
167	в своей	6	3
168	все это	3	3
169	их в	1	3
170	и другое	1	3
171	как о	3	3
172	и притом	1	3
173	ее с	1	3
174	в основе	2	3
175	того чтобы	4	3
176	к ней	2	3
177	ему не	1	3
178	ни о	3	3
179	к себе	3	3
180	к тому	7	3
181	на это	1	3
182	нет никакой	1	3
183	и сам	5	3
184	так и	8	3
185	о ней	1	3
186	можно сказать	6	3
187	но когда	1	3
188	один из	2	3
189	что он	8	3
190	но как	1	3
191	но то	1	3
192	не мешает	1	3
193	без этого	1	3
194	только на	5	3
195	в одном	3	3
196	отношение к	2	3
197	принципиально не	1	3
198	никогда не	5	3
199	а с	3	3
200	вместе с	2	3
201	в той	1	3
202	тому как	4	3
203	да и	5	3
204	она может	2	3
205	она уже	1	3
206	бы в	1	3
207	хотя бы	2	3
208	я в	1	3
209	с самим	2	3
210	от этого	1	2
211	в сфере	1	2
212	как это	7	2
213	в первом	2	2
214	обойтись без	1	2
215	мы уже	3	2
216	той же	2	2
217	как мы	2	2
218	во внутреннем	1	2
219	человека и	3	2
220	иметь никакого	1	2
221	и этого	1	2
222	не нужно	1	2
223	мысли и	2	2
224	именно тем	1	2
225	не все	3	2
226	тогда как	7	2
227	себе и	1	2
228	и таким	1	2
229	наряду с	5	2
230	как в	5	2
231	и нет	1	2
232	когда он	1	2
233	я должен	1	2
234	что на	3	2
235	то в	4	2
236	себе как	1	2
237	образом и	1	2
238	так или	1	2
239	приводит к	2	2
240	остановиться на	1	2
241	но ведь	1	2
242	стоит у	1	2
243	он не	4	2
244	о которой	2	2
245	для того	4	2
246	в силу	1	2
247	душу и	1	2
248	но все	1	2
249	а затем	1	2
250	об этом	7	2
251	то есть	1	2
252	и тем	1	2
253	которая была	2	2
254	только одно	1	2
255	в слове	1	2
256	и уже	4	2
257	не мог	1	2
258	знает и	2	2
259	жизнь и	1	2
260	признать что	1	2
261	для нее	4	2
262	же мы	1	2
263	же такое	1	2
264	тому что	4	2
265	самой но	1	2
266	она могла	1	2
267	что ему	1	2
268	дело в	1	2
269	и сама	4	2
270	на него	3	2
271	чем не	1	2
272	для всего	1	2
273	казалось бы	6	2
274	в разных	1	2
275	в самой	1	2
276	это именно	1	2
277	как она	1	2
278	и его	5	2
279	это уже	2	2
280	однако это	1	2
281	у меня	1	2
282	я сам	1	2
283	данном случае	2	2
284	самим собою	2	2
285	понять ее	1	2
286	об отношении	1	2
287	и когда	1	2
288	с собой	2	2
289	не с	2	2
290	том как	2	2
291	является в	1	2
292	именно потому	1	2
293	никак не	1	2
294	как ее	1	2
295	это было	2	2
296	заключается в	1	2
297	во втором	2	2
298	еще более	1	2
299	тот момент	1	2
300	к личности	1	2
301	обе эти	1	2
302	в качестве	4	2
303	мы получим	1	2
304	его и	2	2
305	не случайно	10	2
306	о которых	2	2
307	на ее	3	2
308	или иначе	1	2
309	важное и	1	2
310	превращается в	4	2
311	именно так	2	2
312	а так	1	2
313	о чем	8	2
314	когда же	2	2
315	в частности	7	2
316	зачем же	1	2
317	а потом	1	2
318	смысл в	1	2
319	в с	1	2
320	ли в	3	2
321	но именно	2	2
322	но зато	1	2
323	теперь же	3	2
324	отношении к	1	2
325	жизни в	7	2
326	это все	1	2
327	была бы	3	2
328	первом случае	1	2
329	это так	1	2
330	но еще	2	2
331	а я	1	2
332	в своих	1	2
333	так же	3	2
334	смысле что	1	2
335	эта новая	1	1
336	говорили о	2	1
337	я и	6	1
