N	3gram	Nazirov_Tv_2	EvropaiE
1	в то же	7	15
2	то же время	7	14
3	и в то	2	8
4	в том что	2	6
5	так же как	2	5
6	и в этом	1	4
7	того или иного	1	4
8	той или иной	1	4
9	же как и	1	3
10	можно было бы	1	3
11	в применении к	1	3
12	в известном смысле	1	3
13	во всяком случае	2	3
14	и прежде всего	1	3
15	но в то	1	2
16	по нашему мнению	4	2
17	так и в	2	2
18	с другой стороны	2	2
19	не может быть	3	2
20	по себе не	1	2
21	в частности в	1	2
22	в свою очередь	1	2
23	в одном из	2	2
24	хотя и не	1	1
25	дело в том	1	1
26	он сам в	2	1
27	в соответствии с	4	1
28	в том же	2	1
29	в нем и	1	1
30	в одной из	2	1
31	в отличие от	2	1
32	том числе и	1	1
33	несмотря на его	1	1
34	в этот период	1	1
35	на этот вопрос	2	1
36	то или иное	1	1
37	мы видим как	1	1
38	не сводится к	1	1
39	оставим в стороне	1	1
40	не могут быть	1	1
41	в связи с	1	1
42	но как бы	1	1
43	и поэтому в	1	1
44	в стороне от	1	1
45	отцов и детей	1	1
46	как и всякая	1	1
47	отнюдь не означает	1	1
48	мы не находим	1	1
49	в начале xx	1	1
50	мы не можем	1	1
51	том смысле что	1	1
52	не означает что	1	1
53	в то время	1	1
54	начале xx века	1	1
55	именно потому что	1	1
56	и ту же	1	1
57	в том числе	1	1
58	в том смысле	1	1
59	к ней в	1	1
60	одну и ту	1	1
61	на то чтобы	1	1
62	к тому же	1	1
63	и т д	11	1
