N	4gram	Vygotskiy__2	UchenyiS
1	бы то ни было	1	3
2	в то же время	2	3
3	в искусстве нет содержания	1	2
4	не о методах изучения	1	1
5	идет не о методах	1	1
6	в том что она	3	1
7	принципах построения литературной науки	1	1
8	таким образом художественное произведение	1	1
9	изучения литературы а о	1	1
10	литературы а о принципах	1	1
11	а о принципах построения	1	1
12	то же самое что	2	1
13	вопрос идет не о	1	1
14	которое мы получаем от	1	1
15	никогда не может быть	1	1
16	о методах изучения литературы	1	1
17	о принципах построения литературной	1	1
18	а между тем в	1	1
19	методах изучения литературы а	1	1
