N	3gram	Savitsky_E_1	Poddanst
1	в то же	15	7
2	то же время	14	7
3	в отношении к	12	5
4	гораздо большей степени	1	4
5	русская революция есть	1	4
6	в гораздо большей	1	4
7	не только в	4	4
8	в том что	6	4
9	с точки зрения	16	3
10	с одной стороны	8	3
11	нужно помнить что	1	2
12	в том числе	1	2
13	одной стороны и	6	2
14	и не только	1	2
15	в северной америке	2	2
16	и в то	8	2
17	но и в	1	2
18	заключает в себе	3	2
19	в значительной мере	1	2
20	в полной мере	1	2
21	заключается в том	2	2
22	не только это	1	2
23	старого света в	1	2
24	в этом мире	1	1
25	что в этом	1	1
26	в расчете на	2	1
27	весьма вероятно что	1	1
28	untergang des abendlandes	1	1
29	чуть ли не	1	1
30	более или менее	1	1
31	в этом смысле	3	1
32	или хотя бы	2	1
33	и в качестве	1	1
34	и в этом	4	1
35	экономическое знание в	1	1
36	в эту эпоху	1	1
37	на коротко ли	1	1
38	хотя бы и	3	1
39	же время в	1	1
40	в отличие от	1	1
41	но нужно помнить	1	1
42	поскольку они являются	1	1
43	в определенный момент	1	1
44	и на путях	1	1
45	в последние тысячелетия	1	1
46	между прочим на	1	1
47	и значительная часть	2	1
48	и в частности	2	1
49	на долго на	1	1
50	можно думать что	3	1
51	в применении к	3	1
52	было бы неправильно	1	1
53	так же как	5	1
54	ибо то что	1	1
55	следует понимать что	1	1
56	только в виде	1	1
57	к востоку от	1	1
58	по сравнению с	2	1
59	между тем в	3	1
60	эти последние в	1	1
61	в определенном смысле	2	1
62	по количеству осадков	1	1
63	лесной и земледельческий	1	1
64	мы отнюдь не	1	1
65	долго на коротко	1	1
66	во всяком случае	3	1
67	с другой стороны	2	1
68	в каком смысле	1	1
69	вслед за тем	2	1
70	не может быть	2	1
71	в некотором смысле	3	1
72	в области техники	1	1
73	но также и	1	1
74	которую мы именуем	1	1
75	само по себе	4	1
76	та или иная	1	1
77	и тем самым	1	1
78	закрывать глаза на	1	1
79	большей степени чем	1	1
80	и тем более	1	1
81	в последние годы	3	1
82	но в то	2	1
83	именно потому что	1	1
84	другие народы мира	1	1
85	не более как	1	1
86	в частности в	2	1
87	не явятся ли	1	1
88	европы и азии	6	1
89	образ россии не	1	1
90	в большинстве случаев	2	1
91	в пределах российского	1	1
92	друг с другом	3	1
93	но в северной	1	1
94	во многих случаях	1	1
95	в известном смысле	3	1
96	для того чтобы	5	1
97	в качестве общего	1	1
98	насколько можно судить	1	1
99	пределах российского мира	1	1
100	в грехе и	1	1
101	которая помогла бы	1	1
102	с разных точек	1	1
103	остается открытым для	1	1
104	том числе и	1	1
105	и т д	1	1
