N	3gram	Medvedev_V_1	TeoriaLi
1	по отношению к	7	8
2	в то же	5	6
3	в том что	5	6
4	то же время	5	6
5	того или иного	1	5
6	в данном случае	1	5
7	более или менее	6	4
8	в конечном счете	5	4
9	в этом смысле	1	3
10	можно сказать что	4	3
11	читателя зрителя слушателя	1	3
12	с другой стороны	8	3
13	той или иной	1	3
14	в свою очередь	1	3
15	а всего лишь	3	3
16	так или иначе	1	2
17	или говоря иначе	1	2
18	с одной стороны	2	2
19	следует смешивать с	1	2
20	в этой системе	1	2
21	не только не	2	2
22	в противном случае	2	2
23	тот или иной	1	2
24	и то же	1	2
25	одно и то	1	2
26	не следует смешивать	1	2
27	сама по себе	1	2
28	не может быть	8	2
29	мы имеем дело	1	2
30	в соответствии с	1	2
31	со всех сторон	1	1
32	подобно тому как	2	1
33	а в том	1	1
34	это и есть	3	1
35	и др в	3	1
36	в виду не	1	1
37	в таком случае	1	1
38	в реальной действительности	1	1
39	или иной мере	1	1
40	в том числе	2	1
41	в том случае	1	1
42	как видно из	1	1
43	в связи с	3	1
44	только в искусстве	1	1
45	духовной жизни личности	1	1
46	и в то	3	1
47	себя свою душу	1	1
48	но в то	1	1
49	ильфа и петрова	1	1
50	видения мира и	1	1
51	может быть и	1	1
52	для того чтобы	3	1
53	таким образом и	1	1
54	имеем дело с	1	1
55	дело не в	1	1
56	имеем в виду	1	1
57	как это делает	3	1
58	если он не	1	1
59	что он не	1	1
60	в единстве целого	2	1
61	о том что	3	1
62	том случае если	1	1
63	между тем это	1	1
64	этой точки зрения	2	1
65	в то время	1	1
66	в области художественного	1	1
67	не ограничивается простым	1	1
68	и служит для	1	1
69	войны и мира	1	1
70	в статье о	1	1
71	та или иная	1	1
72	то или иное	1	1
73	только то что	2	1
74	не могут быть	1	1
75	в художественном произведении	4	1
76	именно в этом	1	1
77	и по отношению	1	1
78	так же как	1	1
79	творческого воображения не	2	1
80	и не быть	1	1
81	в той или	1	1
82	ту или иную	1	1
83	том числе и	2	1
84	жизни личности и	1	1
85	с этой точки	1	1
86	к тому же	1	1
87	по крайней мере	2	1
88	а между тем	1	1
