N	2gram	Bakhtin_Fr_4	VelikijI
1	во имя	1	32
2	и не	16	20
3	и в	29	16
4	так как	7	9
5	то что	4	9
6	еще не	4	8
7	что они	2	7
8	на земле	1	7
9	и потому	1	7
10	человека и	1	6
11	но и	9	5
12	того что	3	5
13	хотя и	2	5
14	в мире	1	5
15	в боге	1	5
16	все это	4	5
17	как бы	8	5
18	и есть	4	4
19	в образе	4	4
20	говорить о	1	4
21	в его	8	4
22	в этом	11	4
23	что он	4	4
24	потому что	1	4
25	в нем	5	4
26	так и	11	4
27	что все	1	4
28	как и	12	4
29	что мы	1	4
30	в котором	2	4
31	в ней	3	4
32	и все	13	4
33	все что	1	4
34	этого мира	1	3
35	и что	1	3
36	должна быть	1	3
37	за то	1	3
38	в чем	3	3
39	с его	4	3
40	что и	1	3
41	в том	7	3
42	тот же	3	3
43	но в	12	3
44	в вопросе	1	3
45	бы и	1	3
46	по этому	1	3
47	все эти	9	3
48	и они	3	3
49	в конце	9	3
50	их в	2	3
51	тех которые	1	3
52	в своей	5	3
53	и мы	2	3
54	в жизни	2	3
55	ни в	2	3
56	в них	7	3
57	в этих	2	3
58	нет ничего	2	3
59	всех людей	1	3
60	в первый	1	3
61	что я	2	3
62	но это	4	3
63	никогда не	2	3
64	к счастью	1	3
65	первый раз	1	3
66	превращается в	3	3
67	и для	2	3
68	к тому	2	3
69	жизни и	4	3
70	что в	1	3
71	людей в	1	3
72	и это	2	2
73	нем нет	1	2
74	того чтобы	3	2
75	и то	2	2
76	не имел	1	2
77	вечности и	1	2
78	но мы	2	2
79	во главе	1	2
80	и сам	3	2
81	можно было	1	2
82	и за	3	2
83	мы не	1	2
84	с ним	2	2
85	и во	1	2
86	нет и	1	2
87	государства и	1	2
88	его к	2	2
89	только в	2	2
90	в себя	2	2
91	и любви	3	2
92	конечно не	4	2
93	уже не	2	2
94	не только	10	2
95	на этих	1	2
96	его и	2	2
97	превращаются в	1	2
98	для него	1	2
99	и вечно	1	2
100	тем что	4	2
101	на том	1	2
102	мы слышим	4	2
103	не будет	1	2
104	это не	5	2
105	а с	1	2
106	прежде всего	8	2
107	люди не	1	2
108	один из	4	2
109	вопросе о	1	2
110	и тогда	1	2
111	мира в	1	2
112	бога нет	1	2
113	вечность и	1	2
114	значения и	1	2
115	мир и	2	2
116	что было	1	2
117	да и	2	2
118	том что	3	2
119	тот кто	1	2
120	для нас	1	2
121	от него	1	2
122	в форме	1	2
123	они и	1	2
124	людей и	1	2
125	но не	2	2
126	легенда о	1	2
127	в духе	1	2
128	понимает и	1	2
129	и своих	1	1
130	как мы	10	1
131	быть может	2	1
132	в виду	2	1
133	в ее	3	1
134	дело во	1	1
135	в словах	2	1
136	и до	5	1
137	роль в	3	1
138	значение в	1	1
139	то же	10	1
140	в результате	4	1
141	истины и	1	1
142	и тут	1	1
143	всего только	1	1
144	самой жизни	1	1
145	и вообще	1	1
146	не была	1	1
147	находится в	1	1
148	и ее	1	1
149	веке в	1	1
150	кто же	1	1
151	как сам	1	1
152	в их	2	1
153	и на	11	1
154	он был	2	1
155	и хлеб	1	1
156	все в	2	1
157	к нему	3	1
158	что люди	1	1
159	но как	3	1
160	ее от	1	1
161	от них	1	1
162	если в	2	1
163	в новом	2	1
164	смертью и	1	1
165	нам право	1	1
166	сложное и	1	1
167	успокоение и	1	1
168	его на	1	1
169	как в	2	1
170	и самые	1	1
171	все будут	1	1
172	это ни	2	1
173	в своем	3	1
174	все же	3	1
175	но с	1	1
176	победы над	1	1
177	мы видим	3	1
178	с ними	3	1
179	и каким	1	1
180	мы увидим	2	1
181	утверждают что	1	1
182	и так	3	1
183	на вечность	1	1
184	он дал	1	1
185	в самом	1	1
186	у них	3	1
187	в которой	4	1
188	что это	5	1
189	но под	1	1
190	в целом	1	1
191	бога в	1	1
192	в этой	13	1
193	же и	3	1
194	им в	2	1
195	вот в	1	1
196	уже в	2	1
197	то уж	1	1
198	слово это	1	1
199	в виде	1	1
200	и если	1	1
201	каким образом	1	1
202	или даже	1	1
203	о которой	1	1
204	же они	1	1
205	папы и	1	1
206	и навсегда	1	1
207	и вот	3	1
208	вовсе не	9	1
209	отношение к	1	1
210	у него	5	1
211	не случайно	3	1
212	и частей	2	1
213	и по	5	1
214	на этом	2	1
215	лишь немногим	1	1
216	переход к	1	1
217	он так	1	1
218	на нее	1	1
219	для того	3	1
220	конечно в	1	1
221	и с	9	1
222	ней и	1	1
223	ними как	1	1
224	этой новой	1	1
225	не надо	1	1
226	с другой	4	1
227	которого не	1	1
228	еще и	7	1
229	весь мир	5	1
230	были в	4	1
231	и слабые	1	1
232	нового времени	2	1
233	говорит о	1	1
234	них и	1	1
235	церкви и	3	1
236	и своего	1	1
237	и опять	1	1
238	был в	1	1
239	на которых	1	1
240	их было	2	1
241	власти и	2	1
242	с которым	1	1
243	жизнь в	1	1
244	о чем	2	1
245	о зле	1	1
246	стороны в	2	1
247	дел и	1	1
248	себя за	1	1
249	так же	7	1
250	то есть	21	1
251	и столь	1	1
252	над ним	1	1
253	у нас	1	1
254	в изображении	1	1
255	передано в	1	1
256	что тот	1	1
257	времени с	1	1
258	в одном	1	1
259	есть одна	1	1
260	у самого	1	1
261	этого слова	1	1
262	с этой	1	1
263	и очень	1	1
264	раз и	1	1
265	в атмосфере	6	1
266	можно ли	1	1
267	эпоху есть	1	1
268	думают что	1	1
269	о мире	2	1
270	обратился к	1	1
271	на котором	2	1
272	не по	1	1
273	свою роль	3	1
274	предложение и	1	1
275	но она	2	1
276	и от	1	1
277	вещах о	1	1
278	найти в	1	1
279	мира и	4	1
280	это как	1	1
281	которая в	1	1
282	ничего не	1	1
283	в разных	3	1
284	может быть	2	1
285	вечной истины	1	1
286	в третьем	1	1
287	вообще в	1	1
288	как она	1	1
289	конце концов	4	1
290	видим что	1	1
291	во всем	1	1
292	будто бы	1	1
293	на него	1	1
294	наших дней	2	1
295	на части	12	1
296	уже и	2	1
297	жизни в	2	1
298	что на	1	1
299	о своем	2	1
300	в образах	8	1
301	другой стороны	3	1
302	теперь когда	1	1
303	но все	1	1
304	есть и	4	1
305	людей но	2	1
306	в трех	2	1
307	к этому	2	1
308	тайны и	1	1
309	я вижу	1	1
310	и другие	2	1
311	в своих	2	1
312	и эта	2	1
313	это в	2	1
314	в противоположность	1	1
315	но к	1	1
316	они не	2	1
