N	3gram	Nazirov_Tv_1	Istorich
1	и т д	1	22
2	тем не менее	2	6
3	до сих пор	1	5
4	с другой стороны	1	5
5	с одной стороны	1	4
6	в том что	6	4
7	о том что	5	3
8	точно так же	2	3
9	то же самое	1	3
10	по отношению к	1	3
11	в связи с	1	3
12	дело в том	3	3
13	с самого начала	3	2
14	бы то ни	1	2
15	то ни было	1	2
16	в отличие от	1	2
17	не означает что	1	2
18	на первый взгляд	1	2
19	и тем не	1	2
20	то что в	1	2
21	может быть назван	1	2
22	вместе с тем	1	2
23	что в современной	1	1
24	не только для	1	1
25	в ту же	1	1
26	один из возможных	1	1
27	но в то	4	1
28	поэтому совершенно естественно	1	1
29	обратить особое внимание	1	1
30	друг на друга	1	1
31	и т п	2	1
32	к тому же	1	1
33	не сами по	1	1
34	дело не в	1	1
35	к тому что	1	1
36	в своей книге	1	1
37	как один из	1	1
38	за то что	1	1
39	в прямом смысле	1	1
40	особое внимание на	1	1
41	но все это	1	1
42	не что иное	1	1
43	в этой связи	2	1
44	на самом же	1	1
45	не только в	2	1
46	не могут быть	1	1
47	не значит что	1	1
48	только то что	1	1
49	вспомним хотя бы	1	1
50	самом же деле	1	1
51	сами по себе	1	1
52	что иное как	1	1
53	что если они	1	1
54	по себе а	1	1
55	при этом он	2	1
56	представляют собой прямые	1	1
57	равно как и	1	1
58	но в целом	1	1
59	таким образом и	1	1
60	это не значит	1	1
61	мы никогда не	1	1
62	а может быть	1	1
63	та же самая	2	1
64	стоит обратить особое	1	1
65	в соответствии с	3	1
66	все же и	1	1
