N	2gram	Vinokur_Vv_1	Myshleni
1	в этом	34	29
2	точки зрения	7	28
3	и в	27	26
4	для себя	1	24
5	не только	21	24
6	то что	17	24
7	таким образом	19	23
8	с точки	2	21
9	и речи	1	19
10	представляет собой	12	19
11	того чтобы	21	19
12	для того	21	18
13	в том	31	18
14	и не	13	18
15	том что	26	17
16	потому что	14	16
17	как и	5	15
18	к слову	1	14
19	как мы	9	14
20	того что	12	14
21	так как	13	14
22	так же	3	14
23	этом случае	6	14
24	с помощью	1	13
25	в ходе	1	12
26	и его	5	12
27	вместе с	6	12
28	что в	11	12
29	мысли и	2	11
30	в которой	1	11
31	но и	5	11
32	не может	13	11
33	слова и	1	10
34	в сущности	3	9
35	в самом	12	9
36	в себе	4	9
37	тому что	2	9
38	мысли в	1	9
39	по сравнению	3	9
40	тем что	6	9
41	что мы	2	9
42	по своему	5	9
43	же как	3	8
44	то же	8	8
45	той же	4	8
46	что она	3	8
47	что он	4	8
48	только в	13	8
49	свое выражение	3	8
50	сравнению с	3	8
51	ее в	1	8
52	сказать что	5	8
53	и то	5	7
54	мы не	2	7
55	и к	1	7
56	с самого	1	7
57	представление о	1	7
58	самого начала	1	7
59	о природе	7	7
60	к тому	4	7
61	по мере	4	7
62	может быть	24	7
63	прежде всего	8	7
64	самом деле	6	6
65	вопрос о	8	6
66	во всех	2	6
67	по отношению	4	6
68	все же	8	6
69	что это	3	6
70	все эти	3	6
71	выражение в	1	6
72	движение от	2	6
73	было бы	5	6
74	и тем	5	6
75	в ее	11	6
76	в учении	1	6
77	между собой	1	6
78	и что	4	6
79	заключается в	4	6
80	связь между	4	6
81	в какой	4	6
82	иначе как	1	6
83	именно в	8	6
84	а не	3	6
85	как бы	5	6
86	мы должны	1	6
87	как на	11	6
88	все что	1	6
89	связи между	4	5
90	речь не	1	5
91	в целом	5	5
92	с внешней	1	5
93	в силу	3	5
94	и с	2	5
95	с тем	6	5
96	что этот	1	5
97	что с	3	5
98	тогда когда	3	5
99	слова как	2	5
100	же самое	2	5
101	данном случае	5	5
102	никак не	1	5
103	во второй	3	5
104	если бы	2	5
105	в виду	4	5
106	на вопрос	6	5
107	можно сказать	3	5
108	как она	4	5
109	с одной	4	5
110	в качестве	7	5
111	что внутренняя	1	5
112	на всем	1	5
113	в начале	3	5
114	одно из	5	5
115	слова в	1	5
