N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	19	36
2	не только	16	22
3	том что	8	19
4	что в	6	19
5	в том	18	17
6	но и	10	16
7	так как	1	15
8	и другие	2	13
9	в этом	11	12
10	и на	2	10
11	это не	2	10
12	как и	2	10
13	как мы	1	10
14	вместе с	1	10
15	потому что	3	10
16	об этом	2	9
17	а в	12	9
18	состоит в	16	8
19	и по	2	8
20	у нас	1	8
21	о том	2	8
22	один из	2	8
23	из них	1	8
24	может быть	14	8
25	как это	5	8
26	что они	1	7
27	так и	11	7
28	между тем	4	7
29	что и	2	7
30	представляют собой	1	7
31	таким образом	3	6
32	при этом	13	6
33	не имеет	1	6
34	уже не	4	6
35	в них	2	6
36	и не	15	6
37	все это	2	6
38	то что	4	6
39	как в	2	5
40	во многих	1	5
41	как будто	1	5
42	с ними	1	5
43	одно из	2	5
44	как бы	9	5
45	этом случае	1	5
46	мы имеем	6	4
47	еще не	3	4
48	во всех	3	4
49	представляет собой	10	4
50	входит в	4	4
51	из этих	3	4
52	в их	5	4
53	тому что	2	4
54	одна из	2	4
55	в русском	1	4
56	связи с	1	4
57	к тому	4	4
58	так в	4	4
59	и что	3	4
60	тем что	1	4
61	а с	2	4
62	и др	2	4
63	того что	4	4
64	в связи	1	4
65	как уже	2	4
66	не может	7	4
67	только в	5	4
68	на каждом	1	3
69	как правило	2	3
70	своего рода	5	3
71	если в	1	3
72	в своем	2	3
73	что это	1	3
74	и те	1	3
75	на этом	1	3
76	то же	10	3
77	чаще всего	1	3
78	он же	1	3
79	далеко не	2	3
80	в этих	3	3
81	точки зрения	10	3
82	с точки	3	3
83	тем не	3	3
84	их в	3	3
85	не менее	3	3
86	в поле	1	3
87	приводит к	5	3
88	к жизни	2	3
89	не с	2	3
90	начиная с	2	3
91	то есть	18	3
92	настоящее время	1	3
93	а также	5	3
94	связаны с	1	3
95	также в	1	3
96	по этому	1	3
97	в качестве	24	3
98	слова в	2	3
99	в одном	2	3
100	к ним	1	3
101	в области	6	3
102	о чем	2	3
103	так же	2	3
104	по содержанию	1	3
105	в былинах	1	3
106	в это	1	3
107	этого слова	2	3
108	и некоторые	2	3
109	в настоящее	1	3
110	и к	3	3
111	в свою	3	3
112	можно говорить	1	2
113	например в	3	2
114	е годы	1	2
115	между двумя	2	2
116	к другому	1	2
117	к нам	1	2
118	но она	2	2
119	что иное	1	2
120	иное как	1	2
121	но не	11	2
122	тогда как	13	2
123	в е	1	2
124	отнюдь не	2	2
125	хотя и	3	2
126	и как	3	2
127	но в	7	2
128	в целом	3	2
129	все эти	2	2
130	в нашем	2	2
131	после чего	1	2
132	для обозначения	1	2
133	что она	2	2
134	в нем	5	2
135	в силу	1	2
136	когда на	1	2
137	в году	2	2
138	в каждом	1	2
139	в жизни	2	2
140	и более	2	2
141	том же	1	2
142	для этого	1	2
143	нас к	1	2
144	у него	1	2
145	встречаются в	2	2
146	до того	1	2
147	и здесь	1	2
148	могут быть	4	2
149	и другим	1	2
150	имеет место	2	2
151	значения и	2	2
152	свою очередь	2	2
153	ни одно	2	2
154	в более	1	2
155	и другими	1	2
156	что от	1	2
157	с ним	2	2
158	означает что	1	2
159	и поэтому	1	2
160	после того	1	2
161	в различных	1	2
162	в его	9	2
163	магический обряд	1	2
164	не случайно	3	2
165	в какой	2	2
166	так что	1	2
167	не означает	1	2
168	в прошлом	1	2
169	не было	1	2
170	в особенности	1	2
171	такое же	1	2
172	себя и	2	2
173	равной степени	2	2
174	и пр	1	2
175	не на	3	2
176	а не	9	2
177	его как	1	2
178	в частности	13	2
179	в равной	2	2
180	и потому	2	2
181	на колени	1	2
182	быть и	2	2
183	только для	1	2
184	между собой	2	2
185	к вопросу	1	2
186	мы видим	1	2
187	и для	2	2
188	тем и	1	2
189	или в	2	2
190	не что	1	2
191	в своих	1	2
192	ту же	1	1
193	в древнерусской	1	1
194	говоря о	3	1
195	также и	1	1
196	же как	1	1
197	таком случае	1	1
198	чтобы не	1	1
199	значении этого	4	1
200	в первом	1	1
201	сам и	1	1
202	по преимуществу	2	1
203	и ее	3	1
204	противном случае	2	1
205	по его	1	1
206	включая и	1	1
207	несколько иной	1	1
208	самые разнообразные	1	1
209	не во	1	1
210	из своих	1	1
211	время от	1	1
212	к новой	1	1
213	этом не	1	1
214	говорить о	3	1
215	не вполне	2	1
216	этим словом	1	1
217	в одиночку	1	1
218	которое в	1	1
219	не знают	1	1
220	того же	2	1
221	в каждой	1	1
222	революции в	1	1
223	в отличие	7	1
224	на них	1	1
225	в чем	2	1
226	с его	6	1
227	этих случаях	1	1
228	особенно если	1	1
229	на основе	2	1
230	а только	4	1
231	одном и	1	1
232	не все	2	1
233	по отношению	9	1
234	не путем	1	1
235	отличие от	7	1
236	разница в	1	1
237	в истории	1	1
238	и соответствующих	1	1
239	в противном	2	1
240	перед нами	1	1
241	времени когда	1	1
242	из мифа	1	1
243	в которой	2	1
244	говорят о	1	1
245	из жизни	1	1
246	за это	1	1
247	в себе	9	1
248	тому же	1	1
249	в лес	1	1
250	на то	1	1
251	в случае	1	1
252	материал из	1	1
253	образ его	1	1
254	он не	4	1
255	с нашим	1	1
256	он должен	3	1
257	не как	2	1
258	действительности которая	1	1
259	подобно тому	1	1
260	не бывает	1	1
261	русском языке	1	1
262	а затем	1	1
263	здесь мы	1	1
264	своему не	1	1
265	что все	1	1
266	значение в	1	1
267	о котором	1	1
268	те же	1	1
269	его в	2	1
270	на почве	3	1
271	но их	3	1
272	должен был	1	1
273	весь мир	1	1
274	и тем	2	1
275	ни в	5	1
276	нет в	1	1
277	в этой	2	1
278	жизни то	2	1
279	как видно	1	1
280	не всегда	1	1
281	он и	1	1
282	и того	2	1
283	одного и	2	1
284	но если	1	1
285	и без	1	1
286	место в	4	1
287	не столько	3	1
288	того времени	1	1
289	которые в	1	1
290	теми же	1	1
291	не могли	1	1
292	с такими	1	1
293	и наоборот	1	1
294	форму в	1	1
295	от своих	1	1
296	виду что	1	1
297	в то	6	1
298	дело не	2	1
299	дело в	1	1
300	не по	1	1
301	в основе	4	1
302	к изучению	1	1
303	иметь в	1	1
304	вытекает из	2	1
305	народной жизни	1	1
306	слова как	5	1
307	этом так	1	1
308	в тексте	9	1
309	и его	12	1
310	и теперь	1	1
311	окна и	1	1
312	труда а	1	1
313	ему не	1	1
314	тем это	1	1
315	прихода в	2	1
316	хранится в	1	1
317	в своего	1	1
318	быть назван	1	1
319	время они	1	1
320	для себя	2	1
321	и это	2	1
322	и о	3	1
323	у себя	1	1
324	в виду	5	1
325	только при	1	1
326	из окна	1	1
327	в собственном	1	1
328	как знак	1	1
329	всего два	1	1
330	то время	1	1
331	всей своей	2	1
332	в четвертом	1	1
333	и сам	1	1
334	даже самых	1	1
335	так слово	1	1
336	не ограничивается	1	1
337	видно из	1	1
338	из всего	1	1
339	вошел в	1	1
340	разного рода	1	1
341	быть может	1	1
342	если бы	3	1
343	мы рассмотрим	1	1
344	из других	1	1
345	свидетельствует о	1	1
346	внимание на	1	1
347	при котором	1	1
348	теми которые	1	1
349	но мы	1	1
350	что каждый	2	1
351	в глаза	2	1
352	ли не	1	1
353	можно сказать	5	1
354	и который	2	1
355	его труда	1	1
356	к нему	3	1
357	не могло	2	1
358	по типу	1	1
359	говорить об	1	1
360	во втором	4	1
361	в третьем	1	1
362	во всей	3	1
363	в форме	4	1
364	наконец в	1	1
365	о своих	1	1
366	было бы	1	1
367	на которой	1	1
368	обе эти	1	1
369	тот же	1	1
370	что он	3	1
371	соответствующих ему	1	1
372	до нас	1	1
373	он уже	1	1
374	который в	2	1
375	в область	1	1
376	бы ни	1	1
377	или его	1	1
378	жизни как	3	1
379	с которыми	1	1
380	это ни	1	1
381	есть в	2	1
382	обращения к	1	1
383	же в	1	1
384	смысла в	1	1
385	не дает	1	1
386	не составляет	1	1
387	нуждается в	1	1
388	хозяина и	1	1
389	более как	1	1
390	с этими	1	1
391	может служить	2	1
392	содержанию своему	1	1
393	случае не	2	1
394	не могут	1	1
395	следует признать	1	1
396	в текстах	2	1
397	своем значении	1	1
