N	2gram	Propp_Isto_4	Sovremen
1	не может	6	17
2	может быть	14	12
3	точки зрения	1	12
4	таким образом	10	11
5	мы не	1	9
6	в этом	7	7
7	не можем	1	7
8	и в	26	7
9	мы можем	6	6
10	ничего не	5	6
11	как и	7	6
12	и не	9	6
13	в результате	1	6
14	только одна	2	6
15	и наконец	1	5
16	все эти	3	5
17	что же	1	5
18	прежде всего	1	5
19	в дальнейшем	6	4
20	в зависимости	1	4
21	вопрос о	4	4
22	зависимости от	1	4
23	мы должны	5	4
24	в том	3	4
25	в целом	2	4
26	если мы	1	4
27	из них	2	4
28	же это	2	4
29	так как	9	4
30	мы видели	6	4
31	не только	15	4
32	в развитии	1	4
33	с помощью	2	4
34	как бы	3	4
35	вместе с	6	4
36	это не	5	4
37	их в	7	4
38	а в	8	4
39	жизни и	1	4
40	он может	2	3
41	то же	8	3
42	ясно что	1	3
43	но мы	3	3
44	между собой	1	3
45	видели что	3	3
46	его развития	1	3
47	все же	9	3
48	еще не	6	3
49	но в	5	3
50	он в	4	3
51	у каждого	1	3
52	в этой	2	3
53	в себе	2	3
54	уже в	2	3
55	как он	6	3
56	мы получим	1	3
57	что она	3	3
58	в одном	5	3
59	в нем	2	3
60	при этом	3	3
61	на этой	1	3
62	и мы	1	3
63	было бы	2	3
64	а не	6	3
65	не в	5	3
66	все это	2	3
67	одна из	2	3
68	для нас	3	3
69	и все	2	3
70	у нас	2	3
71	поэтому мы	1	3
72	и к	1	3
73	когда мы	1	3
74	в области	2	3
75	как мы	5	2
76	и есть	2	2
77	приводит к	1	2
78	роль в	1	2
79	все те	1	2
80	той же	1	2
81	на этом	2	2
82	для его	1	2
83	и даже	4	2
84	и что	5	2
85	может дать	1	2
86	и во	2	2
87	в его	5	2
88	с этим	2	2
89	дает нам	4	2
90	быть и	1	2
91	к чему	1	2
92	по мнению	1	2
93	не будем	1	2
94	или же	3	2
95	что это	2	2
96	из этих	3	2
97	и они	2	2
98	уже не	5	2
99	то и	1	2
100	в виде	2	2
101	на его	3	2
102	тем не	2	2
103	мы знаем	8	2
104	у него	5	2
105	явления на	1	2
106	и по	5	2
107	но все	5	2
108	в некоторых	5	2
109	и пр	11	2
110	а на	4	2
111	на этот	2	2
112	которой он	2	2
113	такой же	1	2
114	носит название	1	2
115	он должен	3	2
116	из которых	5	2
117	знаем что	7	2
118	такого рода	2	2
119	это за	1	2
120	не менее	2	2
121	скажем в	1	2
122	о значении	1	2
123	на котором	3	2
124	она может	1	2
125	этих двух	1	2
126	еще более	1	2
127	мы видим	6	2
128	не дает	2	2
129	тот же	1	2
130	не могут	2	2
131	могут быть	6	2
132	что при	1	2
133	же самое	2	2
134	что в	14	2
135	от явлений	1	2
136	правда не	1	1
137	и это	1	1
138	совпадают с	1	1
139	с ее	1	1
140	живое существо	2	1
141	на другой	1	1
142	это и	5	1
143	почему и	2	1
144	между двумя	12	1
145	так в	4	1
146	не имеют	1	1
147	между ним	1	1
148	входящих в	1	1
149	только тот	1	1
150	и могут	1	1
151	мы уже	5	1
152	те же	3	1
153	их и	1	1
154	есть не	1	1
155	здесь нет	1	1
156	мы имеем	7	1
157	них они	1	1
158	же как	13	1
159	и наш	1	1
160	это только	1	1
161	совершенно так	6	1
162	если бы	2	1
163	частное значение	1	1
164	что иное	3	1
165	и действительно	3	1
166	считая что	1	1
167	и ни	1	1
168	затем он	1	1
169	то они	1	1
170	о том	4	1
171	в ней	1	1
172	одного из	1	1
173	на них	1	1
174	он сам	1	1
175	все его	1	1
176	иное как	3	1
177	всей ситуации	1	1
178	его в	9	1
179	во всех	1	1
180	в какой-нибудь	1	1
181	как нет	1	1
182	данном случае	3	1
183	представляет никакого	1	1
184	но не	5	1
185	произошло в	1	1
186	к этому	5	1
187	мы будем	1	1
188	но как	1	1
189	друг на	1	1
190	если в	1	1
191	функций в	1	1
192	ним и	1	1
193	может стать	1	1
194	независимо от	1	1
195	этого развития	1	1
196	к которому	1	1
197	к нему	6	1
198	форму и	1	1
199	один из	1	1
200	есть такой	1	1
201	одной из	1	1
202	которому они	1	1
203	это просто	1	1
204	главе мы	2	1
205	увидим что	2	1
206	только в	3	1
207	в этот	4	1
208	может оказаться	1	1
209	то он	1	1
210	собой но	1	1
211	он уже	2	1
212	та же	1	1
213	к другому	1	1
214	мышлении нет	1	1
215	одном случае	3	1
216	одни и	1	1
217	нами в	1	1
218	и тот	2	1
219	этот вопрос	2	1
220	конечно не	2	1
221	и у	5	1
222	и те	1	1
223	в большинстве	1	1
224	только на	1	1
225	в начале	1	1
226	и если	3	1
227	чтобы он	2	1
228	позже чем	1	1
229	он не	7	1
230	его и	2	1
231	же они	1	1
232	и их	2	1
233	становится его	3	1
234	эти три	1	1
235	пока не	1	1
236	как их	1	1
237	по существу	3	1
238	другую сторону	1	1
239	вовсе не	4	1
240	различным предметам	1	1
241	не случайно	2	1
242	много и	1	1
243	по его	2	1
244	в очень	1	1
245	не из	1	1
246	маленькое животное	1	1
247	и только	5	1
248	а затем	3	1
249	и может	1	1
250	в совершенно	1	1
251	в другом	5	1
252	до сих	5	1
253	с другой	4	1
254	как у	1	1
255	дома и	1	1
256	на ее	1	1
257	и эту	1	1
258	нельзя сказать	1	1
259	именно в	1	1
260	здесь в	1	1
261	по своим	1	1
262	уже знаем	1	1
263	должен был	3	1
264	отличать от	1	1
265	такое же	4	1
266	цель и	1	1
267	его с	2	1
268	ни в	2	1
269	но уже	1	1
270	не было	1	1
271	имеет только	1	1
272	она и	1	1
273	на которых	1	1
274	этого не	2	1
275	на друга	1	1
276	для чего	1	1
277	при которых	1	1
278	на эту	1	1
279	и следовательно	1	1
280	в связи	2	1
281	и становится	1	1
282	том что	3	1
283	этом случае	3	1
284	роль которую	1	1
285	но если	1	1
286	том как	2	1
287	и при	3	1
288	таким же	6	1
289	так же	18	1
290	уже к	1	1
291	что дело	1	1
292	почти не	1	1
293	представление о	1	1
294	мы опять	2	1
295	от его	1	1
296	в данном	3	1
297	но эта	4	1
298	такую же	2	1
299	а потом	1	1
300	быть только	1	1
301	силу и	1	1
302	образом на	1	1
303	именно к	1	1
304	образом из	1	1
305	они подчиняются	1	1
306	и более	3	1
307	на некотором	1	1
308	там где	3	1
309	должны признать	1	1
310	таких случаев	2	1
311	вообще на	1	1
312	по себе	2	1
313	в своем	2	1
314	сих пор	5	1
315	с ним	1	1
316	что эта	3	1
317	все три	1	1
318	она не	3	1
319	и тогда	1	1
320	но для	2	1
321	только частное	1	1
322	все стадии	1	1
323	которых он	1	1
324	не имеет	3	1
325	случае он	1	1
326	поэтому совершенно	1	1
327	это уже	2	1
328	указать на	3	1
329	никогда не	2	1
330	или в	3	1
331	это совершенно	1	1
332	может играть	1	1
333	хотя и	2	1
334	действия в	1	1
335	она уже	1	1
336	не представляет	1	1
337	или нет	1	1
338	очень мало	1	1
339	же процесс	1	1
340	видим что	2	1
341	же этот	1	1
342	силы в	1	1
343	и его	10	1
344	связи с	3	1
345	же в	3	1
346	но это	3	1
347	на которой	2	1
348	и несколько	1	1
349	между ними	3	1
350	не знает	1	1
351	сказать что	2	1
352	очень часто	1	1
353	если у	1	1
354	не что	3	1
355	сравнительно с	1	1
356	человека в	1	1
357	можно наблюдать	2	1
358	в то	1	1
359	самое что	1	1
360	в своих	1	1
361	на это	2	1
362	все что	4	1
363	они не	1	1
364	ничего общего	1	1
