N	4gram	Losev_Prob_3	Analitik
1	не что иное как	4	4
2	бы то ни было	3	3
3	в той или иной	2	3
4	есть не что иное	4	3
5	в том или ином	2	2
6	в том что он	1	2
7	то же самое время	4	2
8	в то же самое	4	2
9	одного и того же	1	2
10	не сами по себе	1	1
11	на самом же деле	4	1
12	выхожу один я на	1	1
13	одно и то же	3	1
14	значении этого слова как	1	1
15	в собственном смысле слова	1	1
16	с той или иной	1	1
17	чего бы то ни	2	1
18	том или ином отношении	1	1
19	один я на дорогу	1	1
20	все же не есть	1	1
21	с этой точки зрения	1	1
22	а не так как	1	1
23	том и заключается что	1	1
24	в том и заключается	1	1
